filename_or_path	role	status	byte_count	sha256	drive_id	parent_folder_id	form	accessibility	readback
W3_numerics/receipts/harness_normal.out.sha256	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	65	647b51e0108cf698236f9f8e6d16f75de11e26e73a4d343f2ef33a9f53f6d6b2	1zcLRH4RUplX2m56FUAUTyBxE2llHApEl	1pIQzbAHmO8Z2sPJ3H_aeJPkrylXWJ1JD	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/rho_probe.txt	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	40	366a75096d066b65cadc675f0cbed645a8ae3b9c1a2065320cce6aef628c2c02	1XbstLYZ5nIkX_dv9hss5ccgKkOATSGHR	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/strip.out	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	93	93ef57b4196ab11f4951ad4522fdc10801a88bb469b6022e928ab5ef4a094299	1vFQF78gmKlQlMBr2tzT2LzKYSWnFvw04	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/strip.txt	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	199088	92d6154d243738ad5eb728280f6069a3a128899c74eb1891fe1d613c1d5336b8	1hFETW_7QF_p5RJy78IYouoOLc_IZuWcg	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/t_one.out	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	1256	bd19aa9fd76d197160aa6929ed7674f77f8a5a9626fb76517b74bc67e9196d84	1iZhUNxHV6In02VsdcZ4LTbbJ93wWp_3A	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/t_one.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	1740	cfa9bd474bd0650a05c0bf96bc69e305b59789b9dadd1a71c65c2b8936deb33f	1Fx27vuexTwLovqwbw8TDHjyIbrwrs3aA	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_cert.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	52462	4cf2b27c8161327c6e21aed4546dcbbe1d4d2c3adb6f0ec87b78b2057cfb8fc4	1Jau8ccc-7xtsQbTU2icBz5pvBYE8HqUR	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_drive.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	7653	55fcbd7f23f169424cc48fe3243ec07ea0361b6bc12f9bfedb5db2d70b6bef0b	1sYMQSQBxlJwGjCiaWvgXAs7A13mVMndS	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_harness.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	4388	7295801ef7f4f37f96a55ebddfcac8a8492119e425e39bd1fa6bd099f559c39a	1yS0pkvO4fmEd1gc7fNO7hJJUEsPzpP4C	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_lbox.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	9457	f7e2cd1a68a891d714f436cac1e8cff38c68d3528ea37f9de4ec152816d0a248	1Zy55911-GWshTCc1k9s6TttuNl6bHvvV	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_lower.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	11571	e61ffa056fbcfc6815968d8996e21a73402371f4d79d4e139ad23333e5529036	1a5lityWNmVmiJqqA4PGM9o5DZCKtZguo	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_pinprobe.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	2773	5b768d093e9a423b63f54bb8d6d1707614fd0ca44561d33cd1305c75e07148a7	1gb5k-QofFnXGW8EPFOk2h1QsjyfPhtIu	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_proto.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	9572	f648002c98c9df6e2fd3f4a8ba6d9f456e1daaafdae45afce720930f6c79603b	19MRL_YIkxYbu1ye7Qf-xbmncjrmihMIa	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_pscan.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	1238	4eef59a06712f79606e648863186a4ce12c3681c8dabe45f4bbda80b71c5a3d3	1N1J-329dFNyNpN1yCZedf4GhuSO_hVKc	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_run.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	5589	9561e87364b0d6eef130b1f7facbf7dd70305b41b46c98b44930b4a8d45720d5	1GbD75F_Apw93urlzlGqedWrrjNhuT0Wr	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_run_harness.sh	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	1236	1e0c454dab136830f14415f00f5bddf03251645d32dc9636e36dc6f6de85bc6b	1s7_okT0TKUE14QIN_xRAI9G1MMhxNJfx	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_scan.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	3139	31dc4d424f7a1415838d01570577273a0f091c558a64ceebfcf4384227e07543	1ff7vn8GEGHSZlXxjT2DGU9CXOkhdfA41	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_scan2.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	2478	69d05769ca4dd0f3ab6d4fd0932310c8131eaadc56b39d9d9f30ab8a90b74897	1JBO-lCtrTieILzg3SV_ZF7iy8XHw83zI	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_strip.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	2178	8fe3e20f5e488699f02c8fb3fde351cf4e7f712d551a23c28bff7e666262c0b6	17G8PFVpYHCqT6HW0yxKamOqQ5PA4cMUu	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_taylor.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	7267	bb963481fa1a824653f85d03fb85d044548b762797a0cda5e7757b285a7caed9	1Y9fycAFyoQQkIk3gZ6gNQFZvRelR8QEj	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W3_numerics/w3_tm.py	raw	INCOMPLETE PRE-FREEZE / NONCONTROLLING	8704	b174add150fb962cd24cbec843555d264b6c6f3c3cc52432f7b07b11896024db	1WpgIFWQEU94DZgfcVaHUzETczZf3Y11L	1XednXXpn03NFzfMfL8kWUcxOoI5ZEiSl	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W4_independent/MANIFEST.sha256	raw	NUMERICAL EVIDENCE / NONCONTROLLING	3385	b83998550c049a0383a9cfb763d0950033c3491735712c50737ad08a6b7eded7	1LjBYMWF4eS_5bLdKtyLvbKzmMl2yjRAJ	1HtCt_4Ttqzt9jEV-fSrrugtRxgysjDH4	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W4_independent/W4_REPORT.md	raw	NUMERICAL ESTIMATE / NOT ENCLOSURE	10789	669401f7871e13fb8ae1d295fa04f55fe81f45b9f1443ecd97158db7a6235715	1PQ2upF10nbHEhZkrcy1p_sP4Klk0SWBr	1HtCt_4Ttqzt9jEV-fSrrugtRxgysjDH4	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W4_independent/maps/arc_a.tsv	raw	NUMERICAL EVIDENCE / NONCONTROLLING	1178764	140e20c47ee27ef74de11e3ec5d75a36b5e3e61e3f65c7ac3c1a145b4e5f104c	1zUfGPwWuJQr6cOGn7Nu2608996MVZ_CI	1MessiOwC4ePeutx_qwtI1hSD4WeyrrtM	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W4_independent/maps/arc_b.tsv	raw	NUMERICAL EVIDENCE / NONCONTROLLING	1570291	10a9f8b40e453b0dc2931cbd195a759064144b242bbf9d3f0f384c71ea6e6005	1X3mEPCNSdqcwXzT0mNszgErPkbe3uROk	1MessiOwC4ePeutx_qwtI1hSD4WeyrrtM	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W4_independent/maps/full_med.tsv	raw	NUMERICAL EVIDENCE / NONCONTROLLING	1108108	5f9b7eff5ecd18c8e7021d096f3521da419c23cc6ee9c060bad8d04f3a9d2c97	1zrXQNxSTlq6Nxmv9qrNLWojt4s010qQr	1MessiOwC4ePeutx_qwtI1hSD4WeyrrtM	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W4_independent/maps/inner_scan.tsv	raw	NUMERICAL EVIDENCE / NONCONTROLLING	55761	9834810ce4bc95ad4f8d8e31c0d282c122625e389e0140fe64771d10135d38ed	1iP5hXfH73RaMVMJ-oldX9xEb6Q0zUaRm	1MessiOwC4ePeutx_qwtI1hSD4WeyrrtM	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
W4_independent/maps/map_coarse.tsv	raw	NUMERICAL EVIDENCE / NONCONTROLLING	190644	5c2d55faf473634210be35d0e5a04fdd1bf0642a189d78a092bbb1d1bc1b9048	1v5_FdtKrXEFTDdtZSm6QPW0wd2XMAZPm	1MessiOwC4ePeutx_qwtI1hSD4WeyrrtM	raw	connector-accessible; public/anyone sharing not verified	PASSED: parent listing returned exact Drive ID and byte count; preupload SHA recorded
