drive_id,title,mime_type,size_bytes,classification,dependency_impact,proposed_action,successor_or_reference,audit_state
1QNpZVKnfkb8xeanZ_a8q4bV_WHdzEh5ahRCfdIYJjnA,"00_STOP — leave this vault; read the external MANIFEST",application/vnd.google-apps.document,1024,PROVENANCE_KEEP,NONE,KEEP_VAULTED,"external manifest 1tYi29H_hsTPwi2Tj75OlYiz8sGv2JJwGT_k7FyMgNd4",CONTENT_CHECKED
1t6LpYl3xrYldNxONrt_o0LWLEXm0xRkZ3ymQkazv9j4,"ZZ_SUPERSEDED — STOP stub (pointed at old manifest) — ignore",application/vnd.google-apps.document,1024,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live STOP 1QNpZVKnfkb8xeanZ_a8q4bV_WHdzEh5ahRCfdIYJjnA",CONTENT_CHECKED
1om5C1nLb9GNu9vGhjG4FIBxo0jZUFq_kQ3ZDO5XAXiY,"ZZ_SUPERSEDED — DO_NOT_OPEN_MANIFEST mid-copy (entry rules, empty log) — USE live manifest",application/vnd.google-apps.document,2966,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live manifest 1tYi29H_hsTPwi2Tj75OlYiz8sGv2JJwGT_k7FyMgNd4",CONTENT_CHECKED
1dUylnMeC2QGTteIQBfxB4glJlxNGfwQMpQrV0vDU7as,"ZZ_SUPERSEDED — DO_NOT_OPEN_MANIFEST shell (pre-entry-rules)",application/vnd.google-apps.document,1731,DUPLICATE_WITH_VERIFIED_SUCCESSOR,NONE,KEEP_VAULTED,"live manifest 1tYi29H_hsTPwi2Tj75OlYiz8sGv2JJwGT_k7FyMgNd4",CONTENT_CHECKED
18PdDtAiB0mUK2tIM4UjhlxcU5XJHNRWF,"NOT_KEEP — RECOVERY_COPY twin — HASH_MATCH KEEP 5393ec94… — SIDE24_G9_R2_RECOVERY_AND_RECONSTRUCTION_2026-08-01.zip",application/zip,22269093,DUPLICATE_WITH_VERIFIED_SUCCESSOR,MEDIUM,KEEP_VAULTED,"KEEP 1Uz1xeynsY17xHDTfisVC6ImztJOXZbFp; downloaded vault SHA256 5393ec94ae6a05c31cc2fd22d45ff7667f9286c9f6b100c4425409786c7d1f58 and external receipt independently records exact KEEP match",HASH_AND_SUCCESSOR_VERIFIED
1b-74h3nJ8g58VJc749ohzL6eYYMPou9H,"CENSUS_DUMP_NOT_HOLD — ZIP_MANIFEST.csv (2671B)",text/csv,2671,NEEDS_REVIEW,MEDIUM,DIFF_WITH_CURRENT_CATALOG,"historical ZIP manifest",PARENT_VERIFIED
15h-20FEWSNyPXkxE-UACHsx2dQvHsvVJ,"CENSUS_DUMP_NOT_HOLD — CLOSE-20260917-b9c2_INVENTORY.csv",text/csv,1024149,IMPORTANT_EXTRACT_REQUIRED,HIGH,DIFF_WITH_CURRENT_GIT_DRIVE_CATALOG,"historical closure inventory",PARENT_VERIFIED
14f8aOOXFK4K-ZSJV-bUkavxgUgrXJKit,"CENSUS_DUMP_NOT_HOLD — ZIP_MANIFEST.csv (14050B)",text/csv,14050,NEEDS_REVIEW,MEDIUM,DIFF_WITH_CURRENT_CATALOG,"historical ZIP manifest",PARENT_VERIFIED
1Q2Oa0p9PNMZ5BlwmMt9tMmadN-h41Xsi,"CENSUS_DUMP_NOT_HOLD — ZIP_MANIFEST.csv (9285B)",text/csv,9285,NEEDS_REVIEW,MEDIUM,DIFF_WITH_CURRENT_CATALOG,"historical ZIP manifest",PARENT_VERIFIED
1QoCuPGDWEBF8J7VCloXiOThaPyaGnycd,"CENSUS_DUMP_NOT_HOLD — FULL_DOCS_INDEX.csv",text/csv,71245,IMPORTANT_EXTRACT_REQUIRED,MEDIUM,DIFF_WITH_CURRENT_CATALOG,"historical document index",PARENT_VERIFIED
1BKCh0N9GM_AdYYXGu7EIudrTekHBRMye,"CENSUS_DUMP_NOT_HOLD — FULL_DRIVE_FOLDER_INDEX.csv (87993B)",text/csv,87993,PROVENANCE_KEEP,LOW,KEEP_VAULTED_AFTER_DIFF,"historical folder index",PARENT_VERIFIED
13Tt9nJIt7QJEBbAKi9Rkd1q5p7hNMQiw,"CENSUS_DUMP_NOT_HOLD — FULL_CODE_INDEX.csv",text/csv,647097,IMPORTANT_EXTRACT_REQUIRED,HIGH,DIFF_WITH_CURRENT_GIT_CODE_CATALOG,"historical code index",PARENT_VERIFIED
1l3-MuZwjWTDaWc9y8_i2bFexuevXbM_n,"CENSUS_DUMP_NOT_HOLD — FULL_DRIVE_FOLDER_INDEX.csv (82271B)",text/csv,82271,PROVENANCE_KEEP,LOW,KEEP_VAULTED_AFTER_DIFF,"historical folder index",PARENT_VERIFIED
19ThSFctrr7lz0B7YNuaqLFOQaGx8E_UR,"ZZ_SUPERSEDED — SIDE24_PRE_REVIEW_2026-07-31.zip (non-PKG twin)",application/zip,2615005,DUPLICATE_WITH_VERIFIED_SUCCESSOR,MEDIUM,KEEP_VAULTED,"PKG-05 101yMW5gQO16crGZyGesOw9KEBYuB7dLV; downloaded both SHA256 14eaf7d403cd8c103576807719e8ee031cad1fc5bba58f1c37574a790849e44b",HASH_AND_SUCCESSOR_VERIFIED
1v7JAh_FbXHYMaL7W6DNwEoLnHPwQ5U21,"ZZ_SUPERSEDED — rnu_ds3_scalar_SUPERSEDED.py (7201B)",text/x-python,7201,SAFE_SUPERSEDED,HIGH,KEEP_VAULTED,"preferred rnu_ds3.py 14FIaDPHfbTTGQWzxZi8xKAzlKub5Iud8 is a distinct 9704B successor; old SHA c3d5adc8b88788b7eed43bd68efe9381f7076775a7ec60817a20a8267d9116da vs successor bd3074fd900fc80bebdd430e34ae953f0a78685fff672758e7b927cc1e6d9421",CONTENT_AND_SUCCESSOR_VERIFIED
1TSH5V0f-7BwdlHlY6-VarfuDFEQT-TIf,"ZZ_SUPERSEDED — SIDE24_V3_4_AUDIT_REPLAY_FULL_ARCHIVE.zip (SHA≡CLOSURE)",application/zip,12465983,DUPLICATE_WITH_VERIFIED_SUCCESSOR,MEDIUM,KEEP_VAULTED,"closure checkpoint 13QS9QQHxSiuLPIPSh9o5plS5HkClwSmz; downloaded both SHA256 ba2a296b6a9c438eaf9f30aeaa40d4162195b256a9b2516259cd30a2468dd480",HASH_AND_SUCCESSOR_VERIFIED
1djAbU8_Tg5a4TUsyK_7BuGTnDd7KWzt8,"ZZ_SUPERSEDED — SIDE24_EXACT_R2.zip (SHA≡PRE_REVIEW)",application/zip,2615005,DUPLICATE_WITH_VERIFIED_SUCCESSOR,MEDIUM,KEEP_VAULTED,"PKG-05 101yMW5gQO16crGZyGesOw9KEBYuB7dLV; downloaded both SHA256 14eaf7d403cd8c103576807719e8ee031cad1fc5bba58f1c37574a790849e44b",HASH_AND_SUCCESSOR_VERIFIED
