Metric,Numerator,Denominator,Value,Status,Source
current_p02_lm012_review_routes_unique,1,1,1,PASS,LCR-REQ-045-v1.0
stable_completed_root_objects_routed_gp_mig_194,12,12,1,PASS,GP-MIG-194-v1.0
shared_dependency_review_folder_governed,1,1,1,PASS,GP-README-195-v1.0 / folder 128nZmf...
global_object_audit_current_p02_lm012_present,1,1,1,PASS,GOA-P02-003 / LCR-DER-043-v1.0
independent_review_lanes_ready,2,2,1,PASS,GP-AUD-196 / Family A+B intake folders
independent_reviewers_assigned,0,2,0,OPEN,GP-AUD-196
reviewer_authored_pass_a_records,0,2,0,OPEN,GP-AUD-196
independent_review_verdicts_received,0,2,0,OPEN,GP-AUD-196
help_board_stale_active_routes_retired_gp_cor_197,9,9,1,PASS,GP-COR-197-v1.0
help_board_actionable_request_rows_current,41,41,1,PASS,Help Board / Dashboard row 15; includes HB-LP057-201
open_questions_actionable_rows_current,9,9,1,PASS,Open Questions / Dashboard row 11
open_questions_terminal_historical_rows,4,4,1,PASS,OQ-001–OQ-004
stable_completed_root_objects_routed_gp_mig_199,6,6,1,PASS,GP-MIG-199-v1.0
p01_taylor_constant_audit_bundle_governed,1,1,1,PASS,GP-README-198 / folder 199OwA8...
shared_measurable_branch_interface_routed,1,1,0,OPEN-REVIEW,GP-DER-197 / GP-REQ-197
help_board_actionable_request_rows_previous_40,40,41,0,SUPERSEDED,Prior verified count before the new independent LCR-DER-057 exact-hash review gate was added
shared_measurable_branch_review_route_present,1,1,0,OPEN-REVIEW,HB-EVENT-197 / GP-REQ-197
content_address_self_reference_incidents_resolved,1,1,1,PASS,GP-REC-197 / Failed-freeze flag
p02_named_interfaces_current,13,13,1,PASS,LCR-CAP-025-v1.2 / Dashboard
p02_review_pending_interfaces_current,9,9,1,PASS,LM003/004/006/007/009/010/011/012/013
p02_terminal_interfaces_current,4,4,1,PASS,LM001/002/005/008
artifact_index_duplicate_primary_keys_gp197_resolved,4,4,1,PASS,VOID-DUPLICATE GP197 rows / GP-MIG-200
gpder197_duplicate_help_routes_retired,2,2,1,PASS,HB-EVENT-197 controls
p01_quantitative_first_bottleneck_request_present,1,1,0,OPEN,HB-P01-QCONST-001
stable_completed_root_objects_routed_gp_mig_200,2,2,1,PASS,GP-MIG-200-v1.0
material_math_audit_errors_quarantined_gp_cor_201,1,1,1,PASS,GP-AUD-199 / GP-COR-201
incorrect_taylor_constant_propagation_incident,6,6,1,RESOLVED,GP-COR-202 / LS-COR-007; six affected live P0.1 surfaces corrected
p01_q1_empty_shells_fail_closed,2,2,1,PASS,LS-DER-008 and LS-DATA-008 contain zero paragraphs; credit zero
unsupported_p01_numerical_mass_surfaces_corrected,5,5,1,PASS,LS-DER-007; LCR-DER-010; LS-REQ-006; LCR-REQ-007; LS-COR-006
ec019_bline_additional_independence_credit,0,0,1,PASS,CL-AUD-200 / CL-REC-201 duplicate B-line; CL-AUD-214 controls
cz15_candidate_raw_carriers_published,0,2,0,OPEN,LS-COR-006 records source/result target hashes; exact raw carriers absent from Drive
