Gate ID,Dispatch ID,Origin / Intake ID,Gate Policy Version,Task Class,Input Binding State,Load-Bearing Inputs / Binding Classes,Coverage Evidence / Current Baseline,Claim Gate,Output Registration Gate,Package / Manifest Impact,Release Gate,Last Checked UTC,Checker,Required Repair / HOLD,Status
TIG-DQ-020,DQ-020,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,IMPLEMENTATION / EXTERNAL REVIEW,LEGACY TASK — INPUT BINDING NOT YET PROVEN COMPLETE,Exact task sources named in Dispatch; load-bearing versus routing-only roles not fully classified in Task Integrity Gate,Legacy Dispatch row; current packet/manifest evidence may exist but has not been normalized here,HOLD UNTIL CLAIMANT COMPLETES JIT INPUT-BINDING AUDIT AND UPDATES THIS ROW,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,Determine exact package before output creation; NONE is allowed only with written justification,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Classify every source as content-bound, raw binary, embedded payload, or metadata-only; register load-bearing inputs and current baseline",HOLD — JIT INPUT AUDIT REQUIRED
TIG-DQ-023,DQ-023,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,Theorem B frozen inputs and exact-object packets; last completed package baseline LS-MAN-045; current membership HOLD; active identities under Frozen Objects and Identity Drift Watch,LS-MAN-045 last completed baseline; current package HOLD; registered watch inventory 63 / 62 PASS / 1 named HOLD; prior Anthropic scoped review and corrected LS-DER-021-REVIEW-002 exact source verified; unregistered later outputs excluded,"PASS ONLY FOR NON-OPENAI/NON-ANTHROPIC THIRD-FAMILY CLAIM AFTER OP-PROT-018, CAPABILITY, CANARY, EXPOSURE, HASH, AND SEARCH-RECEIPT RECHECK",REQUIRED BEFORE RELEASE: exact verdict and source IDs in Artifact Index/Evidence Lineage; content-bound outputs in Frozen/Watch,THEOREM_B folder if permanent output enters package; any membership/binding change requires numbered same-run successor,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE IMPACT, ROOT, XLSX, CLAIM RELEASE, AND LEASE RELEASE PASS",2026-07-28T01:45:00Z,OpenAI GPT-5.6 Thinking / FS2 review-corpus reconciliation,Use LS-DER-021-REVIEW-002; preserve prior Anthropic partial verdict as one lineage; reject unsupported first/unreviewed claims under VUL-016.,PASS INPUT / THIRD-FAMILY RELEASE-GATED
TIG-DQ-027,DQ-027,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,TRC / EXTERNAL PACKAGE REVIEW,PARTIAL PASS — FOUNDATIONAL EC020 LEAVES WATCHED; DERIVED SUCCESSORS NEED JIT COVERAGE,EC020-E1/E2/E4/E6 and GP-DATA-114 watched; DQ-022 carrier successors and GP-DATA-233 require exact gate binding,Frozen Objects/Identity Drift Watch; CLREQ225-WO7,HOLD UNTIL JIT INPUT-BINDING AUDIT COVERS EVERY DQ-022 SUCCESSOR AND VALIDATOR,REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,TRC-EC020-v0.4; no root/seal; same-run leaf verification mandatory,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-26T22:45:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,Register all reviewed carrier and validator identities; verify selected/excluded leaves; update gate before claim,HOLD — JIT INPUT AUDIT REQUIRED
TIG-DQ-028,DQ-028,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,Theorem B frozen inputs and exact-object packets; last completed package baseline LS-MAN-045; current membership HOLD; active identities under Frozen Objects and Identity Drift Watch,LS-MAN-045 last completed 72-child same-run replay; current membership HOLD after later additions; active registered watch inventory 63 rows / 62 PASS / 1 contained HOLD / 0 silent skips,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, AND HASH RECHECK",REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,THEOREM_B folder; permanent output or routing change requires manifest-impact adjudication and numbered successor when membership/binding changes,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-27T22:40:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Before release: register outputs, add Frozen/Watch rows for content-bound outputs, update review route, and publish a later numbered manifest successor if package membership or binding changes",PASS INPUT / RELEASE-GATED
TIG-DQ-029,DQ-029,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,LS-DER-024 predecessor B; LS-DER-035 amendment B; LS-REQ-029 packet B; LS-DER-033/data companions; last completed package baseline LS-MAN-045; current membership HOLD,LS-MAN-045 last completed 72-child replay plus exact amendment/review receipts; active registered watch inventory 63 / 62 PASS / 1 contained HOLD / 0 silent skips; LS-DER-036-v1.1 and LS-REQ-032 now exact-registered,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, HASH, AND OP-PROT-018 LANE RECHECK","PASS — CL-AUD-LSDER035 indexed, lineage-bound, frozen, and watched; later DQ-057 outputs remain a separate registration scope",HISTORICAL DQ-029 OUTPUT REGISTRATION PASS; LAST COMPLETED PACKAGE BASELINE LS-MAN-045 / CURRENT MEMBERSHIP HOLD,PASS — deterministic amendment review complete; DQ-057 reviews the separate probability repair; later package additions do not reopen DQ-029,2026-07-27T21:40:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,No repair to the completed claim; preserve DQ-057 and current-package registration as separate successor obligations,COMPLETE / RELEASED
TIG-DQ-032,DQ-032,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,Theorem B frozen inputs and exact-object packets; last completed package baseline LS-MAN-045; current membership HOLD; active identities under Frozen Objects and Identity Drift Watch,LS-MAN-045 last completed 72-child same-run replay; current membership HOLD after later additions; active registered watch inventory 63 rows / 62 PASS / 1 contained HOLD / 0 silent skips,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, AND HASH RECHECK","PASS — CL-AUD-LSDER025 and CL-REC-LSDER025 indexed, lineage-bound, frozen, and watched",PASS — review/receipt package impact included in current reconciliation,"PASS — review obligation complete; verdict is AMEND REQUIRED BY DEPENDENCY, not approval",2026-07-27T22:40:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,DQ-057 reviews candidate dependency repair; preserve no-claim capability note,COMPLETE / RELEASED / AMENDMENT VERDICT
TIG-DQ-035,DQ-035,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,Theorem B frozen inputs and exact-object packets; last completed package baseline LS-MAN-045; current membership HOLD; active identities under Frozen Objects and Identity Drift Watch,LS-MAN-045 last completed 72-child same-run replay; current membership HOLD after later additions; active registered watch inventory 63 rows / 62 PASS / 1 contained HOLD / 0 silent skips,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, AND HASH RECHECK",REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,THEOREM_B folder; permanent output or routing change requires manifest-impact adjudication and numbered successor when membership/binding changes,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-27T22:40:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Before release: register outputs, add Frozen/Watch rows for content-bound outputs, update review route, and publish a later numbered manifest successor if package membership or binding changes",PASS INPUT / RELEASE-GATED
TIG-DQ-038,DQ-038,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,Theorem B frozen inputs and exact-object packets; last completed package baseline LS-MAN-045; current membership HOLD; active identities under Frozen Objects and Identity Drift Watch,LS-MAN-045 last completed 72-child same-run replay; current membership HOLD after later additions; active registered watch inventory 63 rows / 62 PASS / 1 contained HOLD / 0 silent skips,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, AND HASH RECHECK",REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,THEOREM_B folder; permanent output or routing change requires manifest-impact adjudication and numbered successor when membership/binding changes,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-27T22:40:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Before release: register outputs, add Frozen/Watch rows for content-bound outputs, update review route, and publish a later numbered manifest successor if package membership or binding changes",PASS INPUT / RELEASE-GATED
TIG-DQ-043,DQ-043,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,"LS-DER-030 body, CL-AUD-LSDER030 and CL-REC-LSDER030 receipts; historical release context LS-MAN-042; current dependency context last completed LS-MAN-045 / membership HOLD",Historical DQ-043 release predicates passed under LS-MAN-042; exact identities remain active PASS in the current 63-row registered watch inventory (62 exact PASS / 1 named contained GP-COR-143 HOLD / 0 silent skips); current package completeness remains HOLD,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, HASH, AND OP-PROT-018 LANE RECHECK","SATISFIED HISTORICALLY — REVIEW, RECEIPT, LS-MAN-042, ARTIFACT/EVIDENCE/REVIEW ROUTING",SATISFIED HISTORICALLY UNDER LS-MAN-042; LAST COMPLETED CURRENT BASELINE LS-MAN-045 / 72 CHILDREN / ROOT NONE / SEALED NO; CURRENT MEMBERSHIP HOLD,PASS — COMPLETED DQ-043 CLAIM REMAINS RELEASED; current package additions do not reopen it solely for later metadata,2026-07-28T07:34:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,Reopen only on LS-DER-030/review identity drift or a defect in the historical release evidence; current package replay is a separate control-plane obligation,COMPLETE / RELEASED
TIG-DQ-045,DQ-045,LEGACY / DIRECT DISPATCH,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,LS-DER-031/030 bodies and external receipts; LS-DER-035/036 repair chain; DQ-051 C1/C2 companions; last completed package baseline LS-MAN-045; current membership HOLD,LS-MAN-045 last completed 72-child replay; active registered watch inventory 63 / 62 PASS / 1 contained HOLD / 0 silent skips; v1.1 and LS-REQ-032 registered while other later package children remain excluded until exact rows exist,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, HASH, AND OP-PROT-018 LANE RECHECK",SATISFIED for existing DQ-043/DQ-029/DQ-032 review outputs; HOLD for DQ-051/DQ-057 later-output registration and remaining routes,LAST COMPLETED PACKAGE BASELINE LS-MAN-045 / 72 CHILDREN / ROOT NONE / SEALED NO; CURRENT MEMBERSHIP HOLD; NUMBERED SUCCESSOR REQUIRED,HOLD — DQ-029 reviewed; DQ-032 amendment-by-dependency; DQ-056 same-family repair; DQ-051 outputs need exact registration; DQ-057 and other dependency routes remain,2026-07-27T21:40:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Require exact registration/replay of later outputs and completion of DQ-023, DQ-028, DQ-035, DQ-057, and any declared additional-family predicate; no automatic promotion",PASS EXISTING OUTPUTS / CURRENT PACKAGE AND DEPENDENCY RELEASE HOLD
TIG-DQ-049,DQ-049,TI-TB-049-20260726,OP-PROT-014 / R12,THEOREM B / DIRECT RESEARCH,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,LS-DER-024/C102 predecessor claims; LS-DER-035 amendment; LS-REQ-029 review packet; LS-MAN-043 current package receipt,"Completion crossed the LS-MAN-042 predecessor state to LS-MAN-043; exact amendment, packet, 62-child manifest, root, XLSX, claim, and lease gates passed","PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, AND HASH RECHECK","PASS — LS-DER-035, LS-REQ-029, LS-MAN-043 indexed in Artifact Index, Evidence Lineage, Frozen Objects, and Identity Drift Watch",PASS — two new Theorem B leaves plus numbered LS-MAN-043; final 62-child package; root NONE; sealed NO,"PASS — final parent query, root folders-only sweep, live/XLSX task view, exact bodies, claim release, and lease release passed",2026-07-27T15:42:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,No repair required for the completed claim; future work proceeds through DQ-029 amendment review and DQ-056 Palm-law research,COMPLETE / RELEASED
TIG-DQ-051,DQ-051,TI-TB-051-20260726,OP-PROT-014 / R12,THEOREM B / DIRECT RESEARCH,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,"S2-DER-010, CL-AUD-S2DER010, S2-REQ-005, GP-DER-197/LCR selector stack, LS-MAN-045 baseline; later DQ-051 outputs not yet terminally registered",LS-MAN-045 last completed 72-child replay; current membership HOLD after later additions; Anthropic lane terminal via verified COMPLETE marker; later OpenAI claim abandoned/released; no live DQ-051 claim; output registration and numbered package replay remain HOLD,PASS — PRIOR ADVISORY LANE TERMINAL; NO LIVE CLAIM; OPENAI COLLISION CLAIM ABANDONED,"HOLD — LS-DER-037, LS-REQ-031, and CL-DER-MEAS exist but full Frozen/Watch, index, and package registration is incomplete",CURRENT MEMBERSHIP HOLD — post-LS-MAN-045 additions require one final numbered same-run successor after all identities are registered,"HOLD UNTIL OUTPUT REGISTRATION, FORMALIZATION ROUTE, FINAL PACKAGE REPLAY, ROOT, XLSX, AND LEASE RELEASE PASS",2026-07-28T02:01:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,Terminal lane verified; register all concurrent DQ-051 outputs and publish one stable-inventory manifest successor before release; reopen lane HOLD only on contradictory successor evidence,PASS INPUT / OUTPUTS EXIST / PACKAGE-REPLAY HOLD
TIG-DQ-053,DQ-053,TI-TB-053-20260726,OP-PROT-014 / R12,THEOREM B / EXTERNAL REVIEW,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,Theorem B frozen inputs and exact-object packets; last completed package baseline LS-MAN-045; current membership HOLD; active identities under Frozen Objects and Identity Drift Watch,LS-MAN-045 last completed 72-child same-run replay; current membership HOLD after later additions; active registered watch inventory 63 rows / 62 PASS / 1 contained HOLD / 0 silent skips,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, AND HASH RECHECK",REQUIRED BEFORE RELEASE: Artifact Index + Evidence Lineage + output IDs; Frozen/Watch for content-bound outputs,THEOREM_B folder; permanent output or routing change requires manifest-impact adjudication and numbered successor when membership/binding changes,"HOLD UNTIL OUTPUT REGISTRATION, PACKAGE-IMPACT CHECK, ROOT SWEEP, AND CLAIM RELEASE PASS",2026-07-27T22:40:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Before release: register outputs, add Frozen/Watch rows for content-bound outputs, update review route, and publish a later numbered manifest successor if package membership or binding changes",PASS INPUT / RELEASE-GATED
TIG-DQ-054,DQ-054,TI-OPS-054-20260726,OP-PROT-014 / R12,THEOREM B / OPERATIONS,PASS — CURRENT LOAD-BEARING INPUT COVERAGE,"OP-PROT-017 standard/reference, exact receipts, DQ-055 audit, and current registered watches under the LS-MAN-045 last-completed baseline / current membership HOLD",Historical DQ-054 completion verified standard/reference; original DQ-055 37-row sweep remains fact; current registered inventory is 63 / 62 PASS / 1 contained HOLD / 0 silent skips; unregistered later outputs excluded,"PASS SUBJECT TO LIVE CLAIM, PROVIDER, MODE, HASH, AND OP-PROT-018 LANE RECHECK","SATISFIED — standard, reference implementation, receipt, and DQ-055 audit registered",NONE for historical DQ-054 outputs; last completed package baseline LS-MAN-045 / 72 / root NONE / sealed NO; current membership HOLD,PASS — historical DQ-054 and original DQ-055 release gates remain satisfied; current registered inventory reconciled without reopening completed claims,2026-07-28T08:30:00Z,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Reopen only on OP-PROT-017/reference drift, registered-watch mismatch, package/root/XLSX contradiction, or silent inclusion of unregistered later outputs.",COMPLETE / RELEASED / CURRENT REGISTERED COVERAGE 63 / PACKAGE MEMBERSHIP HOLD
