Event ID,UTC,Session ID,Provider,Target key,Event type,Claim reference,Lease until UTC,Source SHA-256,Expected old head,Proposed new head / artifact,Status,Notes,Domain
HEARTBEAT-RN5-2026-09-17T17:12:43.249Z,2026-09-17T17:12:43.249Z,ROUND5-20260917-b9c2,OpenAI,RN-UNIF/r=1/20/SIDE24,HEARTBEAT,CLAIM-ROUND5-RN5-ALIGN-NEAR,2026-09-17T19:12:43.250Z,5bc092412943e1c2185a8cf86cee23ae9cd9a2aad9bd9ef0b02807e9ff58dfa4,RN3 + CL-RNU-003,RN5 repair candidate,ACTIVE,Wrong near determinant moment proved; 65 stations and 10 local Taylor boxes; full cover open,MATH
HEARTBEAT-LM004-2026-09-17T17:12:43.249Z,2026-09-17T17:12:43.249Z,ROUND5-20260917-b9c2,OpenAI,REV-AUTO-RV-LM004-20260917165201,HEARTBEAT,CLAIM-ROUND5-LM004-REVIEW-ERRATUM,2026-09-17T19:12:43.250Z,c0571b7affc23c0d44e3479cb7ebafafbcfd49001a43097d43f00553f1d75f81,1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt,Numbered erratum in preparation,ACTIVE,Fresh full raw export proves duplicate-term finding false; target frozen body unchanged,OPS
PUBLISH-RN5-20260917,2026-09-17T17:19:16.450Z,ROUND5-20260917-b9c2,OpenAI,RN-UNIF/r=1/20/SIDE24,PUBLISH,CLAIM-ROUND5-RN5-ALIGN-NEAR,,ac89f60b8206bfe011e6c2bc653e7acb39bc83a55c2a2c8fd1e17fd70c6c0383,RN3 + CL-RNU-003,https://drive.google.com/file/d/1LtnvNd0vAW-y3pzbyHLjgtF7Uw5sTph5/view,AUTHOR_CANDIDATE_VERIFIED,26 payloads exact;65 stations;10 boxes;66 checks;full near cover open,MATH
PUBLISH-LM004-ERRATUM-20260917,2026-09-17T17:19:16.450Z,ROUND5-20260917-b9c2,OpenAI,REV-AUTO-RV-LM004-20260917165201,PUBLISH,CLAIM-ROUND5-LM004-REVIEW-ERRATUM,,84189b73e414952d086877fda5b59b1bfb3d6c40c389bcb19daa43bf8866efc9,1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt,https://drive.google.com/file/d/1QKujzzkp_nzCWFLky9ZayTzP_fbStxry/view,A1_SUPERSEDED,Source body unchanged; prior technical disposition and external predicate retained,OPS
QUARANTINE-RN5-20260917,2026-09-17T17:19:16.450Z,ROUND5-20260917-b9c2,OpenAI,RN5-five-scoped-exclusions,RECORD_QUARANTINE,CLAIM-ROUND5-RN5-ALIGN-NEAR,,d7e156f913e0695a3ad457640781e7a9eff191f0f3c35df8415f7995c38cd36f,Old affected scopes,https://drive.google.com/file/d/1HkQimvHTRrovPKxMJHniT1I16jLIIKXf/view,RECORDED,Three frozen archive-member scopes;CL near claim;old LM004 A1 claim. One reversible old-report move.,OPS
CL-CODE-BLOCKER-RN5-20260917,2026-09-17T17:19:16.450Z,ROUND5-20260917-b9c2,OpenAI,CL-RNU-003-current-executable,CANNOT_VERIFY,CLAIM-ROUND5-RN5-ALIGN-NEAR,,59b8f002f1b1e81e7829416baf16ef1d84b1326d4b3b4604b833e5a55a9d6d53,CL report references v5 archive,https://drive.google.com/file/d/1LtnvNd0vAW-y3pzbyHLjgtF7Uw5sTph5/view,MISSING_EXACT_SOURCE,Locate exact CL_ANTHROPIC_BUNDLE_2026-09-17_v5.zip or rnu_t4.py/rnu_spine.py with hashes; report-level crosswalk completed,MATH
RELEASE-RN5-20260917,2026-09-17T17:19:16.450Z,ROUND5-20260917-b9c2,OpenAI,RN-UNIF/r=1/20/SIDE24,RELEASE,CLAIM-ROUND5-RN5-ALIGN-NEAR,,28c1c385406452a706f11aea1646a87585b002841005d57febdf32222c368c6e,RN3 + CL-RNU-003,https://drive.google.com/file/d/1g5UP_KYlvPmx7LFwjGk6qK5QZLnL1hLj/view,COMPLETE_SCOPED,Author-side repair delivered; no retained claim; global near-integral/theorem still open,MATH
RELEASE-LM004-ERRATUM-20260917,2026-09-17T17:19:16.450Z,ROUND5-20260917-b9c2,OpenAI,REV-AUTO-RV-LM004-20260917165201,RELEASE,CLAIM-ROUND5-LM004-REVIEW-ERRATUM,,84189b73e414952d086877fda5b59b1bfb3d6c40c389bcb19daa43bf8866efc9,1CHErajW7G2y8y7Mr0bKYMy2lJbA2HIAt,https://drive.google.com/file/d/1QKujzzkp_nzCWFLky9ZayTzP_fbStxry/view,COMPLETE,Erratum delivered; no retained claim,OPS
CUSTODY-RN5-20260917,2026-09-17T17:21:33.184Z,ROUND5-20260917-b9c2,OpenAI,RN5-release,RECORD_CUSTODY,CLAIM-ROUND5-RN5-ALIGN-NEAR,,3aad4a2f83252aae6a7ef1fa47c589768ac74e1572ed1dc0b601ccec1bd6f6bc,RN5 verified candidates,https://drive.google.com/file/d/1QqS2W0D0FYPHeXyDSjAS2LhOPgSUcQ9m/view,VERIFIED / CLAIMS RELEASED,Detached receipt; no new claim or independence credit,OPS
RN5-OPS-CUSTODY-20260917,2026-09-17T17:24:13.572Z,ROUND5-20260917-b9c2,OpenAI,RN5-publication-custody,RECORD_CUSTODY,CLAIM-ROUND5-RN5-ALIGN-NEAR,,f1b7384268546a243e8e5a01144c683ba653f6b510855d43db0d94f463639b43,RN5-CUSTODY,https://drive.google.com/file/d/1kzXocXd6qZH2-pSTwLoODh0F5K6piUml/view,VERIFIED / CLAIMS RELEASED,All Drive outputs saved and raw-verified. Additional chat Library copies failed transfer twice; no scientific or Drive data loss.,OPS
CLAIM-ACCESS-20260917-4121,2026-09-17T18:14:46.185Z,ACCESS-20260917-4121,OpenAI / Codex,DRIVE-FORMAT-ACCESSIBILITY,CLAIM,CLAIM-ACCESS-20260917-4121,2026-09-17T20:14:46.186Z,,Existing R17 navigation,Accessibility copies and complete inventory,ACTIVE,Owner-requested full inventory and format repair. Additive source-preserving copies; no scientific status changes.,OPS
HEARTBEAT-ACCESS-2026-09-17T19:19:26.427Z,2026-09-17T19:19:26.427Z,ACCESS-20260917-4121,OpenAI / Codex,DRIVE-FORMAT-ACCESSIBILITY,HEARTBEAT,CLAIM-ACCESS-20260917-4121,2026-09-17T21:19:26.427Z,,Existing R17 navigation,"Resume saved 4,456-item audit",ACTIVE,User requested continuation; checkpoint recovered in workspace ddc3191a7438. No scientific promotion.,OPS
HEARTBEAT-ACCESS-2026-09-17T20:35:16.450Z,2026-09-17T20:35:16.450Z,ACCESS-20260917-4121,OpenAI / Codex,DRIVE-FORMAT-ACCESSIBILITY,HEARTBEAT,CLAIM-ACCESS-20260917-4121,2026-09-17T22:35:16.450Z,,Existing R17 navigation,Format accessibility copies and source map,ACTIVE,"Owner-requested continuation. Full 4,456-item baseline audited; publishing verified reading copies and repairing import fidelity. Original sources and scientific status preserved.",OPS
HEARTBEAT-ACCESS-2026-09-17T21:45:12.347Z,2026-09-17T21:45:12.347Z,ACCESS-20260917-4121,OpenAI / Codex,DRIVE-FORMAT-ACCESSIBILITY,HEARTBEAT,CLAIM-ACCESS-20260917-4121,2026-09-17T23:45:12.347Z,,Existing accessibility partial publication,"Complete remaining copies, validate data, publish source map",ACTIVE,User resumed after context limit; recovered original audit and exact pending queue. No scientific status changes.,OPS
HEARTBEAT-ACCESS-2026-09-17T23:01:44.618Z,2026-09-17T23:01:44.618Z,ACCESS-20260917-4121,OpenAI / Codex,DRIVE-FORMAT-ACCESSIBILITY,HEARTBEAT,CLAIM-ACCESS-20260917-4121,2026-09-18T01:01:44.618Z,,Existing accessibility partial publication,Complete native data repair and publish source map,ACTIVE,Recovered original audit/checkpoints from ddc3191a7438; continuing after IMG_6203 context limit. Source evidence and scientific status preserved.,OPS
HEARTBEAT-ACCESS-2026-09-17T23:53:40.937Z,2026-09-17T23:53:40.937Z,ACCESS-20260917-4121,OpenAI / Codex,DRIVE-FORMAT-ACCESSIBILITY,HEARTBEAT,CLAIM-ACCESS-20260917-4121,2026-09-18T01:53:40.937Z,,Existing accessibility publication,Verified data repairs; publish source map and durable handoff,ACTIVE,Owner-requested continuation after context interruption. All remaining data repairs and reading checks complete; final navigation publication underway.,OPS
PUBLISH-ACCESS-2026-09-17T23:57:33.664Z,2026-09-17T23:57:33.664Z,ACCESS-20260917-4121,OpenAI / Codex,DRIVE-FORMAT-ACCESSIBILITY,PUBLISH,CLAIM-ACCESS-20260917-4121,,b7a47ec1f996557a5e677b281e14bb0f7863478ae5c68f3f0c4866c4bb806c21,Existing partial accessibility publication,https://docs.google.com/spreadsheets/d/1hO3MPQwtAiEjCGdOjZJTbB8fKIvt_3GU6KgxPGTPiLg/edit?usp=drivesdk,COMPLETE_WITH_SOURCE_EXCEPTIONS,392 copies; all remaining data repairs verified. Report and audit readback exact. https://drive.google.com/file/d/1sORvjt806v3z1rPAlH8I7CflxEZDUx8X/view?usp=drivesdk,OPS
RELEASE-ACCESS-2026-09-17T23:57:33.664Z,2026-09-17T23:57:33.664Z,ACCESS-20260917-4121,OpenAI / Codex,DRIVE-FORMAT-ACCESSIBILITY,RELEASE,CLAIM-ACCESS-20260917-4121,,b7a47ec1f996557a5e677b281e14bb0f7863478ae5c68f3f0c4866c4bb806c21,https://docs.google.com/spreadsheets/d/1hO3MPQwtAiEjCGdOjZJTbB8fKIvt_3GU6KgxPGTPiLg/edit?usp=drivesdk,https://docs.google.com/spreadsheets/d/1hO3MPQwtAiEjCGdOjZJTbB8fKIvt_3GU6KgxPGTPiLg/edit?usp=drivesdk,RELEASED,"Publication complete for the audited snapshot. Source exceptions retained; original evidence, scientific gates and sharing unchanged. Future work uses targeted deltas.",OPS
8aae0ef2-fef3-441d-a4fa-f23dd3d34276,2026-09-18T00:09:04.401Z,STRUCTURE-20260918-C2087,OpenAI / Codex,DRIVE-STRUCTURE-20260918,CLAIM,8aae0ef2-fef3-441d-a4fa-f23dd3d34276,2026-09-18T02:09:04.401Z,3d9861ae600de134a28b8681664e2e4ab15d16f73716379a71602d44fcfac280,R17 navigation plus verified accessibility map,"Date containers, triage hierarchy, folder directory and current naming rules",ACTIVE,Owner-directed structural optimization; metadata and navigation only. Original scientific evidence and dispositions retained.,OPS
PUBLISH-STRUCTURE-20260918-C2087,2026-09-18T00:23:00.610Z,STRUCTURE-20260918-C2087,OpenAI / Codex,DRIVE-STRUCTURE-20260918,PUBLISH,8aae0ef2-fef3-441d-a4fa-f23dd3d34276,,3d9861ae600de134a28b8681664e2e4ab15d16f73716379a71602d44fcfac280,R17 navigation plus verified accessibility map,https://drive.google.com/file/d/14z_m-gec3YRFWmJJksoJNRdT9_EN8h1C/view?usp=drivesdk,COMPLETE,Report SHA-256 fb95fe0f38b243a87483f8134ea44421cc5a1f3ca2b5dcb52f6726b4b6be7886; 20 structure edits verified; 755 folder rows; 238 path changes; 8561 native cells exact. Published files hash-readback verified.,OPS
RELEASE-STRUCTURE-20260918-C2087,2026-09-18T00:23:00.610Z,STRUCTURE-20260918-C2087,OpenAI / Codex,DRIVE-STRUCTURE-20260918,RELEASE,8aae0ef2-fef3-441d-a4fa-f23dd3d34276,,3d9861ae600de134a28b8681664e2e4ab15d16f73716379a71602d44fcfac280,https://drive.google.com/file/d/14z_m-gec3YRFWmJJksoJNRdT9_EN8h1C/view?usp=drivesdk,https://docs.google.com/spreadsheets/d/1hO3MPQwtAiEjCGdOjZJTbB8fKIvt_3GU6KgxPGTPiLg/edit?usp=drivesdk,RELEASED,Completed owner-directed structural scope. Follow Folder Rules and stable IDs; no scientific status changes. Metadata basis is explicit for 184 fresh / 571 baseline folders.,OPS
e796f04b-92f6-4d0e-a53a-16503d842b1e,2026-09-18T02:50:56.093Z,OP-REUSE-20260918-66ba2ff9,OpenAI / Codex,DRIVE-REUSABLE-OPERATIONS,CLAIM,e796f04b-92f6-4d0e-a53a-16503d842b1e,2026-09-18T04:50:56.093Z,04987ba47b58be623a3b2a5a8a21236f43d4393cc04009e87f4a62b59a787390,"R17 home, router and research registers","Scope-aware operation index, insight and retrieval reference",ACTIVE,Owner-authorized audit and optimization; no scientific status promotion. Reuse existing register and preserve sources.,OPS
c3c4a153-442a-4b13-8eca-71057d5e741d,2026-09-18T16:40:35.055046Z,DG-EXEC-20260918-49291487,OpenAI / ChatGPT,DRIVE-GITHUB-EXECUTION-HANDOFF-20260918-49291487,CLAIM,c3c4a153-442a-4b13-8eca-71057d5e741d,2026-09-18T18:40:35.055063Z,,New additive operational handoff; R17 remains controlling,Drive-led / GitHub-executed design and write/admin capability blocker,ACTIVE,User authorizes model collaboration and restrictive repository access changes. GitHub reports push=false/admin=false; branch creation returned 403. No repository mutation or scientific promotion. This claim covers only a new handoff document.,OPS
383d4ccb-4aef-4aa5-bdea-48c4618cf819,2026-09-18T16:44:59.428194Z,DG-EXEC-20260918-49291487,OpenAI / ChatGPT,DRIVE-GITHUB-EXECUTION-HANDOFF-20260918-49291487,PUBLISH,c3c4a153-442a-4b13-8eca-71057d5e741d,,788451eb94ef5d557681ce7d896026c7e811402f062090046b48c083fc45d556,No prior handoff; R17 unchanged,https://docs.google.com/document/d/1ctDf6mFAlV_HcSst6dI-fxPbQCJ6j-1LrOuT8l1_oWs/edit,HANDOFF_VERIFIED / EXECUTION_NOT_DEPLOYED,Six raw files byte-identical on readback in folder 1o8eNasDxb8Ql3W1uWKJryKa9i7XHUiEI; native Doc is reading mirror. Manifest 1iwo6RO9SfyC4XGZk7BuUyGLWzNRKfxAn SHA256 a8c9f2de60c8a225391de9ba7e65356a20a1c9352688d0800e226203a6295f67. Three shell probes and exact-source local patch check passed. GitHub branch creation denied 403; no GitHub or permission mutation. Admin/write-capable session required.,OPS
168981af-4006-4b67-804c-123f9ee652ac,2026-09-18T16:44:59.428194Z,DG-EXEC-20260918-49291487,OpenAI / ChatGPT,DRIVE-GITHUB-EXECUTION-HANDOFF-20260918-49291487,RELEASE,c3c4a153-442a-4b13-8eca-71057d5e741d,,788451eb94ef5d557681ce7d896026c7e811402f062090046b48c083fc45d556,Additive handoff published,https://drive.google.com/drive/folders/1o8eNasDxb8Ql3W1uWKJryKa9i7XHUiEI,COMPLETE_SCOPED / GITHUB_PERMISSION_BLOCKED,"Document-delivery claim released. Execution installation remains open. No model-only access enforcement claimed, no remote CI run, no scientific status change, no new automation.",OPS
