Definition ID,Canonical term,Exact operational definition,Scope,Explicit exclusions,Aliases / search terms,Hyper-tag,Object tags,Authority source,Authority effect,Status,Last reviewed,Source URL
DEF-017,Controlled relation type,"A relation verb with fixed directional semantics, such as GOVERNS, RESPONDS_TO, IMPLEMENTS, AUDITS, IDENTIFIES_BLOCKER_FOR, HAS_AFFIRMATIVE_BALLOT, HAS_CLOSURE_PROPOSAL, TERMINALLY_CLOSES, or SETS_STATE_OF.",Relation Index,"Untyped links and folder proximity cannot be interpreted as support, contradiction, dependency, supersession, or closure.",edge type; relation verb; backlink semantics,[[DEF:CONTROLLED_RELATION_TYPE]],relation_schema; directionality; semantic_links,Relation Index,Navigation semantics only unless the underlying source independently carries authority,ACTIVE,2026-07-21,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit
DEF-018,Source-identity match,"A published source object satisfies source identity only when the reconstructed raw bytes have the declared byte count and the exact declared cryptographic hash. Matching length, readable text, compilation, or passing tests cannot substitute for a hash match.",Executable and machine-artifact qualification,A reversible capsule with a different SHA-256 is a distinct source object even when it has the same length and behavior on an existing test battery.,source hash; byte identity; reconstruction,[[DEF:SOURCE_IDENTITY_MATCH]],sha256; byte_count; source_object,GP-AUD-057-v1.0,Hard technical gate; no mathematical authority,ACTIVE,2026-07-21,https://docs.google.com/document/d/1xQmawVY4d-lFSKaTxI5IR_J2zYRFm8VR77OVUwzAUQQ/edit
DEF-019,Adversarial negative control,"A deliberately constructed failure-path fixture whose expected result is fail-closed rejection. It is decisive only when it isolates the claimed guard, records the exact observed behavior, and cannot pass by exercising the ordinary success path.",Instrument qualification,"Positive fixtures, self-tests authored around existing behavior, and shared primary/replay failures are not substitutes.",negative control; fault injection; failure path,[[DEF:ADVERSARIAL_NEGATIVE_CONTROL]],fault_injection; fail_closed; test_coverage,GP-DATA-058-v1.0; GP-AUD-061-v1.0; GP-DATA-060-v1.0,Test-evidence definition only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1rsrD5G-c_wESgxV-RB5JibpJM_FK1YrK3SepfQtO4jc/edit
DEF-020,Replacement file,"A complete, accessible successor object that takes over the exact navigation, content, or consolidation role of the original file or declared file set before any deletion is considered.",OP-PROT-006 replacement-before-deletion workflow,"A pointer, empty stub, incomplete summary, or file that omits unresolved objections and provenance is not an adequate replacement.",replacement; successor file; consolidation target,[[DEF:REPLACEMENT_FILE]],deletion_safety; consolidation; provenance,OP-PROT-006,Eligibility prerequisite only; no deletion authority by itself,ACTIVE,2026-07-21,https://docs.google.com/document/d/18QG8Ss_DoPd_Oyitzt0pI5crnhcOe1q_wIMSUAdwVG8/edit
DEF-021,Replacement support,A written affirmation from at least one active non-author model line that identifies the replacement and states that it adequately preserves the declared role and scope of the original object or consolidation set.,OP-PROT-006 deletion eligibility,"Author self-approval, silence, folder placement, an unreviewed navigation link, or a generic agreement without the exact replacement object is not support.",non-author support; adequacy review; replacement affirmation,[[DEF:REPLACEMENT_SUPPORT]],review; support_record; deletion_gate,OP-PROT-006,One prerequisite; does not waive the clock or issue review,ACTIVE,2026-07-21,https://docs.google.com/document/d/18QG8Ss_DoPd_Oyitzt0pI5crnhcOe1q_wIMSUAdwVG8/edit
DEF-022,Clean deletion clock,"The 24-hour interval associated with an identified replacement during which no unresolved issue is filed against replacement adequacy. The exact clock origin and expiry must be recorded, and any issue stops the clock until repaired.",OP-PROT-006 deletion eligibility,"Renumbering, staging, support requests, or author claims do not start or complete the clock. Where the directive leaves the origin ambiguous, the more conservative recorded origin governs.",24-hour clock; no-issue interval; deletion waiting period,[[DEF:CLEAN_DELETION_CLOCK]],clock; issue_window; destructive_gate,OP-PROT-006; DELETION_LOG,Mandatory prerequisite; no automatic deletion at expiry,ACTIVE,2026-07-21,https://docs.google.com/document/d/1Wl0q5vwFXb7WN_PQZrBnlAK0v_OyVybsuExJZF2JLuI/edit
DEF-023,Protected or non-prunable object,"An authority, terminal, recovery, provenance, active-machine, or last-known-good object that must not be staged or deleted unless a later explicit operator instruction names that exact object and satisfies all applicable replacement and safety gates.",Staging and deletion workflow,"General housekeeping authority, duplicate appearance, or navigation inconvenience cannot override protection.",protected file; non-prunable; last-known-good,[[DEF:PROTECTED_NONPRUNABLE_OBJECT]],provenance; recovery; authority; terminal_record,OP-PROT-006; staging rules; GP-AUTO-034 Q8 boundary,Hard exclusion unless exact later authority changes it,ACTIVE,2026-07-21,https://docs.google.com/document/d/1AM7PSKqpTjD6EDw1oiOfpDKbP7vD0ggSTnqgYtF6pPw/edit
DEF-024,Revision-qualified source receipt,"A source reconstruction receipt bound to the immutable Drive file ID, an observed revision or modification time, exact extraction procedure, decoded byte count, cryptographic hash, and runtime-reported source hash. Later in-place edits create a new current-state object even when the Drive ID is unchanged.",Mutable Drive-native publication capsules and executable artifacts,"A hash result without the observed revision state, a cached export, title equality, or same Drive ID alone cannot determine the current source bytes.",revision-bound receipt; current source; cached export,[[DEF:REVISION_QUALIFIED_SOURCE_RECEIPT]],revision; drive_id; sha256; cache_control; source_identity,GP-AUD-057-v1.0; GP-AUD-061-v1.0; GP-AUD-063-v1.0,Source-identity control only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1xQmawVY4d-lFSKaTxI5IR_J2zYRFm8VR77OVUwzAUQQ/edit
DEF-025,Operator authorization versus ballot majority,"A direct operator instruction may authorize a scoped operational action, override an ordinary workflow restriction, or supply a human gate, but it is not an affirmative model-line ballot and does not change a 3-of-4 consensus count unless the operator explicitly amends the voting rule for that specified ballot.",Governance and operational authorization,"Operator authorization cannot be copied into GP, CL, AO48, or CW/C047R cells as fresh votes; it cannot convert silence, prior-draft votes, or non-ballot technical responses into exact-revision affirmatives.",operator override; direct authorization; ballot separation,[[DEF:OPERATOR_AUTHORIZATION_VS_BALLOT]],governance; authority_channel; vote_count; exact_revision,OP-PROT-003; Operator Decisions,Separates authority channels; does not restrict Dylan’s substantive operator authority,ACTIVE,2026-07-21,https://docs.google.com/spreadsheets/d/1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no/edit#gid=200010
DEF-026,Corrected six-pin pair frame,"For X_r=(f(x_m),f(x_s),f_t(x_m),f_s(x_m),f_t(x_s),f_s(x_s)), the corrected frame is Y_r=(V^+,V^-_corr,G_t^+,G_t^-,G_s^+,G_s^-) with symmetric sums, first derivative differences divided by r, and V^-_corr=[f(x_s)-f(x_m)-r(f_t(x_s)+f_t(x_m))/2]/r^3.",Degenerating maximum–saddle pair conditioning,The uncorrected value difference is not a convergent off-surface coordinate; row permutations may alter determinant sign but not |det T_r|=r^-5.,six-pin frame; corrected divided difference; Hermite correction,[[DEF:CORRECTED_SIX_PIN_PAIR_FRAME]],pair_frame; divided_difference; density_jacobian; finite_r,File 4 equations (3.1)–(3.4); GP-DER-061-v1.0,Defines the exact finite-r coordinate object only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1LFs1OlJwHvPTjby9Vjfua3X9L3iQNey_gRu0crd0og8/edit
DEF-027,Pair-frame closure scope,"The EC-014 terminal scope consists only of the declared T_r ordering, det T_r=-r^-5 or |det T_r|=r^-5 with sign convention, p_X=r^-5p_Y, the planted denominator-power witness, and (r^3/6)r^-5r^2=1/6.",EC-014,"Uniform covariance convergence, positivity or convergence of z_r, adjacency, positive contact limits, lifetime-density coefficients, P0.2, and Theorem B are excluded.",EC-014 scope; contact-power identity; closure boundary,[[DEF:PAIR_FRAME_CLOSURE_SCOPE]],closure_scope; exclusions; no_promotion,GP-REQ-057-v1.0; GP-DER-061-v1.0,Closure eligibility only after two-line review and human approval,ACTIVE,2026-07-21,https://docs.google.com/document/d/1V-2e8oeYrf2Amgm2wzkSMAlpXDTQWgxEC5tHSTFKVLs/edit
DEF-028,Source-publication-ready artifact,"A Drive object from which a reviewer can obtain the complete declared raw source bytes by a stated deterministic procedure and verify byte count, cryptographic hash, revision state, and runtime source identity.",Executable source qualification,"An empty Docs file, trailing fragment, prose description, hash declaration, author receipt, or inaccessible local path is not source-publication-ready.",published source; reconstructable capsule; raw file,[[DEF:SOURCE_PUBLICATION_READY]],source_publication; exact_bytes; reconstruction; revision,GP-AUD-063-v1.0,Hard technical prerequisite only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1tvskI0aup4X8Qt2v_v_C7M0C8L1W1ssYJiSbHRR4Uhg/edit
DEF-029,Conditional operator approval,"A human approval whose effectiveness is expressly contingent on a named later review, vote, test, or approval. The item remains open until the named condition is satisfied by explicit evidence.",Human-approval and closure workflow,"The condition cannot be inferred from silence, an older review aimed at different wording, or the human decision itself.",conditional approval; contingent human gate; with CL approval,[[DEF:CONDITIONAL_OPERATOR_APPROVAL]],human_gate; closure; explicit_condition; review,HA-006; GP-REQ-065-v1.0,Authorizes closure only after exact named condition passes,ACTIVE,2026-07-21,https://docs.google.com/document/d/1bH8yym83fqynkKYJOdXPPzf9Xc7NpMsR2h53i9FUOkk/edit
DEF-030,P0.2 selected unstable branch,"For the ordered typed pair (M maximum, S index-one saddle), choose the unit unstable eigenvector e_u at S by e_u·(M-S)>0. The selected global branch is the unstable-manifold continuation tangent to e_u, and A_r occurs when its forward omega-limit is M.",Exact finite-r P0.2 branch-specific gradient adjacency event,"Does not condition the typed pair-Palm law; does not select the opposite branch; undefined on degeneracy, nonunique unstable eigenspace, or zero projection; certificate failure is not A_r complement.",M-ward branch; decreasing-X branch; selected unstable direction; governing branch convention,[[DEF:P02_SELECTED_BRANCH]],P0.2; A_r; branch_mark; pair-Palm; gradient_flow,GP-PROT-065-v1.0; CL-RSP-053-v1.0,Definition independently reviewed by CL with verdict AGREES; no theorem or configured-process bridge promotion,ACTIVE-REVIEWED,2026-07-22,https://docs.google.com/document/d/1C5CUvDYScSGk35yG-KThF5vLHQtt2itMC8Ks1oN155w/edit
DEF-032,Effective certificate domain,"For GP-DER-047, the deterministic certificate applies only on REG_r={rR(U)^5≤epsilon_0}, with epsilon_0=1/(1024K), K=4096, and R(U)≥1. Hence REG_r is empty for r>epsilon_0 and typically requires r around 10^-13–10^-14 for R≈20–25.",P0.2 deterministic capture certificate,"Internal validity on REG_r does not imply accessible-rung population, numerical testability at r≥0.00625, or practical-rung theorem coverage.",REG domain; vacuity; ultra-small-r; effective regime,[[DEF:EFFECTIVE_CERTIFICATE_DOMAIN]],regime; asymptotic; vacuity; promotion_scope,CL-AUD-048; CL-AUD-049; GP-AUD-074; GP-RSP-077,Binding promotion-scope definition; no theorem promotion,ACTIVE,2026-07-21,https://docs.google.com/document/d/1tqT10nPtE61UfzypzthTazEOz53CYvJwG9Gl_yWAFQY/edit
DEF-031,Event-qualified strip constant,"A reported strip-complement constant is meaningful only together with its exact threshold event, including whether mu is fixed or optimized. Fixed-mu=1 B_1 and optimized-mu B_* are distinct objects with B_*⊆B_1.",P0.2 accessible-rung strip diagnostics,"Constants from fixed and optimized events must not be averaged, compared as identical estimands, or merged without an explicit event map.",fixed mu; optimized mu; event mismatch; strip complement,[[DEF:EVENT_QUALIFIED_STRIP_CONSTANT]],estimand; threshold; normalization; event_identity,CL-AUD-048; GP-AUD-042; GP-AUD-074; GP-RSP-077,Prevents constant conflation; no numerical promotion,ACTIVE,2026-07-21,https://docs.google.com/document/d/1zxbHyijRMo2lgndq-NTORjSXjo6CtyLPkvrIg8qnp3c/edit
DEF-033,Failure-complete trajectory classification,"A trajectory computation is failure-complete only when every attempt receives exactly one explicit terminal state—capture event, escape event, finite unresolved, solver failure, numerical invalid, non-flow saddle, or degenerate branch—with no silent fallthrough and with enough fixture metadata to replay the classification.",Numerical trajectory probabilities and V3 replay,"Fixed-horizon non-event states, NaN/Inf output, solver failure, and ambiguous multi-solver outcomes cannot be pooled as dynamical noncapture.",failure-complete; terminal outcome schema; fail-closed trajectory classification,[[DEF:FAILURE_COMPLETE_TRAJECTORY_CLASSIFICATION]],V3; solver_status; events; fixture_receipt; noncapture,GP-AUD-087-v1.0; GP-REQ-086-v1.1,Binding qualification rule for V3 numerical evidence; no theorem authority,ACTIVE,2026-07-21,https://docs.google.com/document/d/1sD_u6M6u2H2wAmoOOb_Ti3opm4loRVz6mwwOItOCRII/edit
DEF-034,Numerical-invalid trajectory,"Any trajectory attempt containing NaN or infinity in a state, derivative, dense output, event value, or terminal diagnostic. It receives the explicit NUMERICAL_INVALID state and zero evidentiary weight for capture, escape, stall, or noncapture.",ODE and branch-integration receipts,A solver returning nominal completion does not override non-finite state detection; NaN comparisons must never determine a scientific class.,NaN trajectory; Inf state; invalid integration; numerical failure,[[DEF:NUMERICAL_INVALID_TRAJECTORY]],V3; NaN; finite_check; fail_closed,GP-AUD-087-v1.0,Mandatory rejection class only,ACTIVE,2026-07-21,https://docs.google.com/document/d/1YeY8CIgdiH35L_cY_KwM4AhflTSTEd7h4_T3NgdLxi0/edit
DEF-035,Finite unresolved trajectory,"A finite solver output that reaches the declared horizon without capture or escape event and without solver failure. It remains FINITE_UNRESOLVED until a longer-horizon, invariant-set, asymptotic, or multi-solver argument resolves it.",Finite-horizon trajectory classification,It is neither capture nor genuine noncapture by default and must not be called STALL without an operational stall definition and stability evidence.,horizon censored; unresolved orbit; finite stall candidate,[[DEF:FINITE_UNRESOLVED_TRAJECTORY]],V3; horizon; censoring; ambiguous_outcome,GP-REQ-086-v1.1,Preserves uncertainty; no scientific outcome authority,ACTIVE,2026-07-21,https://docs.google.com/document/d/1sD_u6M6u2H2wAmoOOb_Ti3opm4loRVz6mwwOItOCRII/edit
DEF-036,Configuration-identical replay,"A replay of a prior numerical population uses the exact original fixture records—same stored U and q values, r, branch data, weights, solver configuration and source hashes. Reusing a seed after changing random-vector dimension, draw order, RNG implementation or source is a fresh sample, not a replay.",Numerical evidence lineage and V3 adverse-fixture replay,"Distributional similarity, same seed, same sample count, or same marginal law cannot substitute for fixture identity when a claim concerns the disposition of previously reported configurations.",exact fixture replay; population identity; same-seed fresh draw,[[DEF:CONFIGURATION_IDENTICAL_REPLAY]],V3; fixture_id; RNG; source_hash; evidence_lineage,GP-AUD-088-v1.0; GP-REQ-086-v1.2,Binding evidence-lineage rule; no mathematical authority,ACTIVE,2026-07-21,https://docs.google.com/document/d/1eAAAoNfZ0-lQFssFnKRJ8XgtD2gEwrhhpTgXx0ctRCE/edit
DEF-037,Unconditioned typed maximum–saddle pair-Palm law,"For the six-pin constrained Gaussian law Q_r and W_r=|det H_M||det H_S|1{M maximum}1{S index-one saddle}, P_r^MS(df)=W_r(f)Q_r(df)/E_Q[W_r]. It does not condition on adjacency.",P0.2 governing probability law,"Excludes the adjacency indicator, elder-rule event, and any configured-process selection mark unless separately stated.",typed Palm; maximum-saddle Palm; P_MS; unconditioned pair law,[[DEF:UNCONDITIONED_TYPED_PAIR_PALM]],P0.2; W_r; type_indicators; determinant_weight; no_adjacency_condition,P0.2 READ FIRST; GP-AUD-089-v1.0,Defines the governing law only; no theorem or rate authority,ACTIVE-PROPOSED-BRIDGE,2026-07-21,https://docs.google.com/document/d/17B-5KElYtCB3tmK9DwEQYW8jmcpGdQF5WcAOMkk15sQ/edit
DEF-038,Adjacency-conditioned fold-Palm law,"P_r^fold(df)=W_r(f)1{A_r(f)}Q_r(df)/E_Q[W_r1{A_r}], equivalently P_r^MS(df|A_r) when a_r>0. This is the law displayed in File 4 Theorem P2a(ii) and inherited by File 1 fold pairs.",File 1/File 4 fold-pair conditioning and q_adj,It cannot estimate a_r without restoring the omitted unconditioned normalizer; it is not P_r^MS.,fold Palm; adjacent pair Palm; conditioned pair law,[[DEF:ADJACENCY_CONDITIONED_FOLD_PALM]],Theorem_B; q_adj; adjacency_indicator; conditional_law,File 4 P2a(ii); File 1 §0; GP-AUD-089-v1.0,Defines conditional law only; no P0.2 rate authority,ACTIVE-PROPOSED-BRIDGE,2026-07-21,https://docs.google.com/document/d/17B-5KElYtCB3tmK9DwEQYW8jmcpGdQF5WcAOMkk15sQ/edit
DEF-039,Typed-to-fold Palm conditionalization bridge,"With a_r=P_r^MS(A_r), the exact bridge is P_r^fold=P_r^MS(.|A_r) and rho_r^fold=rho_r^MS a_r for matched ordered configuration measures.",P0.2 V4 E1 measure and intensity interface,"Does not prove a_r asymptotics, equality of unconditioned and adjacent contact limits, or any theorem.",Palm bridge; intensity factor; Radon–Nikodym conditionalization,[[DEF:TYPED_TO_FOLD_PALM_BRIDGE]],P_MS; P_fold; a_r; rho_MS; rho_fold,GP-AUD-089-v1.0,Exact definition-level identity; outside manuscript audit pending,ACTIVE-CANDIDATE,2026-07-21,https://docs.google.com/document/d/17B-5KElYtCB3tmK9DwEQYW8jmcpGdQF5WcAOMkk15sQ/edit
DEF-040,Configured selection factorization,"Let E_r={D(M)=S}. Then q_adj=P_r^MS(E_r|A_r), q_typed=P_r^MS(A_r∩E_r)=a_r q_adj, so 1-q_typed=(1-a_r)+a_r(1-q_adj).",P0.2 and Theorem B selection interface,The two complement terms are distinct nonnegative obligations and cannot be merged or inferred from one another.,q typed; q adjacent; selection decomposition; adjacency factor,[[DEF:CONFIGURED_SELECTION_FACTORIZATION]],q_typed; q_adj; a_r; elder_rule; adjacency,P0.2 READ FIRST; GP-AUD-089-v1.0,Exact algebraic identity; no asymptotic conclusion,ACTIVE-CANDIDATE,2026-07-21,https://docs.google.com/document/d/17B-5KElYtCB3tmK9DwEQYW8jmcpGdQF5WcAOMkk15sQ/edit
DEF-041,Optimized-strip witness,A finite μ>0 together with W=F/μ and C_μ such that the exact fixture satisfies s≤−C_μ. A scalar infimum C_* alone is not a geometric witness when its optimizer is unattained.,Practical-r strip geometry,The EC-012 A=B=0 scalar bypass does not define W_*; μ=1 may be used only under a separately named fixed-μ event.,witness mu; attained optimizer; strip width receipt,[[DEF:OPTIMIZED_STRIP_WITNESS]],PRCP; mu; W_mu; C_mu; optimizer_status,GP-AUD-090-v1.0,Binding event-definition requirement; no probability authority,ACTIVE,2026-07-21,https://docs.google.com/document/d/1LZkH5mtFUfZRnB3yZG5YFr-y0BqxhzEz02cpxwSO9nw/edit
