Setting,Value,Enabled,Purpose,Safety rule,Notes
MASTER_MANIFEST_PROPOSAL_ID,101vKtaDFfuMv-uI5nTP21lIH8fjhnA17,TRUE,Dynamic Master Manifest architecture lineage,Architecture history does not activate a crawler or authorize writes,Prior ballot language superseded; present use is evidence- and source-identity-dependent under OP-PROT-011
CONFIG_VERSION,OP-PROT-011+OPS-20260724-R1,TRUE,Current fail-closed coupled-register configuration identity,Every future run receipt must record this exact value and must not overwrite controlling manual corrections without comparison,"No-vote governance, settled TRC routing, EC-019 receipt state, and successor-candidate controls reconciled 2026-07-24"
SOURCE_ROOT_DIRECT,TRUE,TRUE,Scan My Drive root direct children from the formerly flat workspace,Direct children only; nested folders become COVERAGE-GAP records,RECURSIVE_SCAN remains FALSE
SOURCE_FOLDER_ID_2,1z-SmhXwz6RKdN94txwO_UttoPu2CF1Dm,TRUE,Existing pilot coordination folder direct children,Read-only source scope,Contains registry/navigation coordination artifacts
SOURCE_FOLDER_ID_3,1eYAKcDXNaNEEf-zr1JVfWUe3KNl682xk,TRUE,Authoritative cross-model ledger folder direct children,Read-only source scope,Includes Cross-Model Review Ledger v1.0
SOURCE_FOLDER_ID_4,1Cta8_0E60KYBJAMSt9-aBJJM5lIGqLE_,TRUE,00.1 governance canon direct children,Read-only source scope,Corrected to actual created leaf; prior ID was invalid
SOURCE_FOLDER_ID_5,1zOOSrLkoRg0QtbonGaVhMFzZzrDnsBwO,TRUE,00.2 canonical master direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_6,1cMCkfzm5WeWW3V27LZGh2ubVUypWHFZz,TRUE,01.1 saddle-exit boundaries direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_7,1yzR9gpy4qsKaQix4Gw2ESAttcoRs2H4G,TRUE,01.2 invariant-strip dynamics direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_8,1R6GoA7c-qzseLoFKuW8IsYHup1jNIMb7,TRUE,01.3 Palm integration remainders direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_9,1XEyCsUIScKCYBFCP03QXu8uAc1VhrG04,TRUE,01.4 validation certificates direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_10,1EamPi88586DF02UPpa-4Vuub9hlhgZTa,TRUE,02.1 machine root schema direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_11,1VQS5W-PeJVF16nSeaKGZfmwNu-M46YsA,TRUE,02.2 negative-test batteries direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_12,13mUOUAqkNbp4UluqTq90Xz4ozBXwghAm,TRUE,02.3 validation receipts direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_13,1Y7JF553B6wj6yFz15zXLaMKdwvcsp333,TRUE,03.1 exact-pair topology direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_14,1-VfG4C7OCNU2NJ5meatjVp6vGzDGTCbe,TRUE,03.2 cluster-power simulation direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_15,1i3D7Rw8BaZVHykQ3pjkd8BgRel47AKpX,TRUE,03.3 connectivity rebase records direct children,Read-only source scope,Corrected to actual created leaf
SOURCE_FOLDER_ID_16,1140ue6ZkJZQ2bPGAhOJG-i0m5G3M468j,TRUE,04.1 live registers direct children,Read-only source scope except approved registry target,Corrected to actual created leaf
SOURCE_FOLDER_ID_17,1gD0X0-FS_6gJ2wRCzZySV0z-8DMVkaYd,TRUE,04.2 navigation companions direct children,Read-only source scope except approved generated Navigation Companion,Corrected to actual created leaf
SOURCE_FOLDER_ID_18,15uJIBe26VU1Dm1SY0RmzaDX4MI4vRpGO,TRUE,04.3 cross-model ledgers direct children,Read-only source scope; append-only governance ledgers,Corrected to actual created leaf
SOURCE_FOLDER_ID_19,1i5c9cPVz1MReh0KjzC7-4X3Tbc9geMBv,TRUE,04.4 manifest staging direct children,Approved generated-output and source-review folder,Fractal tree leaf
MANIFEST_OUTPUT_FOLDER_ID,1i5c9cPVz1MReh0KjzC7-4X3Tbc9geMBv,TRUE,Canonical and staged WORKSPACE_MASTER_MANIFEST.json outputs,"Only generated manifest, routing, receipt, and backup artifacts may be written here",04.4_MANIFEST_STAGING
TREE_04_4_FOLDER_ID,1i5c9cPVz1MReh0KjzC7-4X3Tbc9geMBv,TRUE,Stable alias for manifest staging leaf,Generated outputs only,Used by GP-AUTO-034-v1.1
SOURCE_CODE_DOC_ID,1VgVzVTzUVyPPClpah9bTIZtbyq37pydlxu_u4MMPbv8,FALSE,Manifest/review document only; not executable source bytes,"Must not satisfy G1, G2, installed-source identity, or production hash binding",Exact v1.2 executable bytes are not reconstructable from the current Drive publication surface; GP-AUD-170.
SOURCE_CODE_SHA256,1062a63c4a21caac4b7c9f6ae9674d9fbb1a9790c67dd73e8fff6393ec4509ee,FALSE,Manifest-declared v1.2 hash; unverified because exact executable bytes are unavailable,Do not use as installed-source or runtime identity until exact bytes reconstruct and reproduce this hash,"The 125,771-byte / 2,390-line identity is a manifest claim, not a verified Drive source object."
ARCHITECTURE_CONTRACT_DOC_ID,18-txtvK94bt2ImmuomKVM5fbUMlpccoQZajTV00xot0,TRUE,"Coupled advancement, trust separation, independence, evidence, closure, global-audit, and metric contract",Documentation only; no scientific promotion,Filed in 04.4_MANIFEST_STAGING
ATOMIC_STAGING,TRUE,TRUE,"Require stage, validate, backup, commit, and rollback for generated sheets",Previous validated snapshot remains authoritative on failure,Implemented in GP-AUTO-034-v1.1
OPERATOR_RATIFICATION_ENTRY,CM-045,TRUE,Authoritative append-only governance record,Coordination authority only; scientific authority unchanged,Cross-Model Review Ledger v1.0
COUPLED_ADVANCEMENT_REQUIRED,TRUE,TRUE,Material mathematics requires architecture response or complete no-change certificate,Silence is an alarm; failed gates block extraction eligibility,OP-GDN-002
OPERATOR_GUIDANCE_DOC_ID,1-9ePRpp28DN19YFbdsGqKVXfIAdnScyt8BpV0lEdY8A,TRUE,Binding coupled advancement guidance,Governance only,Filed in 00.1_GOVERNANCE_CANON
TRANSITION_REGISTER_SHEET,Transition Register,TRUE,Append-only material transition records,Never cleared by automation,Required 36-field schema
NO_CHANGE_CERTIFICATES_SHEET,No-Change Certificates,TRUE,Formal architectural sufficiency certificates,Silence never substitutes,Required 21-field schema
REVIEW_INDEPENDENCE_SHEET,Review Independence,TRUE,Methodological independence disclosures and scoring,Model count alone is not evidence,Required 24-field schema
EVIDENCE_LINEAGE_SHEET,Evidence Lineage,TRUE,"Primary evidence, summaries, fixtures, and derivation lineage",Summaries cannot be primary evidence,Required 16-field schema
GLOBAL_OBJECT_AUDIT_SHEET,Global Object Audit,TRUE,Original-object versus surrogate and global-drift checks,Required before trusted referee-ready state,Required 22-field schema
OPERATOR_DECISIONS_SHEET,Operator Decisions,TRUE,"Operator-only authority, approval, status, release, and observer controls",Protected to th3realdyll@gmail.com,Protected range ID 1941466925
TRANSITION_ALARMS_SHEET,Transition Alarms,TRUE,"Generated fail-closed transition, independence, evidence, and drift alarms",Generated view; never primary evidence,GP-AUTO-034-v1.2
ARCHITECTURE_METRICS_SHEET,Architecture Metrics,TRUE,Outcome metrics and architecture-overgrowth detection,Artifact count is not progress,GP-AUTO-034-v1.2
INDEPENDENCE_HIGH_THRESHOLD,0.75,TRUE,Minimum deterministic score for high methodological independence,Also requires independent reconstruction and object-definition review,No model-count shortcut
INDEPENDENCE_MODERATE_THRESHOLD,0.5,TRUE,Moderate methodological independence threshold,Cannot satisfy high-independence referee-ready gate,Deterministic disclosure score
ARCHITECTURE_OVERGROWTH_RATIO,3,TRUE,Architecture-to-mathematics ratio alarm threshold,Architecture also must remove measurable uncertainty,Outcome safeguard
COUPLED_BASELINE_POLICY,BASELINE-PENDING,TRUE,Existing trusted states without new transitions remain visible but cannot promote,Future material changes without transitions are critical alarms,Prevents mass false closure during migration
OPERATOR_EMAIL,th3realdyll@gmail.com,TRUE,Trusted protected-register operator identity,Must match Dylan Roy and protected sheet,Source artifacts cannot spoof
V12_TRANSITION_ID,TR-CAI-001,TRUE,Initial material architecture transition,"Links guidance, source, contract, tests, incident assessment, and reopening",CM-046
RAW_SOURCE_UPLOAD_STATUS,PROXY-407 / EXACT-BYTES-MISSING,TRUE,Records failed raw-source publication and missing reconstructable executable,"G1 fail-closed; no installation, source-match, acceptance, runtime, or activation credit",Drive source record is a manifest. Recover exact v1.2 bytes or publish and fully qualify a complete new v1.3 implementation.
COUPLED_ADVANCEMENT_LEDGER_ENTRY,CM-046,TRUE,Append-only implementation and incident receipt,Scientific canon unchanged,Cross-Model Review Ledger v1.0
CURRENT_GOVERNANCE_PROTOCOL_ID,1hBQR7Pa10DpVeOxTCLv1qIozLT-bU_hgZKo6ksODCuo,TRUE,Sole live approval and autonomous-decision rule — OP-PROT-012,"No recurring human approval; evidence predicates, fail-closed HOLD/NO, reversible implementation, receipts, and reopening control terminal actions",OP-PROT-011 retained only as independent-eyes evidence guidance
SESSION_CONTEXT_FRESHNESS_RULE_ID,12IlGMxNSCV9YTO7hPITHRGLqOYvpy6Cy1Xyf9840fRk,TRUE,Retire stale finite-context sessions and reassign active tasks,A fresh session does not create organizational independence; independent eyes are determined by vendor/base-model family under OP-PROT-011.,OP-GDN-003 retained guidance under OP-PROT-011
WAIT_FOR_EXPIRED_SESSION,FALSE,TRUE,Prevent indefinite task blocking on a context-exhausted chat instance,Reassign only through a bounded current package; preserve all prior artifacts and exact objections,Fresh instance must declare line/provider identity and evidence lineage
WORKSPACE_FILE_MANAGEMENT_DIRECTIVE_ID,1A-Y-FRd-pvw5w1FTh2bzrGwDnLkZO_CHy2IS7euD1CM,TRUE,Non-destructive workspace master-folder authority,"Does not authorize deletion, renaming, merging, theorem changes, or ballot changes",Implemented by GP-OPR-135-v1.0
QUARANTINE_FOLDER_ID,1KFs0lDjHQIhK2SN4ky2hAsihQweFuOvD,TRUE,Deletion/supersession staging for doubtful or dead items,Governance history must not remain here; voting-relapse records move to HISTORICAL_GOVERNANCE_2026-07-24.,OP-PROT-011 anti-relapse; historical folder 1E7Ofq_IIP_OaeEvVYPOcnEKSi-EgyC1J
SUPERSEDED_PROVENANCE_FOLDER_ID,1HBrjw1py5NoaozbhTR0kRRs69NUUGeQD,TRUE,Explicitly superseded or obsolete objects,Never infer from age or title alone; live replacement must be named,2026-07 subfolder 1cohBT2r5pMnlzQXWxkqWp89c8RezwYQ7
CORRUPTED_PROVENANCE_FOLDER_ID,1usdvL4Wb3O9LSPT78E0nWjxwOh4Ece_O,TRUE,"Reproducibly corrupt, empty, wrong-payload, or failed-staging objects","Preserve file IDs, contents, audits, and verified replacements",2026-07 subfolder 1YglECnb_eNAkGHj6a3OBTTqOmo1ibw_e
CURRENT_GOVERNANCE_DECISION,OP-PROT-012_AUTONOMOUS_EVIDENCE_GATED,TRUE,Zero-human-approval governance with 50-decision authorization,Eligible predicate PASS → implement; defect → NO; incomplete or contradictory evidence → HOLD without asking Dylan,Dylan Roy authenticated instruction 2026-07-25; Autonomy Control sheet
HISTORICAL_GOVERNANCE_FOLDER_ID,1E7Ofq_IIP_OaeEvVYPOcnEKSi-EgyC1J,TRUE,Keep-forever archive for superseded governance and anti-relapse incidents,Archived content has no live authority and is not deletion staging.,HISTORICAL_GOVERNANCE_2026-07-24; OP-PROT-011 §7
EC019_INDEPENDENCE_OPTION,A,TRUE,Reviewer independence is measured relative to the OpenAI/GP author organization for EC-019.,Does not constitute EC-019 terminal approval.,HA-008; GP-PRP-130-v1.1
EC019_HUMAN_READY_PACKAGE_ID,1imfRHgC2r9L1aLcMciXEMti_qdf4DstaK-vTkSfA2pg,FALSE,Historical superseded EC-019 human-ready package; retained for provenance only.,Do not route current approval or closure through this setting. EC-019 is on material verification hold.,"GP-CLS-PROP-023-v1.1; superseded for active routing by v1.2 after CL-AUD-081, GP-COR-159, GP-REQ-160, and GP-REQ-164."
EC021_STATUS,TERMINAL,TRUE,Remove EC-021 from active attention while preserving terminal record.,Never transfer finite-Q4 probability to exact full-field objects.,HA-008; GP-CLS-141-v1.0
EC019_ACTIVE_PACKAGE_ID,1txBEqeRClC_86GYMtEftIpBYcWHunzHAVzCrL3q_6dk,TRUE,Current active EC-019 verification-hold package.,No human-ready or terminal routing until qualifying T1 symbolic review and T2 clean-room implementation pass.,GP-CLS-PROP-023-v1.2; GP-REQ-160-v1.0; GP-REQ-164-v1.0; CL-AUD-081-v1.0.
EC019_STATUS,T1_PASS_T2_PASS_PACKAGE_INTEGRITY_PENDING_OPERATOR_ADJUDICATION_CONDITIONAL,TRUE,"Current three-layer EC-019 state: scientific verification, package integrity, and operator adjudication remain separate",Do not mark terminal or activate HA-009 until the authoritative Anthropic raw carriers are published and independently replayed with a package-integrity PASS,CL-AUD-214; LCR-AUD-006; GP-COR-185; HA-009 conditional
OPERATOR_CONTINUATION_DECISION_ID,1Vw4K6cpQXbzsUW3It_8CVpFGuVUELseqU_1SMzhBoKs,TRUE,"Continued non-destructive preparation, shadow work, organization, review, and Class A/B authorization.",Operator-facing records may be drafted only; §§C/H are suspended by GP-COR-171 and require direct operator action/confirmation.,OD-OP-PROT-008-R0.1-APPROVAL-002 as corrected by GP-COR-171 / CL-REV-001
GP_AUTO_034_V13_SOURCE_STATUS,V13_R0_4_RAW_SOURCE_PUBLISHED_ALL_WRITE_TARGETS_EXPLICIT_STATIC_T1_T35_PASS_SANDBOX_HANDOFF_UPDATED_RUNTIME_RECOVERY_EQUALITY_REVIEW_PENDING,TRUE,"R0.4 replaces R0.3 for current routing. Registry, navigation, and manifest targets have no live defaults; exact raw source, manifest, static tests, fixtures, and updated isolated runtime/recovery handoff are published.","DO NOT INSTALL: exact R0.4 distinct-family review, installed-source equality, explicit target checks in Apps Script, normal isolated refresh, hard-kill recovery, trigger inspection/teardown, and normalized raw-object publication remain open.",Raw source 1Z2BGcE8r9AqsnyPs1k8_qqn_kQFeaT99; SHA-256 11ba6ccdb3f68a38215036b55dec4a4e53cc2022adf6af8f5c6dffec8f9aa9d3; GP-AUD-186; TR-CAI-005
TIER1_CONTINGENT_ACTIVATION_AUTHORITY,STANDING_OPERATOR_AUTHORIZATION_RECORDED_TECHNICAL_ACTIVATION_BLOCKED,TRUE,Separates Dylan's standing authorization from source/runtime/install qualification,"No activation until accepted source identity, review, runtime, recovery, equality, and inspected-run gates pass; browser-side actions remain operator/platform controlled",HA-001 approved; Command Center current state; OP-PROT-011
TIER2_CLASS_A_STATUS,OPERATOR_AUTHORIZED_SHADOW_ONLY,TRUE,Deterministic interval/monotonicity closure class.,"No live auto-terminalization until OP-PROT-008 governance passage, three-case shadow pilot, and all CL-DFT-002/§6 gates.",OD-OP-PROT-008-R0.1-APPROVAL-002 §D
TIER2_CLASS_B_STATUS,OPERATOR_AUTHORIZED_SHADOW_ONLY,TRUE,Fixed-r/small-r qualitative positive typed-mass closure class.,"No live auto-terminalization; excludes numerical constants, exact-field substitution, P0.1 propagation, and theorem promotion.",OD-OP-PROT-008-R0.1-APPROVAL-002 §E
TIER2_SHADOW_PILOT_AUTHORITY,ACTIVE_NONWRITING,TRUE,Permits immediate non-writing Class A/B pilot preparation and execution.,Predictions only; must not alter terminal state or protected registers as if live.,OD-OP-PROT-008-R0.1-APPROVAL-002 §F
EC019_T1_STATUS,PASS_CL_AUD_082_ACTIVE_A_LINE,TRUE,Qualifying non-GP exact symbolic verification of GP-DER-161 fixed-r nondegeneracy.,Exactly one CL review credit; collision copy B is provenance only. Numerical eigenvalue magnitude is not adopted.,CL-AUD-082 active A-line; GP-COR-170; GP-REQ-164
EC019_T2_STATUS,MATHEMATICAL_PASS_INDEPENDENCE_PASS_PACKAGE_INTEGRITY_HOLD,TRUE,Qualifying Anthropic T2 scientific review is accepted; primary raw source/result identity and Drive replay are not yet established,"Count one qualifying Anthropic review. Do not count duplicate B-line. Reopen mathematics or independence only if authoritative raw carriers contradict the recorded formulas, hashes, chronology, or results",CL-REG-214; CL-DATA-214; CL-AUD-214; LCR-AUD-006; GP-COR-185
OPERATOR_RECORD_FILL_AUTHORITY,SUSPENDED_DRAFT_ONLY,TRUE,GP may draft exact proposed operator wording and surface it for Dylan.,"GP may not sign, authenticate, or represent model-authored entries as Dylan’s decision.",GP-COR-171; CL-REV-001; approval-002 §H suspended
OPERATOR_SOVEREIGNTY_CORRECTION_ID,1I0RKGf6R-M8I07ctTLQFT8xMHLKAg5OCgqfi98tEwaY,TRUE,Fail-closed correction governing approval-002 §§C/H.,Preserves preparation/shadow/classes; suspends model-filed activation and operator impersonation.,GP-COR-171-v1.0; CL-REV-001-v1.0
EC019_T2_BLIND_INTAKE_FOLDER_ID,1b0MfYKyibkh_yogwDUtekWPqbff3ZgKm,TRUE,Contamination-safe pre-freeze entry for EC-019 T2.,"Before source/result hash freeze, only 00_READ_FIRST, GP-REQ-172, and GP-SPEC-166 may be used.",GP-MIG-175-v1.0
EC019_T2_POST_FREEZE_FOLDER_ID,1Tfz-lv3gxahTwocBqonGni8TeCAiNHHR,TRUE,Post-freeze comparison materials for EC-019 T2.,Do not open before reviewer source and primary-result hashes are frozen.,GP-MIG-175-v1.0
TRC_STANDARD_ID,1XpVUqCfSOyaANyk_MtfZAybm61TQ7cjXCPVIKTDXKsk,TRUE,Operator-approved and adopted current TRC preparation and package-integrity standard,No accepted v0.3 root and no seal; technical implementation and review remain evidence-dependent,TRC-STANDARD-001-v1.3-R0.2; OP-RES-001
TRC_EC020_STATUS,V03_CANDIDATES_PROVENANCE_ONLY_V04_SOLE_SUCCESSOR_APPROVED_PREPARATION_OPEN,TRUE,Current EC-020 replication-capsule package state,Both v0.3 candidates remain preserved; accepted root NONE; sealed NO; v0.4 preparation is approved but root acceptance and sealing remain separate technical gates,OP-RES-001; TRC START_HERE; Command Center
TRC_EC020_RECONSTRUCTED_CARRIERS,6_OF_7,TRUE,Latest exact carrier reconstruction count,Count only strict Base64 decode + declared byte count + SHA-256 reproduction,"Frozen rows, link validation, E3, root receipt, checksums, summary reconstruct; manifest fails"
TRC_EC020_ACCEPTED_ROOT_SHA256,NONE,TRUE,Accepted package-identity root hash.,Reject both v0.3 roots for active/sealing use; do not create an accepted root before successor-version assembly under an adopted deterministic standard.,TRC-COR-012; AO48-AUD-029; GP-COR-182
TRC_EC020_SUPPORT_FOLDER_ID,1_WYX3gtIPRNitTK6rsgeYrcOVsNKBfGK,TRUE,Preserved v0.3 raw-carrier and fixture workspace.,Provenance/support only during collision hold; verified leaves retain identity but receive no active root or seal credit and may not seed v0.4 silently.,TRC-STANDARD-001-v1.2; GP-COR-182; R0.2 successor-version rule
TRC_EC020_CURRENT_CORRECTION_ID,1MKwYSvemX1uVHIEzwyOoCp07Vh7y8DFjsZMrPet0c1k,TRUE,Active current-state correction for EC-020 capsule,Stale v0.2 payload mislabeled as v0.3 receives zero manifest/root/sealing credit,TRC-COR-008-v1.0
TRC_EC020_V02_STATUS,FAILED_PUBLICATION_SEVEN_EMPTY_SHELLS,TRUE,Disposition of attempted corrected EC-020 carrier set,"Never treat v0.2 titles or IDs as payload, evidence, root, validation, or seal",TRC-COR-007-v1.0
TRC_CARRIER_PUBLICATION_POSTCREATE_READ_REQUIRED,TRUE,TRUE,Mandatory immediate fresh-read verification for every new carrier,"Reject the attempt before VALIDATION naming if any object is empty, unreadable, malformed, or hash-mismatched",TRC-COR-007 recurrence control
TRC_EC020_V03_STATUS,ROOT_COLLISION_HOLD_BOTH_CANDIDATES_NONACTIVE,TRUE,Disposition of the v0.3 raw successor attempt.,"Verified leaves remain provenance; no canonical manifest, accepted root, validation, seal, or continuation under v0.3.",TRC-COR-012; AO48-AUD-029; GP-COR-182
TRC_EC020_V03_FOLDER_ID,1_WYX3gtIPRNitTK6rsgeYrcOVsNKBfGK,TRUE,Preserved v0.3 collision/provenance scaffold.,Not an active successor scaffold; no object in this folder may receive v0.4 identity by reuse or chronology.,GP-COR-182-v1.0; TRC-STANDARD-001-v1.3-R0.2 §5
TRC_EC020_V03_E3_RAW_ID,1oPPozzCzvyoeln-GtX8YsYiT4N17Q-h4,TRUE,First verified raw EC-020 leaf carrier,934 bytes; application/json; exact binary equality required,TRC-VAL-004-v1.0
TRC_EC020_V03_E3_SHA256,f0e3df4e15f84eea5656df5402b09a65eb645b1ed1f7427c0b2c0729c624c208,TRUE,Verified raw E3 carrier hash,Never substitute embedded source hash for the carrier-file hash,TRC-VAL-004-v1.0
TRC_EC020_V03_FROZEN_RAW_ID,1xwFVO06uPDNWyvN2WWSgdnWzOETuUGvN,TRUE,Designated verified frozen-register raw leaf,"10,895 bytes; SHA-256 cea5da748b...; later duplicate candidates do not multiply evidence",TRC-VAL-002-v1.0; TRC-COR-008-v1.0
TRC_EC020_V03_NATIVE_EXPORT_RAW_ID,1cBJwzWWPdHW5pLxn-E1GNNCYlXt5UngK,TRUE,Designated verified native-export identity raw leaf,"2,147 bytes; SHA-256 594ad07ad3...; non-author reproduction still required",TRC-VAL-003-v1.0; TRC-COR-008-v1.0
TRC_EC020_V03_LINK_RAW_ID,18fAgrpN80mnYA5Fs9nhlG2xX_S6tZkHB,TRUE,Designated verified link-validation raw leaf,"2,488 bytes; SHA-256 7a59b568f3...; alternate raw candidates remain provenance/support only",TRC-VAL-006-v1.0; TRC-COR-008-v1.0
TRC_EC020_OPERATOR_APPROVAL_AUTH,AUTHENTICATED_OPERATOR_NATIVE_CL_COR_083,TRUE,Pre-seal authentication state of the EC-020 operator-decision element.,"Authentication does not select a root, approve a package, or seal a capsule.",CL-COR-083-v1.0; GP-COR-182-v1.0
