Review key,Domain,Exact object,Technical status,Next action,Packet or source,Prior review / exposure,Independence status,Request time UTC,Date basis,Last substantive review UTC,Age days,Aging action,Author / provider,Body SHA-256,Body bytes,Reviewer / claim,Verdict artifact,Scope / dependencies
RV-DQ-020,COMPUTE,GP-DATA-218 stable-key guarded register-write reference and sandbox qualification,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,request https://docs.google.com/document/d/1fVXf0h33ZKHqklydALKXCXB65gPKJZSdILew1Genmeg/edit | proof https://docs.google.com/document/d/1pzgS54wGicsakLmpL53m2Jf5-YLAlfNfBIDXRgWUvWw/edit | controlling package https://docs.google.com/document/d/1EktScfxgfH9OkeosIS8_6h1flyQmHgnCs142iFvQcRc/edit | supplement https://docs.google.com/document/d/1kPR2Fsh47eT73WHvyT_dv90hRQxjCNaVlU37LyanU_A/edit,OPEN / EXTERNAL-FAMILY ELIGIBLE / SANDBOX-ONLY | Non-OpenAI verifier/security reviewer or qualified human may earn successor-review credit; OpenAI logistics only,LEGACY_PREDICATE_RETAINED,2026-07-26T02:29:00Z,Dispatch Created UTC; not proof of zero intervening review,,54,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute GP-REQ-219 against controlling source SHA 199b7ce57f065b54b2a8f160e89fe38ef90f3118408d2fbb5eeca8a601a8855a. Reproduce the package; audit fresh sheet-title resolution, unique primary-key location, stale-row and stale-grid resistance, preconditions, patch scope, post-write verification, receipts, and all six isolated target schemas including Duplicate Flags. Use DQ018-AUD-001 only as same-family mutation and schema-coverage guidance. | Three controlling raw identities reproduced; R0-R15 plus R12A/R13A complete; M1-M14 attempted; 14/14 controlling reference checks, 20/20 supplement tests, and six-schema Drive correspondence verified; explicit APPROVE / AMEND / FAIL / CANNOT VERIFY verdict; no production installation."
RV-DQ-023,MATH,LS-DER-021 TB-G2 compact-mark all-typed contact-intensity candidate,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,corrected work order https://docs.google.com/document/d/17jWejscjJpJrkml5bXQbWn8nvTeMRwcW_5-V32lJfWU/edit | parent request https://docs.google.com/document/d/12Y2SurB-s-V-UqkmJih-Lu2k3gTdYLuLZnUTCs6EZ7o/edit | parent theorem https://docs.google.com/document/d/16dSMQF3nbRcx93feO8vJzdnT8wDQvO-p6zViPtyUazw/edit | companion https://docs.google.com/document/d/1AUEXzPfbZsdtArlkHNhIUK4hbHqg8ATbb5M99Ex57HU/edit | reconciliation https://docs.google.com/document/d/1oGWql4Hez1BGDfUVl1USgZ2K3--DO5D2XGmcEgKwiSo/edit | erratum https://docs.google.com/document/d/1qYErvvtnUYio27BC7n6BJCnBw-GgC_dR3Y6eguUD5KA/edit,OPEN / PRIOR ANTHROPIC SCOPED REVIEW EXISTS / THIRD-FAMILY EXACT-HASH AND UNIFORM-ENVELOPE GATE OPEN / DQ-053 COMPANION REVIEW OPEN | One Anthropic lineage supplies scoped partial TB-G2 evidence; OpenAI LS-DER-032 supplies zero-credit same-family interface proof; DQ-023’s next independent path must be neither OpenAI nor Anthropic.,LEGACY_PREDICATE_RETAINED,2026-07-26T13:35:00Z,Dispatch Created UTC; not proof of zero intervening review,,54,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute LS-DER-021-REVIEW-002 against LS-DER-021. Reproduce the exact body, adjudicate the six-pin eigenfloor, uniform density/moment/integrability envelope, equations (15),(16),(23), q-behaviour, and full same-law normalizer; reconcile separately with LS-DER-032/DQ-053. | Capability and canary pass; OP-PROT-017 body reproduced; blind method reservation frozen; mutations M1–M9 completed; reviewer is neither OpenAI nor Anthropic; exact scoped verdict and downstream/non-effect statement returned; no first-review claim."
RV-DQ-027,COMPUTE,TRC-EC020-v0.4 derived carrier successors and GP-DATA-233 validator,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,https://docs.google.com/document/d/1Flv8fSNCQmiN1FJ05quf1dsfiGRTKlh5hZODCFvj1VQ/edit,OPEN / EXTERNAL-FAMILY ELIGIBLE / EXACT-HASH PACKAGE REVIEW READY / ZERO-CREDIT GP PREFLIGHT PASS | Non-OpenAI package reviewer may earn one package-review independence credit; OpenAI preflight supplies zero credit.,LEGACY_PREDICATE_RETAINED,2026-07-26T14:42:24Z,Dispatch Created UTC; not proof of zero intervening review,,54,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute GP-REQ-235 R0-R10 as the permitted outside reviewer. The GP preflight reproduced all exact hashes, the validator receipt, nine leaves, live IDs/MIMEs, topology, and 10 fail-closed controls; independently adjudicate three Drive-title mismatches. | Reproduce SHA-256 values 0c19d4bb...20a95, 23861601...77b1, 466d544d...ddb1 and validator source e8d51d76...d64b8; decide whether the three title mismatches are nonmaterial or require a numbered successor; issue the required scoped verdict. Root NONE; SEALED NO."
RV-DQ-035,MATH,LS-DER-026 TB-G4 full-kappa selected near-diagonal tail theorem,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,request https://docs.google.com/document/d/1Y99z0sQWMDweMCdHzWAYgoRTuysmkiQwQFPLGDs49ho/edit | candidate https://docs.google.com/document/d/1kSk34R28YpUdPmFjrLam1yDfOrcghyWJhTE_WbzqDGE/edit,OPEN / EXTERNAL-FAMILY ELIGIBLE / EXACT-HASH REVIEW READY | Non-OpenAI Gaussian-analysis reviewer or qualified human may earn organizational-independence credit; OpenAI logistics only,LEGACY_PREDICATE_RETAINED,2026-07-26T15:25:52Z,Dispatch Created UTC; not proof of zero intervening review,,54,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute LS-REQ-022 against LS-DER-026 frozen body 11,725 bytes / SHA-256 e4d8094ed1bfc9f9cc7491f13efd5cc5294ba3b5f4fbd4bc8bbba33dd1a2ab5d. Reconstruct corrected-pin decay, determinant moments, compact selection portability, cutoff, and dominated convergence. | Hash reproduced; R0-R17 complete; M1-M16 attempted; explicit APPROVE / CLARIFY / AMEND / FAIL / CANNOT VERIFY verdict; exact near-diagonal scope; no full-density promotion."
RV-DQ-038,MATH,LS-DER-022 TB-G3 exact actual-selection reduction and kappa-normalized capture,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,request https://docs.google.com/document/d/10ai9iyt83V3wwkasqOzifVuw0xES5G4dAUTJJwq_UHo/edit | candidate https://docs.google.com/document/d/1rwKtmy2vnXTYfp0jFrf5Ca1jaBj0DYr7Uf5-Pui33Uo/edit | Anthropic review https://docs.google.com/document/d/1o0aeX97l_f6Z0fRc9yTgw0TY_pYcWHS7RTB8YxeanDw/edit | reconciliation https://docs.google.com/document/d/1oGWql4Hez1BGDfUVl1USgZ2K3--DO5D2XGmcEgKwiSo/edit | identity https://docs.google.com/document/d/1J7ZI-VzAyBQjsa8aKGcgySFI1y2Y23SYi6_tuv8NTBg/edit,OPEN / ONE ANTHROPIC PARTIAL VERDICT RECEIVED / EXACT-OBJECT COMPLETION STILL REQUIRED | One Anthropic lineage approves the safe probability bridge at mathematical core; exact hash and lower-layer fixed-mark/import scope remain incomplete,LEGACY_PREDICATE_RETAINED,2026-07-26T15:47:00Z,Dispatch Created UTC; not proof of zero intervening review,,54,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute LS-REQ-018 against LS-DER-022 frozen body 21,932 bytes / SHA-256 e5a61739bf09c1972edeb39e683c38da4adbf387c95d65aadf979b84a9568aaf. Verify p=a q_adj+eta, safe complement inequality, fixed-mark composition, positive-time kappa normalization, compact Gaussian block, and exact residual blockers. | Hash reproduced; packet R1-R15 and M1-M12 complete; explicit APPROVE / CLARIFY / AMEND / FAIL / CANNOT VERIFY verdict; exact reduction scope; no dependency or Theorem B promotion."
RV-DQ-053,MATH,LS-DER-032 TB-G2 uniform six-pin covariance and conditional-moment interface,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,request https://docs.google.com/document/d/1sAkJPHfdkUhq-SeY6mpB2bkqCY54vtWKEnVXM52bNUA/edit | companion https://docs.google.com/document/d/1AUEXzPfbZsdtArlkHNhIUK4hbHqg8ATbb5M99Ex57HU/edit | parent https://docs.google.com/document/d/16dSMQF3nbRcx93feO8vJzdnT8wDQvO-p6zViPtyUazw/edit,OPEN / EXTERNAL-FAMILY ELIGIBLE / EXACT-HASH REVIEW READY | Non-OpenAI reviewer or qualified human may earn object-specific review credit; Anthropic remains its existing single lineage,LEGACY_PREDICATE_RETAINED,2026-07-26T19:30:00Z,Dispatch Created UTC; not proof of zero intervening review,,54,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute LS-REQ-028 against LS-DER-032 frozen body 12,106 bytes / SHA-256 3531e6e5c569319388964429d36af8de0ca8768668ac43a53b5a5b2490fd4dba. Reconstruct Fourier symbols, lattice rigidity, uniform eigenfloors, density bounds, regression moments, Q nondegeneracy, and the expectation-limit interface. | Hash reproduced; R0-R12 and M1-M10 completed; explicit scoped verdict, source exposure, and lineage; no automatic LS-DER-021 approval, DQ-023 closure, or Theorem B promotion."
RV-DQ-057,MATH,LS-DER-036-v1.1 fixed-compact exact Palm O(r^3) loop successor,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,review https://docs.google.com/document/d/19RaCdwEHAVRjOynksS2umRRV7luCBfvAlWlHXVi50oo/edit | successor https://docs.google.com/document/d/1f_bqwcWGp9sS13-v4qHdzNROKx2hzvAlDTTl-skco-Q/edit | predecessor verdict https://docs.google.com/document/d/1zMq504Z2iW4cDr220n8D5sc66kMzwDGGqNMrlwY8f6U/edit,OPEN / NUMBERED SUCCESSOR PUBLISHED / EXACT-HASH REVIEW READY / DQ-023 AND DQ-028 OPEN | An eligible successor reviewer may qualify v1.1 without transferring or multiplying predecessor Anthropic credit,LEGACY_PREDICATE_RETAINED,2026-07-27T17:52:00Z,Dispatch Created UTC; not proof of zero intervening review,,53,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute LS-REQ-032: reconstruct fixed-chart Gaussian regression, Dudley/Borell concentration, boundary r-power ledger, outward corridor, one-branch logic, and corrected TB-G3B reduction. | Reproduce 16,856 bytes / SHA-256 3416ddeebacd071f316a1e281aa3df2e99cf1e4965c1eb8bac203d23b6eb05b3; complete R0-R20 and M1-M18; state C1-C4 disposition and dependency firewall."
RV-DQ-061,MATH,LS-DER-038 corrected compact actual-selection and specific minus-one-third component successor,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,request https://docs.google.com/document/d/1HLgGIYkveWdh7SxzkDaQUJ2xRP3LapmWLQrAeMvtHHw/edit | candidate https://docs.google.com/document/d/1c8eP9TWsgGoLdm393k7QUATzCH16oCThcuB-SH4IriY/edit | predecessor verdict https://docs.google.com/document/d/1LU4Mxm3Gmh2Vhqsdemt7XDjwnHVE1ZCMMKcTu_YNqwU/edit,OPEN / EXTERNAL-FAMILY ELIGIBLE / EXACT-HASH REVIEW READY | A reviewer outside OpenAI may earn exact-object review credit; existing Anthropic synthesis lineage counts once,LEGACY_PREDICATE_RETAINED,2026-07-28T06:23:35Z,Dispatch Created UTC; not proof of zero intervening review,,52,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Execute LS-REQ-033 against LS-DER-038. Verify corrected event algebra, L_same import, compact selection, unit multiplicity, radial Jacobian, specific coefficient, and total factor 576. | Reproduce 10,410 bytes / SHA-256 5fd2413c52eac9538f85dba3ecaad68861c23f31a03e4a8b766c9914e518b7e5; complete R0-R17 and M1-M18; no full-density or theorem promotion."
RV-DQ-096,MATH,LS-REQ-037 review of LS-DER-064/068 and LS-DER-065/067/069,NEEDS_RECONCILIATION,Resolve current exact target/hash and existing verdicts; then perform a bounded nonauthor technical review,https://docs.google.com/document/d/1KGpfr5lWfTq7evVi2_inA0qIrA9TPnsu4GlBddRhsWo/edit,READY / UNCLAIMED / EXECUTE AFTER RESET | Packet itself creates zero independence; Anthropic verdict required,LEGACY_PREDICATE_RETAINED,2026-07-28T20:58:00Z,Dispatch Created UTC; not proof of zero intervening review,,52,ESCALATE,Disclose exact-object authorship; provider alone is insufficient,UNRESOLVED — bind before review,,UNASSIGNED,,"Attack analytic Hessian/image-tail proof and the full side-24 G1-G7 selected-persistence composition; issue strict terminal verdict. | Frozen packet 7,013 bytes / SHA-256 e5ae1b6d55539a7b5dd4b90e6e38a48b8402437bc7d7af9f5a884f163cf06737."
RV-RN3,MATH,RN3 joint far-zone fixed r=1/20,READY,Replay RN3 bundle and audit every uniform bound; RN5 report-level crosswalk explains distinct kappa majorants and scopes the near-moment defect,https://drive.google.com/file/d/1f0EBsq6UIZ0jDCABT251TTNEWYCVA0FO/view,Author replay only; alternative Anthropic far-zone work is not a review,EXTERNAL_REVIEW_OPEN,2026-09-17T16:25:48.473074Z,New R17 request,,1,NEW,OpenAI / RN3-20260917-b9c2,0c9446b7cb49e6e1e45e43f84bb72ce680f022882e225fdff61c8e6edede1373,12956,UNASSIGNED,,"Fixed r, fixed axis, side-24; near annulus and all-small-r remain open. Bundle https://drive.google.com/file/d/1z_zNdgxtbs7XWxLu56HN8_QbVXxdmMMq/view"
RV-RN-ALIGN,MATH,CL-RNU-003 and RN3 exact-object crosswalk,AMEND,Correct near-moment claim and complete spatial cover; locate named CL v5 archive / rnu_t4.py / rnu_spine.py before executable crosswalk,https://drive.google.com/file/d/1aCa-QG9CSrNUB9SUFKISifghSf-41fRy/view,Report-level comparison complete; wrong near determinant moment proved. No CL executable replay; RN3 author lineage.,AUTHOR_SIDE / ZERO ORG CREDIT,2026-09-17T16:25:48.473074Z,New R17 request,2026-09-17T17:19:16.450Z,1,NEW,Anthropic CL-RNU-003; OpenAI RN3,RN3 0c9446b7cb49e6e1e45e43f84bb72ce680f022882e225fdff61c8e6edede1373; CL 59b8f002f1b1e81e7829416baf16ef1d84b1326d4b3b4604b833e5a55a9d6d53,,ROUND5 / OpenAI / author-side,https://drive.google.com/file/d/1LtnvNd0vAW-y3pzbyHLjgtF7Uw5sTph5/view,Different kappa majorants are not conflicting heads. CL report Section 3 on scoped hold. CANNOT_VERIFY current CL executable/checkpoint identity: named code/archive not found in bounded source lookups.
RV-P15,MATH,P15-A/B/C/D structural localization,READY,"Bind archive and exact proof paths, then execute R1–R8 packet; split into four scoped reviews",https://drive.google.com/file/d/1mLizXdV8guLCJoJGa7iyvjDc3C1XElxr/view,Author-side complete; external reviews 0 in current state,EXTERNAL_REVIEW_OPEN,2026-09-17T16:25:48.473074Z,New R17 request,,1,NEW,Author lineage to be read from exact archive,UNRESOLVED — archive manifest required,,UNASSIGNED,,No unrestricted prize closure; current state https://drive.google.com/file/d/1r8weyHObFfHAp-_PfI8mlSXPZQC8Zoh1/view
RV-H5-REPAIR,COMPUTE,H5 corrected-kernel full consumer replay,AMEND,Replay all affected upper/lower certificate consumers against the repaired kernel before certification,https://drive.google.com/file/d/1qtuFKUR0SsX3aeB_uI08b2sJw0DX2EOL/view,Defect and one-box repair replay documented; full cover remains open,REVIEW_AFTER_FULL_REPLAY,2026-09-17T16:25:48.473074Z,New R17 consolidated request,,1,NEW,Multiple legacy authors; repaired candidate OpenAI,See Quarantine Index: 11 archive-member hashes,,UNASSIGNED,,No H5 certificate chain may consume signed odd-frequency or missing denominator-tail bounds without replay.
