Audit ID,Recorded UTC,Exact Object ID,Original Scientific Question,Exact Theorem Required,Current Theorem Statement,Target Alignment,Measure Changed,Conditioning Changed,Pairing Rule Changed,Domain Changed,Limiting Replaced Finite,Coordinate Dependence,Proxy Replacement,Machine Roots Aligned,Intended Object Correct,Primary Evidence Inspected,Outside Lineage Reviewer,Conclusion,Dependencies Checked,Reopening Condition,Status
GOA-P02-002,2026-07-21T19:55:00Z,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,"Does the exact typed pair-Palm pairing defect have the cubic behavior required for the original persistence-pairing program, and is the adjacency theorem being verified under the identical governing object rather than a convenient proxy?","For P0.2, prove 1-a_r=O(r^3) under the exact determinant-weighted typed six-pin pair-Palm law and exact selected-branch adjacency event. For the larger target, separately connect adjacency to elder-rule pairing through the correct direct and redundant routes.","The deterministic candidate now has large adversarial reexecution, a dependency crosswalk, an explicit proposed branch mark, and rigorous continuous-box checks for frozen samples. E1, V1, V3, full analytic uniformity, exact-law replay, and the direct pairing route remain open.",ALIGNED WITH THE P0.2 SUPPORTING OBJECT; NOT A COMPLETE ANSWER TO THE ORIGINAL PAIRING TARGET.,"No declared measure change, but E1 must still prove that the six-pin conditioned law is exactly the governing P_r^MS object.",No adjacency conditioning is added. The branch convention is defined as a deterministic mark rather than a conditioning event.,No pairing-rule change is claimed. Exact branch adjacency remains distinct from elder-rule death-saddle pairing.,No domain change; finite-r torus and normalized local chart remain explicit.,"No. The exact-field transfer remains separate from the degree-four computation, and sampled parameters are not treated as the full admissible law.","Physical torus, normalized midpoint frame, and coordinate-free branch orientation are explicitly crosswalked.","No for the computational component; yes if adjacency evidence were summarized as the complete pairing theorem, which remains prohibited.","Proposed q-machine roots remain noninstalled. The repaired graph distinguishes typed, adjacency-conditioned, contact, and direct pairing routes.",TRUE for the declared P0.2 adjacency object subject to E1/E2 review; FALSE as a complete answer to the original persistence pairing law.,GP-DER-047; CL-AUD-044; CL-AUD-045; GP-PROT-065; GP-DATA-066; GP-AUD-067; GP-RSP-064.,CL provides outside implementation and crosswalk but not V1 blindness; GP interval execution is same theorem-author lineage; AO48 and CW requests are open.,"The project has materially reduced uncertainty in the deterministic layer and made the branch mark explicit. P0.2 remains a serious candidate, not a verified theorem, and the larger direct pairing route remains under-attended.",E1 law identity; E2 independent branch review; deterministic inequalities; exact-field transfer interface; Gaussian/Palm mass; V1/V3; q-machine route alignment; adjacency-versus-pairing boundary.,"Reopen on any exact object mismatch, branch symmetry failure, failed interval or source reconstruction, outside execution disagreement, or hypothesis-satisfying counterexample.",PASS-COMPONENT / GLOBAL-TARGET-BLOCKERS-REMAIN
GOA-P01-005,2026-07-22T04:10:00Z,P01_ROUTEB_D4_BOX_001_FIXED_R_QUANTITATIVE_PALM_MASS,Does the exact finite-r typed maximum-saddle Palm law assign a certified numerical positive mass to the already degree-four-certified Route-B box at r=1/20?,"A fixed-r theorem must bind the exact conditional law, coordinate Jacobian, box, Gaussian density lower bound, determinant/type weight lower bound, Palm normalizer upper bound, and degree-four-only scope.",GP-DER-110 gives a GP-side interval lower bound 4.7285293630365039e-31 for the identical fixed-r finite-jet object; GP-DER-108 qualitative positivity remains the EC-017 terminal scope.,EXACT_TARGET_AT_FIXED_r,FALSE,FALSE,FALSE,FALSE,FALSE,The box is stated in s=q/r coordinates while Gaussian density integration uses q; the exact fixed-r Jacobian r is included.,FALSE,N/A — no machine root changes.,TRUE,TRUE,FALSE,"PASS ON GP LINE — quantitative fixed-r finite-jet mass candidate is aligned with the intended box/law; outside review, exact-field transfer, and r-uniform P0.1 remain open.",GP-DER-106; GP-DER-108; GP-AUD-109; GP-DER-110; GP-DATA-110; GP-AUD-111; GP-CLS-PROP-020,"Reopen on law/coordinate mismatch, insufficient periodization enclosure, invalid conditional intervals, density/weight/normalizer bound error, capsule mismatch, or outside disjoint contradiction.",PASS-COMPONENT / OUTSIDE-REVIEW-OPEN
GOA-P01-006,2026-07-22T04:20:00Z,P01_ROUTEB_EC017_FINITE_Q4_PALM_OBJECT,"Does the certified Route-B box have positive mass under the exact full-field typed Palm law, or only under the finite-Q4 typed Palm law?","A valid closure must identify the exact probability law, endpoint Hessians/type indicators, normalizer, field layer, and residual dependence.","GP-CLS-PROP-020-v1.1 states only positive fixed-r mass under P_{r,Q4}^{MS}; exact full-field Palm mass remains open.",PARTIAL TARGET — finite-Q4 interface only,TRUE,FALSE,FALSE,FALSE,FALSE,Finite-Q4 law is a nine-jet coordinate object; exact full-field law includes residual endpoint Hessians.,TRUE — v1.0 substituted the finite-Q4 weighted law for the exact full-field Palm law.,TRUE,FALSE,GP-DER-043; GP-DER-045; P0.1 READ FIRST; GP-AUD-112; GP-CLS-PROP-020-v1.1,,CORRECTED — intended exact-field target remains unresolved; revised finite-Q4 subobject is internally aligned.,EC-017; HB-026; HB-029; GP-DER-106/108/110; GP-AUD-109/111; exact-field HB-024/HB-025,Reopen if exact endpoint Hessians are proved measurable from the nine jets or residual endpoint Jacobians vanish identically.,MATERIAL-SCOPE-CORRECTED / EXACT-FIELD-OPEN
GOA-P01-007,2026-07-22T04:55:00Z,P01_EXACT_FULL_FIELD_PALM_POSITIVITY_r_1_20,Does the exact determinant-weighted six-pin full-field Palm law assign positive probability to exact selected-branch adjacency at r=1/20?,"A valid proof must use the exact full-field endpoint Hessians/types, exact selected branch, positive full-field support event, and exact full-field normalizer.","GP-DER-112-v1.1 gives a qualitative support proof candidate using a positive nine-jet set, C4 constrained RKHS support, robust scaled-field capture, exact weights, and exact normalizer.",EXACT_TARGET_AT_FIXED_r,FALSE,FALSE,FALSE,FALSE,FALSE,Physical/scaled convention is explicit through S_r; all finite constraints are physical continuous functionals.,FALSE,N/A — no machine roots changed.,TRUE,TRUE,FALSE,PASS ON GP LINE AS CANDIDATE — exact fixed-r object is aligned; non-GP review and r-uniform theorem remain open.,P0.1 object card; GP-DER-112-v1.1; GP-AUD-113; GP-DER-106/044/045; GP-PROT-065; Q0_MASTER LB-ARCH; GP-AUD-112,"Reopen on topology, Gram, RKHS, support, measurability, robust capture, exact weight/normalizer, or branch-object contradiction.",PASS-CANDIDATE / OUTSIDE-REVIEW-OPEN
GOA-P01-008,2026-07-22T05:20:00Z,P01_UNIFORMQ_D4_BOX_001,Does there exist a full-dimensional finite-jet degree-four capture corridor with fixed physical q-width that is valid uniformly for every 0<r<=1/20?,"A deterministic theorem must bind the physical q-box, scaled relation s=q/r, full r-domain, all repaired G0-G7 gates, fixed witness parameters, and exact field-layer exclusions.",GP-DER-114 states exactly that every point of P01-UNIFORMQ-D4-BOX-001 satisfies the degree-four capture sufficient conditions for 0<r<=1/20.,EXACT_TARGET_AT_DEGREE4_LAYER,FALSE,FALSE,FALSE,FALSE,FALSE,The result is chart- and scaling-dependent; physical q and scaled s are explicitly distinguished.,FALSE,N/A — no machine root changes,TRUE,TRUE,FALSE,"PASS on GP line for the exact deterministic degree-four target. It is not a probability, exact-field, or P0.1 theorem.",GP-DER-114; verified GP-DATA-114; GP-AUD-115; GP-DER-092/106 gate definitions; q/r monotonicity ledger; five controls.,"Reopen on object-coordinate mismatch, monotonicity error, interval-formula defect, counterexample in the box, failed source identity, or outside-review contradiction.",PASS-GP-SIDE / OUTSIDE-REVIEW-OPEN
GOA-P01-009,2026-07-22T05:45:00Z,P01_UNIFORMQ_D4_BOX_001_FINITE_Q4_PALM_MASS,Does the exact nine-jet finite-Q4 typed Palm law assign a uniformly positive normalized mass to the fixed-q degree-four corridor for all sufficiently small r?,"A proof must bind the exact finite-Q4 law, physical q-coordinate box, uniform Gaussian density lower bound, quartic determinant/type weight, r^2 normalizer, degree-four inclusion, and small-r domain.","GP-DER-116 states exactly that there exist r_1,c_Q4>0 with inf P_{r,Q4}^{MS}(B_q)>=c_Q4.",EXACT_TARGET_AT_FINITE_Q4_LAYER,FALSE,FALSE,FALSE,FALSE,FALSE,The result is explicitly in physical q coordinates and normalized pair geometry; no q-to-s measure substitution.,FALSE,N/A — no machine root changes,TRUE,TRUE,FALSE,PASS on GP line for the finite-Q4 probability target. Exact full-field P0.1 remains a different object.,GP-DER-116; GP-AUD-117; GP-DER-043/044; GP-DER-114/115; determinant intervals; compact-density and normalizer cancellation.,"Reopen on law/coordinate mismatch, Gaussian regularity failure, determinant/type failure, normalizer error, degree-four inclusion failure, or exact-field scope contamination.",PASS-GP-SIDE / OUTSIDE-REVIEW-OPEN
GOA-P01-010,2026-07-22T06:20:00Z,P01_UNIFORM_ADJACENCY_POSITIVITY_EXACT_FULL_FIELD,"Under the exact full-field typed maximum-saddle Palm law, is the exact selected-branch adjacency probability uniformly bounded away from zero for all sufficiently small separations?","There must exist r_*,c_A>0 with inf_{0<r<=r_*}P_r^{MS}(A_r)>=c_A under exact endpoint Hessian weighting, exact branch event, and identical six-pin law.","GP-DER-119 states exactly the target, using the exact normalizer theorem GP-DER-118 and no finite-Q4 substitution.",EXACT_TARGET,FALSE,FALSE,FALSE,FALSE,FALSE,"The proof declares physical q, normalized chart, scaled transfer, and exact physical Hessian relations explicitly.",FALSE,FALSE — no machine root is aligned or changed until review/promotion gates pass,TRUE,TRUE,FALSE,Target-aligned complete GP-side candidate. Independent multi-line proof review and promotion authority are absent.,GP-DER-118/119; GP-AUD-120; GP-PRP-121; GP-DER-114/044/045/046; GP-PROT-065; P0.1 object card.,"Reopen on any object, endpoint-normalizer, density, GT5, transfer, determinant, branch, r-domain, independence, or scope contradiction.",PASS-TARGET-ALIGNMENT / COMPLETE-GP-CANDIDATE / INDEPENDENCE-BLOCKED
GOA-P01-011,2026-07-22T06:45:00Z,P01_GP_DER_118_REVISION_1_2,"Which numbered document is the operative candidate proof of exact P0.1, and is its normalizer expectation limit justified without an unconstructed coupling?","The active theorem revision must state the exact law/event and justify Z_r^{exact}/r^2 convergence by finite-dimensional weak convergence plus uniform integrability, with revision-specific independent review.",GP-DER-118-v1.2 is the sole active review object and implements the required convergence-mode correction. Earlier theorem/synthesis objects are preserved but nonoperative.,EXACT_REVIEW_TARGET,FALSE,FALSE,FALSE,FALSE,FALSE,"Same exact physical/scaled conventions as P0.1 candidate; revision changes proof presentation, not coordinates.",FALSE,FALSE — no machine alignment or change,TRUE,TRUE,FALSE,Active lineage and convergence method are aligned. Independent mathematical review remains absent.,GP-DER-118-v1.0/v1.1/v1.2; GP-AUD-119; GP-DER-119; GP-AUD-120; GP-PRP-121-v1.0/v1.1; TR-P01-010/011.,"Reopen on a later revision, invalid weak-convergence/UI argument, object mismatch, or new lineage collision.",PASS-ACTIVE-LINEAGE / PASS-CONVERGENCE-REPAIR / OUTSIDE-REVIEW-OPEN
GOA-P01-012,2026-07-22T07:00:00Z,GP_DER_118_V1_3_REVISION_IDENTITY,Is the recently titled GP-DER-118-v1.3 a coherent clean theorem revision that supersedes v1.2?,"A clean revision must have one exact internal ID and one consistent active routing, incorporate all prior material corrections, and use revision-matched approval wording.",The file fails: title v1.3 but body/tags/end/review wording v1.2; contradictory routing; stale convergence and provenance text.,FAILED_TARGET,FALSE,FALSE,FALSE,FALSE,FALSE,No coordinate issue; failure is revision identity and authority.,FALSE,FALSE — no machine effect,FALSE,TRUE,FALSE,FAIL clean-revision target. v1.2 remains correct active review object.,Full GP-DER-118-v1.3 body; GP-AUD-122; TR-P01-011; GP-PRP-121-v1.1.,Reopen only for a newly coherent separately audited v1.3.,FAIL-V1.3 / PASS-V1.2-PRESERVATION
GOA-P01-013,2026-07-22T07:15:00Z,P01_GP_DER_118_V1_3_CURRENT_REPAIRED_REVISION,"After the failed-snapshot audit and subsequent repairs, is the current GP-DER-118-v1.3 internally coherent and suitable as the sole active theorem review object?","The current body must align title, internal ID, tags, review wording, delimiter, routing, provenance, and weak-convergence/UI method.",GP-AUD-122-v1.1 finds all review-identity conditions satisfied after explicit repairs; mathematical independence remains open.,EXACT_REVIEW_TARGET,FALSE,FALSE,FALSE,FALSE,FALSE,No coordinate changes; review identity only.,FALSE,FALSE — no machine effect,TRUE,TRUE,FALSE,PASS clean-revision identity and active routing. Non-GP theorem verification remains absent.,Current GP-DER-118-v1.3; GP-AUD-122-v1.0/v1.1; GP-PRP-121-v1.2; TR-P01-012/013.,"Reopen on later body divergence, stale text recurrence, later numbered revision, or non-GP identity objection.",PASS-CURRENT-V1.3-IDENTITY / OUTSIDE-REVIEW-OPEN
