Severity,Code,Exact object,Reference ID,Message
WARNING,PAIRING_V11_PRODUCTION_FIELD_NOT_RUN,EXACT_FIELD_PAIRING_INSTRUMENT_GP_DATA_054_V1_1,TR-P12-006,"No full Bargmann–Fock field has completed the amended V0–V7 pipeline. No bars, pairing distribution, a_hat, or scientific conclusion may be inferred."
CRITICAL,PAIRING_V11_SECOND_CAPSULE_EMPTY,GP-DATA-054-v1.1 Amended Byte-Exact Compressed Source Capsule,Drive ID 1NJaNSyoe63iizZS9bB2OK02Hz46p4bwzUW3_iVCEDbo / GP-AUD-063,"The replacement compressed capsule contains no readable document content and downloads as only three bytes. It cannot reconstruct the declared 51,213-byte source. Together with the failed staging tail fragment, both current v1.1 source-publication surfaces fail."
CRITICAL,PAIRING_V11_SOURCE_CAPSULE_EMPTY,GP-DATA-054-v1.1,GP-AUD-063-v1.0,"The announced amended byte-exact compressed source capsule is a native Google Doc of size 1 with no readable payload. Exact 51,213-byte reconstruction and outside 21-control execution are impossible."
WARNING,GP_AUD_059_SECOND_ARTIFACT_ID_COLLISION_RESOLVED,GP-AUD-059-v1.0 / GP-AUD-062-v1.0,GP-AUD-063-v1.0,The amended 21-control author receipt retains GP-AUD-059. The stale-export correction is GP-AUD-062. Both Drive IDs and all historical aliases are preserved.
INFO,PAIRING_IDENTIFIER_COLLISIONS_CANONICALLY_RESOLVED,GP-AUD-061 / GP-AUD-059 / TR-P12-007 / TR-P12-008 / TR-P12-009,Drive-ID audit,"GP-AUD-061 is the stale-export/current-v1.0 correction; GP-AUD-059 is the v1.1 author receipt. TR-P12-007 is current-v1.0 adversarial qualification, TR-P12-008 is first failed staging, and TR-P12-009 is the second empty-capsule audit."
INFO,P02_TB_TC_TE_EXACT_RATIONAL_PASS,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,GP-AUD-068-v1.0,"T-B, T-C, and T-E continuous-domain inequalities pass exactly on all 864 frozen CL configurations; three planted controls fail as intended. This strengthens the deterministic certificate only and does not close P0.2."
INFO,P02_EMPTY_RECEIPT_PRESERVED_AND_REPLACED,EXACT_FINITE_R_SIX_PIN_CONDITIONAL_LAW,GP-AUD-039 / CL-DATA-052 / GP-AUD-082,"GP-AUD-039 remains empty and uncounted. CL-DATA-052 plus GP-AUD-082 are the replacement evidence of record, pending the explicitly different-line gate 2 audit."
INFO,P02_NON_GP_RECONSTRUCTION_GATE1_PASS,EXACT_FINITE_R_SIX_PIN_CONDITIONAL_LAW,CL-DATA-052 / GP-AUD-082,"CL published byte-exact literal side-24 exact-torus source and receipt; GP verified both hashes, reran the source unchanged, and reproduced all mathematics and controls. Different-line gate 2 remains."
INFO,P02_BRANCH_CONVENTION_CL_REVIEW_PASS,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-RSP-053 / GP-PROT-065,"CL confirms the coordinate-free selected branch, A_r definition, symmetries, no-adjacency boundary, and M/S orientation. Optional AO48/CW second review remains welcome."
INFO,P02_CL_864_ZERO_COUNTEREXAMPLES,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-AUD-044-v1.0,CL checked 864 adversarial configurations and 672 trajectories with zero failures; component evidence only.
INFO,P02_INTERVAL_864_CONTINUOUS_BOX_PASS,P02_DETERMINISTIC_INTERVAL_CERTIFICATE,GP-AUD-067-v1.0,GP-DATA-066 certifies T-B/T-C/T-E over continuous boxes for all 864 frozen configurations; 4/4 controls and exact Drive source reconstruction pass.
WARNING,P02_E1_PAIR_PALM_CONFIGURED_PROCESS_BRIDGE_OPEN,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-DATA-052 / CL-RSP-053,"The finite-dimensional exact-torus six-pin law is reconstructed, but the determinant-weight, type-indicator, normalizer, no-adjacency pair-Palm to configured-process bridge remains manuscript-open."
INFO,P02_E2_BRANCH_CONVENTION_REVIEW_PASS,P02_SELECTED_BRANCH_CONVENTION,CL-RSP-053 / GP-PROT-065,CL independently reviewed and AGREES. A second outside review is optional strengthening; a displayed continuity/measurability line remains a nonblocking editorial touch.
WARNING,P02_V1_DERIVATION_BLIND_RECONSTRUCTION_OPEN,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,HB-015 / AO48 request,All current deterministic reviews had the proof visible; AO48 has been asked to claim a blind reconstruction.
WARNING,P02_V3_EXACT_LAW_REPLAY_OPEN,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,HB-016 / CW-CL request,No frozen exact-law replay with retained failures and stage slacks is complete; CW and CL were asked to clarify ownership.
WARNING,P02_INTERVAL_OUTSIDE_EXECUTION_PENDING,P02_DETERMINISTIC_INTERVAL_CERTIFICATE,REV-P02-GP-INTERVAL-001,"The interval source passes locally and is byte-reconstructable, but an outside line must decode, run, and inspect it."
INFO,P02_GT5_STRUCTURAL_CL_AUDIT_PASS,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-AUD-047-v1.0,"CL found no structural defect in the GT5 chain, independently checked explicit sigma5^2=945 and L6^2=11340, and narrowed the remaining work to full outside-lineage review and interval-level refinements."
INFO,P02_DM2_SYMBOLIC_R4_BOUND_PASS,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,GP-DER-071-v1.0,"On the declared exact finite-r nine-jet object, W_r^2 has an exact r^4 factor, is bounded by 16r^4R^8, and therefore has uniform expectation O(r^4); the limiting exact-torus and planar fourth-moment constants are identified."
WARNING,P02_V2_OUTSIDE_LINEAGE_REVIEW_OPEN,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-AUD-047 / GP-DER-071,"V2 is substantially advanced but not closed: a derivation-blind outside-lineage line-by-line review of GT5 and DM2, identical-object confirmation, and any required exact-torus interval enclosures remain open."
INFO,P02_TD_FROZEN_SCHEDULE_COMPONENT_PASS,GP-DATA-072-v1.0 / GP-AUD-073-v1.0,Fresh exact Drive reconstruction and execution,"T-D fixed-coordinate cone checks pass all 864 frozen configurations with six negative controls. This is a component execution pass only; outside rerun, T-F, exact-law replay, and theorem promotion remain open."
WARNING,GP_DATA_072_FAILED_STAGING_PRESERVED,GP-DATA-072 v1.0 and v1.1 capsule attempts,GP-AUD-073-v1.0,Two earlier capsule attempts failed gzip integrity or used the wrong payload. Both remain preserved and disqualified; only v1.2 is source-publication-ready.
INFO,P02_V1_DERIVATION_BLIND_PASS,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-AUD-049-v1.0,"V1 is discharged on its declared deterministic domain through a proof-blind CL reconstruction and 4,800 adversarial checks; shared frozen-definition lineage remains disclosed."
CRITICAL,P02_REG_R_CURRENT_RUNGS_INACCESSIBLE,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,GP-AUD-073 / CL-AUD-048,"REG_r is empty for r>epsilon0 and all current rungs are outside the GP-DER-047 certificate domain. The certificate is an ultra-small-r asymptotic device, not a practical-rung certificate."
INFO,P02_STRIP_CONSTANT_EVENT_MISMATCH_RESOLVED,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-AUD-048 / GP-AUD-042,The approximately 0.091 and 0.054–0.060 constants refer to fixed-mu=1 and optimized-mu complements respectively. B_* is a subset of B_1; no numerical conflict remains.
WARNING,P02_EXACT_TORUS_DIFFERENT_LINE_AUDIT_OPEN,EXACT_FINITE_R_SIX_PIN_CONDITIONAL_LAW,CL-DATA-052 / GP-AUD-082,"Literal periodized images, high precision, positive definiteness, three controls, and GP post-freeze rerun now pass. Only AO48/CW source-object-output audit remains before gate 2 acceptance; the pair-Palm bridge is separate."
WARNING,P02_FIXED_MU_DRIVER_NOT_FROZEN,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-AUD-048,"The fixed-mu=1 strip calculation is informative but its separate driver, event metadata, outputs, hashes, uncertainty, and mutation are not yet frozen in Drive."
INFO,P02_V1_DISCHARGED_SUPERSEDES_OPEN_ALARM,ADJACENCY_TO_ONE_CUBIC_TYPED_MS,CL-AUD-049 / CM-058,"CL independently re-derived every deterministic certificate inequality without viewing GP-DER-047's proof and checked 4,800 adversarial points. V1 is discharged with a shared-definition-transcription caveat; an AO48 from-source pass is optional strengthening."
INFO,P02_E1_DISPLAYED_PRECISION_RECONSTRUCTION_PASS,EXACT_FINITE_R_SIX_PIN_LAW,CL-AUD-048 / GP-AUD-074,"CL independently reconstructed the published finite-r six-pin numerical tables via a confluent-frame route. This supersedes the missing-receipt condition for displayed-precision evidence; exact normalized-periodized torus enclosure, planted mutation, and different-line audit remain open."
INFO,P02_PRACTICAL_R_PROGRAM_SEPARATED,PRACTICAL_R_CAPTURE_PROGRAM,GP-PRP-078-v1.0,"Accessible-rung work is now a separately named S_r/T_r/H_r program. It must not be cited as a revision, validation, or weakening of the ultra-small-r GP-DER-047 certificate."
CRITICAL,P02_V3_NONFINITE_FALLS_THROUGH_TO_STALL,CL-DATA-056 trajectory classifier,GP-AUD-087-v1.0 / TR-P02-016,The published classifier does not check solver success or finite states. NaN final states make all CAPTURE/ESCAPE comparisons false and are labeled STALL. Reduced multi-solver replays resolve the tested cases as capture or escape. STALL-dominance and failure-complete mass claims are blocked.
INFO,P02_V3_PROTOCOL_V11_POPULATED,GP-REQ-086-v1.1,Drive ID 1sD_u6M6u2H2wAmoOOb_Ti3opm4loRVz6mwwOItOCRII,"The empty v1.0 protocol remains failed staging. v1.1 now supplies explicit terminal classes, event handling, solver/finite gates, sensitivity batteries, fixture receipts, negative controls and outside-line acceptance rules. No replay gate has yet passed."
CRITICAL,P02_V3_FRESH_SAMPLE_NOT_ORIGINAL_REPLAY,CL-AUD-050 versus CL-AUD-056,GP-AUD-088-v1.0 / TR-P02-017,CL-AUD-050 uses a different random-vector dimension/draw stream. Its 83 stalls are not the original 154 stalls. Same seed does not establish population identity; original-stall resolution remains open.
WARNING,P02_V3_EVENT_DRIVER_UNPUBLISHED,CL-AUD-050 event-based subset,GP-AUD-088 finding F3,"The prose describes event-based long-horizon runs, but the published source contains no event functions or machine-readable event receipt. The claim is CANNOT-VERIFY until source and receipts are published."
WARNING,P02_CLDATA059_ANALYTIC_SOURCE_UNEXECUTED,P02_PRACTICAL_R_ANALYTIC_BRIDGE_DESIGN,CL-DER-058-v1.1 / CL-DATA-059,"CL-DER-058 explicitly states the reference implementation was unexecuted in that session and reports no occupancy numbers, trajectory rates or exponent. Do not cite the source or analytic nonemptiness proof as a computational pass, measured mass, exact-field replay or theorem evidence."
CRITICAL,P02_FILE4_PAIR_PALM_IS_ADJACENCY_CONDITIONED,File 4 Theorem P2a(ii) versus P0.2 P_MS,GP-AUD-089-v1.0 / TR-P02-020,"File 4’s displayed weight includes the gradient-adjacency indicator, so its pair-Palm law is P_MS conditioned on A_r. Treating it as the unconditioned typed law hides the a_r factor and risks circular adjacency inference."
WARNING,P02_PAIR_INTENSITY_CONDITIONING_QUALIFIER_REQUIRED,"File 1/3/4 K2, fold-pair, and contact-intensity citations",GP-AUD-089-v1.0 / HB-022,Every pair intensity and Palm expectation must be labeled typed-unconditioned or fold-conditioned. For matched ordered measures rho_fold=rho_MS a_r; contact constants cannot be equated until the a_r factor is controlled.
INFO,GP_REQ_086_PRIMARY_SUPPLEMENT_LINEAGE_FINAL,GP-REQ-086-v1.1 and v1.1-S1,TR-P02-019 / REL-092,The sole operative protocol is v1.1 (Drive ID 1sD_u6...). The enhanced object is nonoperative supplement v1.1-S1 (1Ki8Ud...). Historical v1.2 wording is collision provenance and not current routing. No replay gate has passed.
CRITICAL,PRCP_DEGENERATE_OPTIMIZER_DOES_NOT_DEFINE_WIDTH,GP-REG-079 S_r / CL-DER-058,GP-AUD-090 F1,"At A=B=0 the scalar C_mu infimum is unattained. If F>0, W_mu=F/mu diverges as mu→0. EC-012’s scalar bypass cannot define geometric W_*; optimized PRCP events require a finite witness mu or separate degenerate event."
CRITICAL,PRCP_TYPED_SR_SLOPE_DENOMINATOR_CAN_VANISH,CL-DER-058 P1,GP-AUD-090 exact counterexample,"A strict typed S_r configuration has J_S eigenvalues -3,+1 and J_M negative definite while A_S-D_S=0. The proposed |B|/(A-D) slope bound is undefined. Exact eigenslope or an axial denominator gate is mandatory."
CRITICAL,PRCP_DEGREE4_EXACT_FIELD_LAYER_MISMATCH,CL-DER-058 versus GP-REG-079 T_r/H_r,GP-AUD-090 F3,P1-P6 are derived for the degree-four field while the event card defines exact-field transit and capture. Exact credit requires a margin-by-margin C1 perturbation receipt.
WARNING,PRCP_CL_DATA_059_UNAVAILABLE,CL-DATA-059 claimed source,GP-AUD-090 F7,The cited reference implementation and explicit G_X/G_Y envelopes were not locatable in Drive. P2 fixed-point and mutation execution remain CANNOT-VERIFY.
CRITICAL,PRCP_TRANSIT_SECTION_AND_BOUND_MISMATCH,GP-REG-079 T4/P6 versus CL-DER-058,GP-AUD-090 F4 / TR-P02-021,"T_r must distinguish the S-side entry X_S=1/2−sigma from the M-side exit X_M=−1/2+sigma. Central transit preserves |Y|≤W_*, not |Y|≤kappa_p sigma; P6 must use the M-side strip width and explicit section names."
INFO,PRCP_GP_DEGREE4_REPAIR_SOURCE_PASS,GP-DER-092 / GP-DATA-093 / GP-AUD-094,TR-P02-022,"A byte-exact GP repair source and receipt now exist. One strict degree-four fixture and five planted controls pass. This is same-line component evidence only; outside reconstruction, exact-field transfer, occupancy and scaling remain open."
WARNING,PRCP_REPAIR_IS_DEGREE4_ONLY,GP-DER-092 / GP-AUD-094,Field-layer guard NC5,"The executable repair contains no exact full-field realization or C1 remainder transfer. It must not be cited as exact-field T_r/H_r, adjacency, probability, exponent, instrument or theorem evidence."
INFO,PRCP_EXACT_FIELD_TRANSFER_BUDGET_PASS,PRCP-INTERIOR-001 / GP-DER-095 / GP-DATA-096,TR-P02-024 / GP-AUD-097,A byte-exact sufficient C1 transfer budget is derived and reproduced. The binding eigendirection threshold is delta_max≈0.00928218; conservative acceptance delta≈0.00464109; 5/5 controls pass.
WARNING,PRCP_EXACT_FIELD_MEMBERSHIP_NOT_ESTABLISHED,PRCP-INTERIOR-001 exact-field event,GP-AUD-102 / HB-025,"C_D is now explicit and reproducible, with H5 threshold 1.019686418169839.... Still missing: a rigorous conditioned H5 or direct C1 remainder, exact-field source/fixture receipt, populated T1-T10 transfer record, and outside fixture-specific review. The result remains a deterministic component, not exact-field capture or probability evidence."
INFO,PRCP_SCHEMA_BUDGET_IDENTIFIER_COLLISIONS_RESOLVED,TR-P02-023/TR-P02-024; HB-024/HB-025; GOA-P02-018/GOA-P02-019,Concurrent register reconciliation,"The earlier schema retains TR-P02-023, HB-024, GOA-P02-018. The later fixture-specific budget is TR-P02-024, HB-025, GOA-P02-019. All evidence and tasks remain distinct and preserved."
