Setting,Value,Status,Scope / effect,Source,Updated UTC,,,,,,,
2,AD-NAV-002,2026-07-25T15:21:57Z,00_AI_DRIVE_BOOTSTRAP and navigation precedence,FRONT-DOOR / CONTEXT ECONOMICS,One small bootstrap reduces discovery calls; protected sources remain authoritative; historical maps preserved,YES,IMPLEMENTED,TRUE,Rename bootstrap or restore historical map titles,Bootstrap; Dashboard; Context Snapshot; Config,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Progressive disclosure Level 0–3 established; old maps renamed historical
3,AD-QUEUE-003,2026-07-25T15:23:30Z,Former _HUMAN_APPROVAL queue and child surfaces,WORKFLOW RETIREMENT / RENAME,Drive IDs stable; history preserved; no active human-decision cards; OP-PROT-012 prohibits new human gates,YES,IMPLEMENTED,TRUE,Restore prior folder names by stable Drive ID,Decision folder IDs and updated instructions,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Queue renamed autonomous evidence-gated; historical HA surfaces retained
4,AD-009-WORKFLOW-004,2026-07-25T15:24:29Z,HA-009 workflow dependency,CONVERT HUMAN CARD TO AUTO-PREDICATE,Existing exact package predicates are explicit; no human reasoning needed; underlying evidence still incomplete,YES — CONVERT WORKFLOW,IMPLEMENTED; UNDERLYING EC-019 VERDICT REMAINS HOLD,TRUE,Remove supersession banner and restore HA title if protocol revoked,AD-009; LCR-COR-061; OP-PROT-012,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,No EC-019 closure performed; AUTO-YES waits for complete package-integrity PASS
5,AD-LEASE-005,2026-07-25T15:17:10Z,Structural-write exclusivity and conflict detection,LEASE / ZERO-TRUST CONTROL,91.4-minute quiet scan; operator declared other families inactive; abort-on-conflict; stable target IDs and rollback paths,YES,IMPLEMENTED AND RELEASED,TRUE,Lease automatically expires/releases; all changes individually reversible by ID,Autonomy Control; recent-documents scans before and during changes,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,No unrelated post-baseline write detected during the leased change set
6,AD-DISPATCH-006,2026-07-25T15:41:27Z,"Generic Drive prompts, task selection, Active Work Claims, sandbox routing, Dashboard and Config",GENERIC PROMPT AUTOROUTING / COLLISION CONTROL,"Generic prompts must produce useful execution without clarification; multiple models require claims, expiry, anti-duplication, and anti-sidetrack controls; changes are reversible and alter no research status",YES,IMPLEMENTED,TRUE,Remove router/Config rows and Active Work Claims sheet; revert bootstrap and Dashboard cells; preserve router as provenance,Dylan instruction; 00_AI_DRIVE_BOOTSTRAP R2; Generic Prompt Autorouter; GP-REG Active Work Claims; Sandbox README,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,"Low-information prompts now default to ACTIVE EXECUTOR, claim one task plus fallback, prioritize direct project work, permit explicit review/corroboration lanes, and cap unblocking system work at 5% under normal conditions"
7,AD-COLDSTART-007,2026-07-25T15:55:00Z,"Compact bootstrap, Dispatch Queue, Dashboard, Easy Closure EC-019 row, LS-REQ-002, Config",COLD-START EFFICIENCY AND PROVIDER-AWARE DISPATCH,Observed audit required 8–9 calls and large queue payloads before executable work; top task and first fallback were blocked; changes preserve evidence and are reversible,YES,IMPLEMENTED AND LEASE RELEASED,TRUE,Restore R2 bootstrap from preserved full reference; delete Dispatch Queue sheet only by reversible schema change; restore Dashboard and packet banners,Cold-start tool trace; bootstrap/router; Dashboard; Active Work Claims; Easy Closure Queue; Help Board; Open Questions; GP-DER-029,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Target path reduced to 3 calls: locate/read compact bootstrap; read Dispatch Queue+Claims together; open selected source. Current OpenAI task DQ-001 is explicit; blocked tasks are skipped without broad scans or Dylan clarification.
8,AD-COLDSTART-008,2026-07-25T16:02:00Z,Three generic-prompt cold-start runs and search-ranking competition,COLD-START VALIDATION AND SEARCH HARDENING,All three runs reached an executable source in three calls; one exposed stale Quick Jump precedence,YES,IMPLEMENTED AND LEASE RELEASED,TRUE,Restore prior titles and remove banners; preserve Cold Start Tests,Cold Start Tests CST-001 to CST-003; compact bootstrap; Dispatch Queue,ChatGPT under Dylan Roy directive,Three runs selected DQ-001 in three calls. Quick Jump and full reference are now explicitly non-cold-start.
9,AD-CONTINUITY-009,2026-07-25T16:12:00Z,"Dispatch Queue, claims, Task Intake, DQ-CONTINUITY, and controlled frontier expansion",SELF-REPLENISHING TASK GENERATION AND WORST-CASE CONTINUITY,"Queue must not stop when tasks complete, block, become stale, or require unavailable providers or runtimes",YES,IMPLEMENTED AND LEASE RELEASED,TRUE,Disable continuity settings and retire DQ-CONTINUITY; preserve protocol as provenance,Continuity Protocol; DQ-005; DQ-006; DQ-CONTINUITY; TI-001; TI-002,ChatGPT under Dylan Roy directive,Low-water mark 3; max 3 successors; continuity ladder; sandbox-first falsifiable frontier expansion; human approval remains FALSE.
10,AD-PROMPT-ROBUSTNESS-010,2026-07-25T16:36:00Z,"Root semantic front door, R7 bootstrap, R3 autorouter, discovery precedence, and prompt aliases",PROMPT ROBUSTNESS / COLD-START DISCOVERY,18 pre-fix variants exposed bootstrap misses and role ambiguity; root listing/folder-only search resolves broad wording deterministically,YES,IMPLEMENTED AND LEASE RELEASED,TRUE,Restore prior names/parents and R4/R5 text; retain Cold Start Tests as provenance,CST-004 through CST-033; root/front-door folder; bootstrap; autorouter,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,"Generic wording now includes terse, conversational, imperative, review-adjacent, slang-like, typo-like, and gdrive variants; mixed all-item search is explicitly secondary."
11,AD-CLAIMS-011,2026-07-25T16:40:00Z,"Dispatch Queue ordering, Active Work Claims schema, collision tests, fresh-row resolution, and post-write verification",MULTI-MODEL COLLISION CONTROL / ACI POKA-YOKE,"Multiple models require deterministic rank order, exact Dispatch-ID joins, atomic dual-surface claims, and stale-coordinate defenses",YES,IMPLEMENTED AND LEASE RELEASED,TRUE,Remove columns R/S and restore prior queue ordering only under lease with zero active claims,CST-034 through CST-037; Dispatch Queue; Active Work Claims; bootstrap R7; autorouter R3,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,A row-index defect was deliberately preserved as failed test evidence; pre-resolve and readback are now mandatory.
12,AD-ROOT-HYGIENE-012,2026-07-25T16:43:00Z,Nine loose root artifacts and duplicate CL-AUD-218 identity,ROOT FOLDERS-ONLY REPAIR / DUPLICATE-ID QUARANTINE,Root policy required folders only; artifacts had clear functional destinations; one duplicate artifact ID had a full review and an incomplete truncated copy,YES,IMPLEMENTED AND LEASE RELEASED,TRUE,Move files back by stable Drive ID; restore duplicate title if needed,Root listing before/after; package folders; full CL-AUD-218 1imo; corrupted duplicate 1ek0,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,No deletion. Full review retained as evidence; incomplete duplicate quarantined with zero credit; root loose-file count verified zero.
13,AD-QMACHINE-013,2026-07-25T16:47:00Z,"CL-AUD-218, P1.1 READ_FIRST, OQ-012, TI-003, and DQ-007",EVIDENCE-BACKED DIRECT REPAIR ROUTING,Distinct-family review reproduced q0-law-specific/1.2 and validated two material fail-closed defects with fixes; a direct noncanonical implementation task is executable now,YES,IMPLEMENTED ROUTING ONLY / MACHINE UNCHANGED,TRUE,Retire DQ-007 and remove current banners while preserving review evidence,CL-AUD-218; GP-AUD-188; q0-law-specific machine/verifier; P1.1 READ_FIRST; OQ-012,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,"No verifier fix, installation, machine replacement, or root promotion was performed. DQ-007 now carries the exact repair acceptance predicate."
14,AD-P01-STATE-014,2026-07-25T16:58:00Z,P0.1 READ_FIRST and LS-DER/DATA-008 shell status,CURRENT/HISTORICAL STATE SEPARATION,"First-time read found populated successors, older corrections, shell titles, and stale human-promotion language mixed in one append-heavy file",YES,IMPLEMENTED NAVIGATION BANNER / RESEARCH STATUS UNCHANGED,TRUE,Remove top banner; underlying historical sections remain intact,P0.1 READ_FIRST; LS-DER-008; LS-DATA-008; DQ-001/005/006,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Shell documents are nonempty notices but contain zero evidence. Banner distinguishes current populated successors from historical lower states and supersedes only human workflow gates.
15,AD-CONTROL-INTEGRITY-015,2026-07-25T17:19:00Z,Bootstrap R7 and Autorouter R3 split-sentence corruption,CONTROL-DOCUMENT STRUCTURAL REPAIR,"Triple-check found mid-sentence insertions, detached fragments, and contradictory legacy task selection in the current control documents",YES,FULL REWRITE IMPLEMENTED / R8 AND R4,TRUE,Restore prior revisions from Google Docs history; preserve CST-049 as incident evidence,"Bootstrap and autorouter full text; corruption signatures DriveCLAIM, orCLAIM, OP-PROT-01ROOT",ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Incremental patch stacking retired for these current documents; full replacement produced clean self-contained controls.
16,AD-NORMALIZATION-016,2026-07-25T17:20:00Z,Prompt normalization and semantic root metadata,QUERY NORMALIZATION / FIRST-TIME DISCOVERY,"Stable folder searches advance research, next task, fix project, audit project, organize research, implement changes, and first time model all failed before normalization",YES,IMPLEMENTED AND REGRESSION-PASSED,TRUE,Restore former names and remove normalization sections while preserving tests,CST-038 through CST-048; R8 bootstrap; R4 autorouter; root folder metadata,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,All normalized queries resolve the front door at rank one; root-list fallback remains mandatory on miss.
17,AD-P02-017,2026-07-25T17:21:00Z,"P0.2 READ_FIRST, P02-LM-006 frozen review, TI-004, and DQ-008",CURRENT-STATE SEPARATION / EXACT-HASH REVIEW ROUTING,P0.2 entry mixed current 13-interface state with historical 12-interface and stale human-promotion language; exact LM-006 review packet was executable,YES,BANNER AND DQ-008 IMPLEMENTED / P0.2 STATUS UNCHANGED,TRUE,Remove banner and retire DQ-008; retain underlying review packet and history,P0.2 READ_FIRST; LCR-DER-019 9147 bytes SHA 239ed094...9150; LCR-REQ-018,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Four terminal and nine review-pending interfaces remain; same-family review earns zero organizational independence and performs no promotion.
18,AD-THEOREMB-018,2026-07-25T17:21:30Z,"Theorem B current audit, TB-G1 task, TI-005, and DQ-009",THEOREM-STATUS ENTRY / DIRECT MATHEMATICAL REPAIR ROUTING,Theorem B had a critical retraction audit and seven repair obligations but no current 00_READ_FIRST title or Dispatch derivation lane,YES,CURRENT ENTRY AND DQ-009 IMPLEMENTED / THEOREM STATUS UNCHANGED,TRUE,"Restore former audit title, remove banner, and retire DQ-009 while preserving audit",GP-AUD-187; TB-G1 through TB-G7; current Theorem B folder,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Exact Jacobian remains proved; B0 remains conditional; unconditional full-kappa theorem remains retracted/cannot verify; DQ-009 targets multiplicity only.
19,AD-SPEECHACT-019,2026-07-25T17:55:00Z,"R9 bootstrap and R5 autorouter: speech acts, negation, nonaction, meta-language, mandatory root listing, and zero-trust content boundary",PROMPT INTERPRETATION / DISCOVERY / SECURITY,"Action keywords alone cannot distinguish requests from quotations, plans, hypotheticals, stop/read-only constraints, or injected file instructions; root listing removes wording dependence",YES,FULL REWRITE IMPLEMENTED AND LEASE RELEASED,TRUE,Restore R8/R4 revisions from Docs history and retire R9/R5 while preserving tests,Bootstrap/autorouter R8 defects; PIT-001:092; CST-051/053/054,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,STOP performs no Drive call; READ_ONLY creates no material claim; ordinary content is data-only for authorization; exact end markers verified.
20,AD-MODE-020,2026-07-25T17:58:00Z,"Dispatch Queue column X, Active Work Claims column T, exact-target/mode/rank routing, and DQ-CONTINUITY MODE-RECOVERY",MODE-COMPATIBLE DISPATCH / CONSTRAINT PERSISTENCE,"Rank-only dispatch could send operations, implementation, formalization, computation, coordination, or sandbox requests to unrelated P0 reviews and could lose hard user limits after selection",YES,IMPLEMENTED AND REGRESSION-PASSED,TRUE,Remove columns X/T and revert R9/R5 mode logic under a lease with zero active claims,Dispatch Queue; Active Work Claims; PIT-031:042 and PIT-067:080; CST-052,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,"Exact target precedes mode, mode precedes rank; no matching task activates bounded mode recovery rather than violating intent."
21,AD-GRAMMAR-021,2026-07-25T18:00:00Z,Prompt Intent Tests PIT-001 through PIT-092 and property-based test method,PROMPT-GRAMMAR / SECURITY REGRESSION HARNESS,"Natural language has infinitely many strings, so exhaustive literal enumeration is impossible; equivalence-class properties cover the failure dimensions and remain extensible",YES,IMPLEMENTED,TRUE,Retire the sheet while preserving its exported/history evidence; controls remain independently reversible,Prompt Intent Tests; Config test-method records; CST-051:055,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,"92 property/control adjudications cover positive, typo, mode, nonaction, meta, mixed constraints, injection, and failure classes; they are not misrepresented as 92 independent model executions."
22,AD-STATE-SCOPE-022,2026-07-25T18:02:00Z,"Autonomy Control initial quiet interval, model-scope snapshot, and architect research-participation row",TEMPORAL AND SESSION-SCOPE REPAIR,Historical exclusivity observations and a session-local observer rule could be misread as current global state or restrictions on later generic executors,YES,IMPLEMENTED AND LEASE RELEASED,Restore prior labels only as historical provenance; current facts always require fresh claims/lease/recent-modification checks,Autonomy Control rows 4–6 and 12; CST-055,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Initial 91.4-minute interval and OpenAI-only declaration are explicitly historical; architect nonresearch rule is session-scoped.,
23,AD-RESUME-023,2026-07-25T18:16:00Z,"Resume-R1, R10 bootstrap, R6 autorouter, Active Work Claims U:AA, and front-door routing",USAGE-LIMIT CHECKPOINT / SAME-THREAD RESUME / PRECONTROL RECOVERY,"Existing and future model sessions can stop mid-scope; without durable checkpoints a generic resume prompt could abandon work, duplicate it, or resume stale sources",YES,IMPLEMENTED AND LEASE RELEASED,TRUE,Retire Resume-R1 and columns U:AA; restore R9/R5 from revision history; preserve tests and prior claims as provenance,Resume protocol; bootstrap; autorouter; claim schema; Dylan’s Claude session-limit scenario,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Same-thread own work outranks new Dispatch; 72-hour paused reservation; transfer-ready after expiry; pre-control threads register old scope before continuing.
24,AD-RESUME-TEST-024,2026-07-25T18:25:00Z,DQ-001/DQ-005/DQ-006 and SIM-RESUME-A/B/C,LIVE RESUME / TAKEOVER / LEGACY RECOVERY VALIDATION,Textual protocol alone was insufficient for release; real atomic transitions and readbacks were required,YES,THREE LIVE REVERSIBLE SIMULATIONS PASSED AND RELEASED,TRUE,Simulation rows remain released historical evidence; Dispatch states restored UNCLAIMED,"CST-056, CST-057, CST-058, claims and Dispatch readbacks",ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,"Validated PAUSED_RESERVED→CLAIMED→UNCLAIMED, TRANSFER_READY→CLAIMED→UNCLAIMED, and RECOVERED_PRECONTROL→UNCLAIMED. No research performed."
25,AD-RELEASE-025,2026-07-25T18:50:00Z,Entire AI Drive control plane before reopening multi-model work,FINAL RELEASE-READINESS GATE,Current documents end cleanly; front door contains all four controlling protocols; all live tasks restored; all test claims released; resume/security/mode/continuity tests pass; conflict scan shows intended writes only,YES,RELEASE READY / STRUCTURAL LEASE RELEASED,TRUE,"Reopen this gate automatically on any new routing failure, duplicate claim, stale checkpoint, unauthorized write, or control contradiction",CST-059 through CST-061; PIT-093 through PIT-108; final registry and recent-document readbacks,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,Models may resume. Existing pre-control Claude thread must recover its own exact unfinished scope from conversation context before generic dispatch; new threads without own scope use normal queue selection.
26,AD-CROSSFAMILY-026,2026-07-25T23:25:00Z,OP-PROT-012 applicability to Claude/Anthropic and all active model families; shared 50-decision budget,GOVERNANCE SCOPE / CROSS-FAMILY AUTONOMY,Authenticated Dylan Roy instruction; OP-PROT-012 zero-human-approval architecture; explicit CL-GOV-222 question; shared register and attribution controls,YES,IMPLEMENTED — DIRECT ANSWER RECORDED; LIVE INDEX RECONCILED,TRUE,Dylan may revoke or amend; preserve this record as provenance,Authenticated conversation; OP-PROT-012; CL-GOV-222; CL-PREFLIGHT-221; direct bounded register read,ChatGPT under Dylan Roy’s Autonomous Drive Architecture Directive,All model families use the same shared budget and exact PASS/NO/HOLD predicates. This authority does not waive scientific evidence gates.
27,AD-TRC-V04D2-027,2026-07-26T03:38:13Z,TRC-EC020-v0.4 carrier publication policy,PACKAGE CARRIER POLICY,Exact stored-byte identities already exist; re-upload would create unnecessary duplicate identities and break provenance continuity,YES,IMPLEMENTED — ENUMERATE EXISTING STORED BYTES; REQUIRE R0.2-CANONICAL BYTES FOR NEW CARRIERS,TRUE,Create a numbered successor only if a later standard requires normalized replacement carriers,CL-DEC-224 D-1; CL-TRC-215; OP-PROT-012,Anthropic Claude claude-opus-5 session_01Tqagv53x5pGo8bwGackV1g,Committed mechanically by OpenAI control plane; no root or seal accepted
28,AD-TRC-V04D1-028,2026-07-26T03:38:13Z,TRC-EC020-v0.4 same-purpose carrier selection,PACKAGE CARRIER SELECTION,Distinct-family selection criteria and current verified carrier inventory,YES ON 2 ROLES / NO ON 3 DERIVED ROLES,IMPLEMENTED — SELECT 1Tq-Axx6s7 PRIMARY IDENTITIES AND 1CBRVWAV0EvDT FROZEN ROWS; REBUILD OTHER DERIVED ROLES,TRUE,"Reopen on identity mismatch, missing selected carrier, or a superior independently verified same-purpose successor",CL-DEC-224 D-2; CL-TRC-215; OP-PROT-012,Anthropic Claude claude-opus-5 session_01Tqagv53x5pGo8bwGackV1g,"Selection is package routing only; no scientific, root, or seal effect"
29,AD-GPCOR143-029,2026-07-26T03:38:13Z,GP-COR-143 §§3.C and 3.E factual reconciliation,FACTUAL AMENDMENT,Claude returned NO/AMEND; bounded cell and XLSX evidence later confirmed §3.C and falsified §3.E,AMEND,IMPLEMENTED — §3.C CONFIRMED; §3.E RETRACTED; NO REGISTER ROW MANUFACTURE,TRUE,"Use immutable snapshots and bounded reads; future correction must be a successor, not an in-place edit",CL-DEC-224 D-3; GP-REC-EC020-WO2-20260726-01; GP-COR-143 current amendment,Anthropic decision; OpenAI capability handoff and factual commit,Original D-3 preserved; final disposition reflects primary evidence
30,AD-SELFHEAL-030,2026-07-26T13:22:00Z,"OP-PROT-013, cross-line work orders, frozen-object registry, and identity-drift controls",CONTROL-PLANE SELF-HEALING / CAPABILITY ROUTING,"Recurring failures arose from unequal connector capabilities, ledger-pending decisions, in-place edits after freeze, and read-path discrepancies",YES,IMPLEMENTED — OP-PROT-013 ACTIVE; CLWO INBOX; FOUR CONTROL SHEETS; LEASE RECOVERY; PRE-MANIFEST REVERIFY; SUCCESSOR-ONLY CORRECTIONS,TRUE,Disable pointers and restore prior revisions if the controls produce false commits; preserve all receipts,Dylan instruction; CL-REQ-225; CL-AUD-223; GP-REC-EC020-WO2; OP-PROT-012,OpenAI GPT-5.6 Thinking under Dylan Roy’s Autonomous Drive Architecture Directive,"Operational only; no theorem, root, seal, machine, or release promotion"
VOID-DUPLICATE-27,VOID-DUPLICATE-AD-TRC-V04D2-027-20260726T1328,2026-07-26T13:28:00Z,TRC-EC020-v0.4 carrier re-upload policy,CARRIER IDENTITY / MANIFEST POLICY,Exact stored-byte binding is valid; re-upload would destroy verified identities and introduce unnecessary transfer risk; manifest canonicalization does not require leaf canonicality.,VOID-DUPLICATE — SEE AUTHORITATIVE DECISION 27 AT ROW 41,VOID-DUPLICATE / ZERO DECISION CREDIT,TRUE,Reopen only if TRC-STANDARD-001 changes leaf canonicality requirements or a stored carrier fails exact-byte verification.,CL-DEC-224-v1.0 §1; CL-AUD-223; TRC-STANDARD-001-v1.3-R0.2,OpenAI GPT-5.6 Thinking transcribing Anthropic autonomous decision under CL-REQ-225 WO-1,Concurrent duplicate transcription preserved in place. It does not consume the decision budget or create a second decision.
VOID-DUPLICATE-28,VOID-DUPLICATE-AD-TRC-V04D1-028-20260726T1328,2026-07-26T13:28:00Z,TRC-EC020-v0.4 same-purpose carrier selection,CARRIER SELECTION / EVIDENCE DRIFT CONTAINMENT,"Cross-line content verification selected exact export-identity and frozen-register carriers; stale evidence-export, link-validation, and evidence-graph carriers contain drifted identities or rejected bindings.",VOID-DUPLICATE — SEE AUTHORITATIVE DECISION 28 AT ROW 42,VOID-DUPLICATE / ZERO DECISION CREDIT,TRUE,"Reopen if selected carrier bytes drift, content verification fails, or fresh v0.4 carrier construction finds incompatible source data.",CL-DEC-224-v1.0 §2; CL-PREFLIGHT-221; CL-TRC-215,OpenAI GPT-5.6 Thinking transcribing Anthropic autonomous decision under CL-REQ-225 WO-1,Concurrent duplicate transcription preserved in place. It does not consume the decision budget or create a second decision.
VOID-DUPLICATE-29,VOID-DUPLICATE-AD-GPCOR143-029-20260726T1328,2026-07-26T13:28:00Z,GP-COR-143-v1.0 §3.C and §3.E register-state claims,REGISTER-INTEGRITY / AMENDMENT,CL-DEC-224 found the declared Transition Register and Artifact Index duplicate rows inconsistent with its read path; bounded primary-cell reads and live-register reconciliation are required before the record controls manifest bindings.,VOID-DUPLICATE — SEE AUTHORITATIVE DECISION 29 AT ROW 43,VOID-DUPLICATE / ZERO DECISION CREDIT,TRUE,Close when bounded cell reads establish ground truth and GP-COR-143 or the live register is repaired additively to match.,CL-DEC-224-v1.0 §5; CL-REQ-225 WO-2/WO-5,OpenAI GPT-5.6 Thinking transcribing Anthropic autonomous decision under CL-REQ-225 WO-1,Concurrent duplicate transcription preserved in place. Its stale IMPLEMENTATION IN PROGRESS text is nonoperative; the authoritative decision records §3.C confirmed and §3.E retracted.
31,AD-TASK-INTEGRITY-031,2026-07-26T22:50:00Z,"OP-PROT-014, Task Integrity Gates, bootstrap R12, autorouter R8, and legacy-claim migration",TASK ADMISSION / ARTIFACT COVERAGE / PACKAGE IMPACT / RELEASE INVARIANTS,"Prior control depended on models remembering input, output, watch, manifest, and release registrations; this caused a Theorem B watch-coverage omission and left a superseded predecessor claim falsely reserved.",YES,IMPLEMENTED — OP-PROT-014 ACTIVE; TASK INTEGRITY GATES; 24/24 COVERAGE; LEGACY HOLD MIGRATION; R12/R8 ENFORCEMENT,TRUE,"Mark affected gate rows AMEND REQUIRED or INACTIVE without deletion; restore prior task state only after bounded evidence; restore prior bootstrap/autorouter revisions if required; preserve the protocol, receipt, and tests.",GP-REC-SELFHEAL-20260726-11; OP-PROT-014; Task Integrity Gates; GP-REC-SELFHEAL-20260726-10,OpenAI GPT-5.6 Thinking / Drive Self-Healing Audit,"Operational only; zero scientific, review, independence, root, seal, active-machine, external-release, deletion, or canonical effect."
32,AD-COLDSTART2-032,2026-07-26T23:18:00Z,"New-model entry, bounded discovery, compact task state, and tool-call circuit breaker",COLD-START RELIABILITY / TOOL ECONOMY / MISROUTING PREVENTION,"Response-blind stress test reproduced nondeterministic front-door order, historical direct-search rank-one misrouting, physically impossible three-call promise, and oversized registry payload.",YES,IMPLEMENTED — OP-PROT-015 ACTIVE; COLD START CONTROL VIEW; BOOTSTRAP R13; AUTOROUTER R9; 5+2 CALL CIRCUIT BREAKER,TRUE,"Restore R12/R8 revisions, disable the compact-view Config pointer, preserve stress traces, and return to bounded direct reads while repairing.",Cold-start trace; direct-search result set; OP-PROT-015; Cold Start Control View; CST-062–CST-071,OpenAI GPT-5.6 Thinking under Dylan Roy’s autonomous self-healing instruction,"Operational only; no theorem, root, seal, active-machine, release, deletion, or independence effect."
