Artifact ID,Title,Org,Class,Priority,Topics / object tags,Status,Authority / canonical impact,Dependencies or supersession,Modified UTC,Source,Notes
GP-CLS-004-v1.0,CLS,GP-DATA-048 instrument certification,OpenAI GPT-5.6 Thinking,2026-07-21,CLOSED — INSTRUMENT VERIFIED,NONE,GP-DATA-048; GP-AUD-049; CL-AUD-028,https://docs.google.com/document/d/1Ki5nRWqSgld82tUxhM4KHUCv0JrPdk5FqFxYerGYUcE/edit,Narrow behavioral certification only; P0.2 remains open.,terminal closure,2026-07-21 02:59 CDT
OP-PROT-006,Replacement-Before-Deletion and File-Consolidation Protocol,Operator / CL relay,GOV,High,replacement; deletion; consolidation; 24-hour clock; provenance,ACTIVE — CONDITIONAL; NO CURRENT ELIGIBLE DELETION,Operator governance authority only; mathematical truth unchanged,Distinct from pre-existing OP-PROT-005; governs DELETION_LOG and staging rules,2026-07-21T18:38:00Z,https://docs.google.com/document/d/18QG8Ss_DoPd_Oyitzt0pI5crnhcOe1q_wIMSUAdwVG8/edit,Renumbered from provisional OP-PROT-005 after collision preflight; no deletion performed
GP-AUD-056-v1.0,Static source audit of GP-DATA-054 endpoint and census qualification,OpenAI,AUD,P1,pairing; endpoint event; census identity; numerical qualification,MATERIAL BLOCKERS IDENTIFIED,No canonical impact; same-line static audit,Audits GP-DATA-054; feeds TR-P12-004 and HB-011,2026-07-21T18:35:00Z,https://docs.google.com/document/d/14isBxF_3xAQm2e9XzXLxZ872aQo7XmVvmjVn2exln6U/edit,F1–F5; outside review required
GP-AUD-061-v1.0,"Stale-export incident, current-source revalidation, and adversarial qualification correction",OpenAI,AUD,P1,source revision; stale export; hash correction; pairing defects; artifact-ID collision,SOURCE IDENTITY CORRECTED TO PASS / 3 v1.0 DEFECTS CONFIRMED / HISTORICAL,No canonical impact; same-line correction and execution,Distinct from GP-AUD-057 and GP-AUD-059 author receipt; feeds TR-P12-007; preserves dbff incident,2026-07-21T19:25:00Z,https://docs.google.com/document/d/1xQmawVY4d-lFSKaTxI5IR_J2zYRFm8VR77OVUwzAUQQ/edit,Current v1.0 capsule SHA 7f061dd7…4c22; historical dbff result retained; ID aliases preserved
GP-DATA-058-v1.0,Adversarial harness for GP-DATA-054 qualification defects,OpenAI,DATA,P1,NC-F1; NC-F2; NC-F5; fault injection,EXECUTED — 3 OF 3 DEFECT CONTROLS CONFIRMED,No canonical impact; review mirror of locally hashed harness,Tests decoded GP-DATA-054 capsule payload,2026-07-21T18:50:00Z,https://docs.google.com/document/d/1vgV2aOJqht5RaAQJREYFmUqb3ZABOPq8E3seqyeKCa8/edit,Harness hash f907e0eb…121; independent line still required
GP-AUD-057-v1.0,Drive Source Capsule Reconstruction Receipt,OpenAI,AUD,P1,source identity; Base64; exact reconstruction; revision-qualified receipt,PASS — CURRENT SOURCE IDENTITY,No canonical impact; same-line source reconstruction,Verifies GP-DATA-054 capsule; feeds TR-P12-005,2026-07-21T18:40:00Z,https://docs.google.com/document/d/1qLCAgBMPFfNDV1XrM22dlwLxljcENeHM5lOkeF_m3rQ/edit,"30,606 bytes; SHA 7f061dd7…4c22; outside qualification pending"
GP-DATA-060-v1.0,Adversarial harness reexecution against canonical 7f061dd7 source,OpenAI,DATA,P1,NC-F1; NC-F2; NC-F5; current source; self-tests,13/13 LEGACY PASS / 3/3 DEFECTS CONFIRMED,No canonical impact; same-line current-source execution,Tests exact current GP-DATA-054 source; feeds TR-P12-006,2026-07-21T19:00:00Z,https://docs.google.com/document/d/1rsrD5G-c_wESgxV-RB5JibpJM_FK1YrK3SepfQtO4jc/edit,Production remains fail-closed; outside review required
GP-DER-061-v1.0,Exact reconstruction candidate for the corrected six-pin pair-frame Jacobian,OpenAI,DER,EASY-CLOSURE,EC-014; divided difference; Jacobian; density; mutation; contact power,GP EXACT RECONSTRUCTION COMPLETE / TWO-LINE NON-GP REVIEW OPEN,No canonical impact; same-line closure candidate,File 4 equations 3.1–3.4; GP-REQ-057; EC-014,2026-07-21T19:20:00Z,https://docs.google.com/document/d/1LFs1OlJwHvPTjby9Vjfua3X9L3iQNey_gRu0crd0og8/edit,det=-r^-5 exact; no contact-limit or theorem claim
GP-COR-058-v1.0,Amendment Response to GP-AUD-056,OpenAI,COR,P1,GP-DATA-054-v1.1; endpoint certification; census matching; offset replay; nondegeneracy,AMENDMENT CLAIMED / 21 AUTHOR CONTROLS REPORTED / SOURCE PUBLICATION FAILED,No canonical impact; same-line amendment,Responds to GP-AUD-056; requires GP-AUD-063 publication repair and outside execution,2026-07-21T19:30:00Z,https://docs.google.com/document/d/1dPk0sZ14zLbkXxiTvbggVWtOmQRS7Fym3rk9oO-vv1Q/edit,Declared source f1371c…a10f not reconstructable from current Drive capsule
GP-AUD-059-v1.0,Amended Pairing Instrument 21-Control Receipt,OpenAI,AUD,P1,GP-DATA-054-v1.1; 21 controls; author receipt,PASS — 21/21 AUTHOR-SIDE / EXACT SOURCE AND OUTSIDE EXECUTION OPEN,No canonical impact; same-line author receipt,Executes claimed v1.1; audited by GP-AUD-063,2026-07-21T19:30:00Z,https://docs.google.com/document/d/125eYLOvqR9BWBfG7713Jg8dg8ugYBDIkldDiAhv_bOA/edit,Receipt readable; source bytes unavailable in Drive
GP-DATA-054-v1.1,Amended Byte-Exact Compressed Source Capsule,OpenAI,DATA,P1,source capsule; exact bytes; pairing amendment,FAILED PUBLICATION — EMPTY NATIVE DOC,No canonical impact; unusable source surface,Declared by GP-COR-058; source-publication audit GP-AUD-063,2026-07-21T19:30:00Z,https://docs.google.com/document/d/1NJaNSyoe63iizZS9bB2OK02Hz46p4bwzUW3_iVCEDbo/edit,Drive size 1; no readable payload; text export approximately 3 bytes
GP-AUD-063-v1.0,GP-DATA-054-v1.1 source-publication and reconstruction gate audit,OpenAI,AUD,P1,source publication; exact reconstruction; empty capsule; 21-control receipt,SOURCE-PUBLICATION GATE FAILED,No canonical impact; same-line publication audit,"Audits GP-DATA-054-v1.1, GP-COR-058, GP-AUD-059; feeds TR-P12-007 and HB-011",2026-07-21T19:30:00Z,https://docs.google.com/document/d/1tvskI0aup4X8Qt2v_v_C7M0C8L1W1ssYJiSbHRR4Uhg/edit,"Exact 51,213-byte source cannot be reconstructed from Drive"
CL-AUD-044-v1.0,Numerical reexecution of the GP-DER-047 degree-four capture certificate,CL / Anthropic,AUD-DATA,P0,P0.2; deterministic certificate; adversarial execution; trajectories,864/864 PASS; CORROBORATING ONLY,No canonical impact; not V1 or V3,Derives from GP-DER-047; informs TR-P02-002,2026-07-21T19:12:49Z,https://docs.google.com/document/d/1O72ptuojwXcy2K8tg3xNNnnthmIgBscpboliDY7Lnd4/edit,672 integrated trajectories; proof visible; zero counterexamples
CL-AUD-045-v1.0,P0.2 dependency object-identity crosswalk,CL / Anthropic,AUD,P0,P0.2; object identity; pair-Palm; branch convention,COMPLETE-WITH-RESIDUE E1/E2/E3,No canonical impact,Audits GP-DER-043 through GP-DER-047; informs GP-PROT-065,2026-07-21T19:26:42Z,https://docs.google.com/document/d/1mhNO8GXWqxeMnqFyE5xpyZvr_OdvGOmJ_EsDeUjnUxY/edit,No mismatch found among checked identities; E1 most important open edge
GP-RSP-064-v1.0,Active-line collaboration response and help exchange,GP / OpenAI,RSP-REQ,P0,P0.2; q-machine; pairing qualification; cross-model help,OPEN COLLABORATION RESPONSE,Coordination only; no promotion,"Responds to CL-PRP-043, CL-AUD-044, CL-AUD-045, GP-REQ-056",2026-07-21T19:33:00Z,https://docs.google.com/document/d/1ZCWSBKlUIqVZHdYgAa2cErD25KpJZa-Yj2GMn9OCBO4/edit,"Contains task claims, direct questions, asks for help, and offers GP support"
GP-PROT-065-v1.0,Frozen selected-branch and orientation convention for P0.2,GP / OpenAI,PROT,P0,P0.2; A_r; selected unstable branch; symmetry; conditioning,PROPOSED / REVIEW REQUESTED,Definition only; no theorem authority,Responds to CL-AUD-045 E2; cited by TR-P02-002,2026-07-21T19:36:00Z,https://docs.google.com/document/d/1C5CUvDYScSGk35yG-KThF5vLHQtt2itMC8Ks1oN155w/edit,Orientation e_u·(M-S)>0; outside verdict pending
GP-DATA-066-v1.0,Byte-exact compressed interval-certificate source capsule,GP / OpenAI,DATA,P0,P0.2; interval arithmetic; T-B; T-C; T-E; reproducibility,BYTE-EXACT DRIVE RECONSTRUCTION PASS,Instrument only; no theorem authority,Independent implementation of CL-AUD-044 frozen schedule,2026-07-21T19:47:38Z,https://docs.google.com/document/d/1LdAIHgPn3vdu6Qt_HltKE9qTa3YUadzN3Oq0mqvCDvs/edit,"21,279 source bytes; SHA-256 f2032c3f...; deterministic gzip capsule"
GP-AUD-067-v1.0,Outward-rounded interval certificate receipt for CL-AUD-044 T-B/T-C/T-E,GP / OpenAI,AUD-DATA,P0,P0.2; rigorous computation; continuous spatial boxes; negative controls,864/864 PASS; 4/4 NEGATIVE CONTROLS,Component evidence only; no promotion,Audits GP-DATA-066 and corroborates CL-AUD-044,2026-07-21T19:52:00Z,https://docs.google.com/document/d/1Apai--svQCtUp91c0uUyZFCQ-WiKehP0eBr3_x3RTS8/edit,Outside execution and CL object/sign adjudication requested
GP-CLS-BATCH-017-v1.0,Terminal closure of EC-005–008 and EC-010–012 after HA-006 and CL-AUD-036,OpenAI / Dylan / CL,CLS-BATCH,EASY-CLOSURE,seven exact closures; terminal records; provenance; conditional approval,TERMINAL — SEVEN OBJECTS CLOSED,Dylan conditional approval satisfied by CL-AUD-036; exact object scope only,HA-006; GP-REQ-065; CL-AUD-036; GP-CLS-PROP-006/007/008/009/013/014/015,2026-07-21T20:05:00Z,https://docs.google.com/document/d/1Zm65j9BZe__z3P_8qP7rfZukRU-IWUE8h8bDqXdDsIQ/edit,EC-013 and EC-014 unaffected; no theorem or machine promotion
GP-DATA-072-v1.0,Outward-rounded interval plus fixed-cone certificate source,OpenAI,DATA,P0,P0.2; T-B; T-C; T-D; T-E; interval; cone; frozen 864 schedule,EXECUTED — 864/864; 6/6 CONTROLS; OUTSIDE REVIEW OPEN,No canonical impact; same-line component instrument,Extends GP-DATA-066; implements GP-DER-047 Lemmas 7.1–7.3 on frozen schedule,2026-07-21T20:30:00Z,https://docs.google.com/document/d/11w7S4GicPZHBMKzIJWXiU24Z-Tx_i0m-9oFaf5Qvl_A/edit,Source SHA 3001577c…7e61; verified capsule is v1.2; failed v1.0/v1.1 staging preserved
GP-DATA-072-v1.2-CAPSULE,Verified Byte-Exact Compressed Interval+Cone Certificate Source Capsule,OpenAI,DATA-CAPSULE,P0,source publication; gzip; Base64; source identity; P0.2,PASS — FRESH DRIVE RECONSTRUCTION,Source identity only; no theorem authority,Publishes GP-DATA-072-v1.0; verified by GP-AUD-073,2026-07-21T20:30:00Z,https://docs.google.com/document/d/11w7S4GicPZHBMKzIJWXiU24Z-Tx_i0m-9oFaf5Qvl_A/edit,9532 Base64 chars -> 7149 gzip bytes -> 25099 source bytes
GP-AUD-073-v1.0,Exact Drive Reconstruction and T-D Cone Certificate Execution Receipt,OpenAI,AUD,P0,P0.2 V3; T-D; source reconstruction; 864 cases; negative controls,COMPONENT PASS — OUTSIDE REVIEW AND T-F OPEN,No canonical impact; same-line execution,Executes GP-DATA-072-v1.0 from verified v1.2 capsule; feeds TR-P02-010,2026-07-21T20:30:00Z,https://docs.google.com/document/d/1N74jANCHvbSLF1cMhFJv1XKFbCZVCFeXxV39finA744/edit,"864/864, 6/6 controls; T-F and theorem remain open"
CL-AUD-048-v1.0,"Independent finite-r reconstruction, effective-domain finding, and strip cross-check",Claude / CL,AUD/DATA,P0,six-pin reconstruction; confluent frame; REG domain; fixed-mu strip,PASS DISPLAYED-PRECISION / EXACT-TORUS RESIDUES OPEN,No canonical impact; independent CL route,Replaces empty GP-AUD-039 for displayed-precision reproduction; supported by GP-RSP-077,2026-07-21T20:35:00Z,https://docs.google.com/document/d/1YGCUmOyPId5SoGpHiT-Yqdjse6SnYd2IQhCOcXSxeM0/edit,"Exact-torus implementation, mutation, and different-line audit remain"
CL-AUD-049-v1.0,Derivation-blind reconstruction of GP-DER-047 deterministic certificate,Claude / CL,AUD,P0,P0.2 V1; blind derivation; deterministic inequalities; composition,V1 DISCHARGED WITH LINEAGE CAVEAT,No canonical impact; independent proof-route review,Discharges CL-PRP-043 V1; supported by GP-RSP-077,2026-07-21T20:35:00Z,https://docs.google.com/document/d/1fzL4HgJDsawb6ew66XpOCfJGnnxw6TFTom7BM3H8OnI/edit,Definitions inherited through CL harness; AO48 strengthening optional
GP-RSP-077-v1.0,Support and Scope Adjudication for CL-AUD-048 and CL-AUD-049,OpenAI,RSP/REG,P0,V1; six-pin replacement support; effective domain; event constants,ACTIVE BINDING SCOPE RESPONSE,No canonical impact; gate-state adjudication,Supports CL-AUD-048 replacement role and CL-AUD-049 V1 discharge,2026-07-21T20:35:00Z,https://docs.google.com/document/d/1tqT10nPtE61UfzypzthTazEOz53CYvJwG9Gl_yWAFQY/edit,P0.2 remains open; no promotion
CL-DER-051-v1.0,Independent reconstruction of corrected six-pin pair frame,Claude / CL,DER,EASY-CLOSURE,EC-014; T_r; determinant; density; mutation; power ledger,GATES 1–4 PASS / GATE 5 OPEN,No canonical impact; independent non-GP reconstruction,Responds to GP-REQ-057; advances EC-014,2026-07-21T20:40:00Z,https://docs.google.com/document/d/1473ziDIe6j0Lf-mq-i68WWNWNqvJRU42Gfq6rNdTImY/edit,Exact Fraction arithmetic; two planted mutations; scope exclusions stated
GP-REQ-078-v1.0,EC-014 Final Different-Line Scope Inspection,OpenAI,REQ,EASY-CLOSURE,EC-014; final scope; AO48; CW/C047R,OPEN — ONE RESPONSE REQUIRED,No canonical impact; routing only,Follows CL-DER-051; gate 5 of GP-REQ-057,2026-07-21T20:40:00Z,https://docs.google.com/document/d/1pWlZ9uO4kGc_OI6wHih5bOROaMvK0xz17ANQP5aNsto/edit,Explicit APPROVE/AMEND/REJECT/CANNOT VERIFY required
GP-NAV-076-v1.0,"P0.2 Gate State after V1 Discharge, T-D Pass, and Effective-Domain Correction",OpenAI,NAV,P0,P0.2; V1–V5; effective domain; T-D; six-pin; next tasks,CURRENT NAVIGATION CARD,Navigation only; no canonical impact,Supersedes GP-NAV-070/072 for current routing only,2026-07-21T20:40:00Z,https://docs.google.com/document/d/1Zz02tvMunEfa5L-6d-PJOfVKT1GHQqSZsbvvGfunTl4/edit,V1 discharged; V3 partial; P0.2 open
GP-PRP-078-v1.0,Separate Practical-r Capture Program Using Nonvacuous Strip and Transit Events,GP / OpenAI,PRP,P0,PRCP; finite-r; optimized strip; exact transit; local capture; noncontamination,OPEN PROPOSAL,No theorem authority; separate from GP-DER-047,Motivated by CL-AUD-048/049 and GP-AUD-074,2026-07-21T20:33:00Z,https://docs.google.com/document/d/192SViQ4V39u_5jmZLa8PgXhTxZR5wXy0Rp3H4BVJ4n4/edit,Creates S_r/T_r/H_r finite-r research object and cross-model task split
GP-REG-079-v1.0,"Reviewer-Neutral Practical-r Event Card for S_r, T_r, H_r, and A_r",GP / OpenAI,REG,P0,PRCP; event identity; C_mu optimizer; branch entry; exact capture; adjacency,PROPOSED / REVIEW OPEN,Definition only; no conclusion embedded,"Implements GP-PRP-078 object definitions; cites GP-DER-037, GP-AUD-042, GP-PROT-065",2026-07-21T20:40:00Z,https://docs.google.com/document/d/1YZj47Wq4keidgOUzWvZNgrBhKx0nhRfatorLw_wZ6VA/edit,Neutral packet for CL/AO48/CW claims and adversarial review
GP-DATA-080-v1.0,Fail-Closed Practical-r Replay Receipt Schema and Negative-Control Contract,GP / OpenAI,DATA-SCHEMA,P0,PRCP; exact-law replay; failure taxonomy; denominator; negative controls; source hashes,PROPOSED / IMPLEMENTATION-NEUTRAL,No mathematical authority; claim-grade contract only,Companion to GP-REG-079 and GP-PRP-078,2026-07-21T20:40:00Z,https://docs.google.com/document/d/1KDrT10FFd60djsFjL_dgNIe4VhgF5Nlba9wm_1X7NYc/edit,"Mandatory per-draw fields, 12 controls, denominator and sensitivity rules"
GP-NAV-081-v1.0,"Current P0.2 and Practical-r Gate State after V1, V2, T-D, and PRCP Separation",GP / OpenAI,NAV,P0,P0.2; current gates; V1; V2; V3; V4; PRCP; help exchange,ACTIVE NAVIGATION,Navigation only; no promotion,Supersedes GP-NAV-076 for current routing only,2026-07-21T20:42:00Z,https://docs.google.com/document/d/1OUUCwJdv7r3WugPeZsnnC1kzgjkUlrkZYdhoh_I4Qi4/edit,"Read-first summary of completed components, open gates, assignments, and identifier corrections"
GP-DER-095-v1.0,Margin-Specific Exact-Field Transfer Budget for the PRCP Interior Fixture,OpenAI,DER/PRE,P0,PRCP; exact_field; C1_transfer; eigendirection; cone; strip; capture,COMPONENT PASS / EXACT-FIELD MEMBERSHIP OPEN,NONE,GP-DER-092; GP-DER-045; CW-AUD-018; GP-DATA-096; GP-AUD-097,2026-07-21T22:55:00Z,https://docs.google.com/document/d/1odklttrcbTsou9nDSZ162xX07Kh70yVHUhRdhbiye5w/edit,Sufficient budget only; no exact field shown to satisfy it.
GP-DATA-096-v1.0,PRCP Exact-Field Transfer Budget Source and Receipt,OpenAI,DATA,P0,source; receipt; transfer_budget; negative_controls,BYTE-EXACT SOURCE VERIFIED,NONE,GP-DER-095; GP-AUD-097,2026-07-21T22:55:00Z,https://drive.google.com/file/d/1N7sUEwm_44VFDHjquppFR2PzlH_NRKXo/view,"8,472 bytes; SHA d5041e73...; receipt ID 1jhqCO7... ."
GP-AUD-097-v1.0,Drive Reconstruction and Control Receipt for the PRCP Exact-Field Transfer Budget,OpenAI,AUD/DATA,P0,source_identity; execution; controls; exact_field_gate,GP-SIDE PASS / OUTSIDE REVIEW OPEN,NONE,GP-DER-095; GP-DATA-096,2026-07-21T22:55:00Z,https://docs.google.com/document/d/1lCY5IZWz40Fao1GhS9SwmYYjOVJvP_HbcWu4QfYr0As/edit,"Fresh Drive download, exact rerun, 5/5 controls."
GP-DATA-098-v1.0,Prefilled Unresolved Exact-Field Transfer Receipt,OpenAI,DATA,P0,schema_prefill; exact_field; unresolved; source_identity; PRCP,BYTE-EXACT PREFILL / UNRESOLVED TRANSFER,NONE,GP-SCHEMA-095; GP-DER-095; GP-DATA-093; GP-DATA-096; GP-AUD-099,2026-07-21T23:10:00Z,https://drive.google.com/file/d/149DFZaa2ePsWHep1fonWQRr2eOUug5Pb/view,"8,831 bytes; SHA 4913ee66...; final status unresolved."
GP-AUD-099-v1.0,Validation of the Prefilled Unresolved Exact-Field Transfer Receipt,OpenAI,AUD/DATA,P0,schema_reconciliation; source_identity; fail_closed; prefill,PREFILL VALIDATED / EXACT-FIELD OPEN,NONE,GP-DATA-098; GP-SCHEMA-095; GP-DER-095,2026-07-21T23:10:00Z,https://docs.google.com/document/d/1UyykYTzyWLdo9GYAB2r5HAvBr5yQ3M8CiE9OGlSzEPk/edit,Correct failure is EXACT_FIELD_SOURCE_MISSING.
CL-AUD-057-v1.0,Independent Tool-Chain-Disjoint Verification of Eight Easy-Closure Objects,Claude,AUD,CLOSED,EC-005; EC-006; EC-007; EC-008; EC-010; EC-011; EC-012; EC-013,POST-CLOSURE CORROBORATION,NONE,GP-CLS-BATCH-017; CL-CLS-055; CL-AUD-036,2026-07-21T23:05:00Z,https://docs.google.com/document/d/129uRuqzwSLmTCQAldKPoM0ARzzf8yIQAlkmZMKivRTg/edit,Confirms narrow objects; no terminal status change.
