artifact_id,file_name,bytes,sha256,drive_id,provenance,status
V34-REQ,requirements.txt,55,3b65434e2f6b279803cd2297d8f619130f3daee4e4ac9c5346063289137d7fc3,1JxMjgmujBw9RN84ZNIoB47YIZendSgR1,recovered_exact,REPLAY_ENVIRONMENT
V34-HYBRID,verify_hybrid_mixed_curvature_and_axis_absorption.py,31533,0ba99085cf5b1655deb95859a63f02478057491fe1d394124d853e93bea8c481,1VPYlprjcWgNmoIMiVaTL5sa6wUirseVr,recovered_exact,202_PASS
V34-FACEWISE,verify_facewise_collar_axis_integration.py,19538,bb4fdb739636e504d2c2eeafd8d8582dbf1dba12225bca88788927b049d58e5f,1a67DJHnF8NKPxDdhdKvIDpOHi0FWCeQR,recovered_exact,62_PASS
V34-DIAGNOSE,diagnose_side24_generic_collar.py,6551,abc5b8cd3f03c251a8bf47115a9d0097ef03ae62dd65debcb23082ba973176c0,1iiyLpIDkYR0YDiwv9vGRVQ-Rel8uh0sD,recovered_exact,ALL_CHECKS_PASS
V34-RUNNER,run_v3_checks.py,2875,b803f53c79ee2d2152c321c73cb8819ca8d4fb5b711b480999fabb18a23a0d7a,1wqZ24aSt0yb0ILytQoQeDc1vsAcEMEGb,recovered_exact,LANDED
V34-3HESSIAN,three_hessian_conditional_moment_envelope.md,12145,f19132b47dd58339d632ffe8ef5c9466dbcf9b353b406a31e22d3e35b5e5d0fb,1y0ZFl-S4BU7ZmBg7gDBy7ts3J7oJDduu,recovered_exact,LANDED
V34-QUARTIC-NOTE,quartic_remainder_audit_note.md,5830,e344ccec3945ecd1c931e7e84eb25ef2fe2a0c9b41f5768eb03619400b2b38db,17pL94ArcdpMGm89kwSGui9DnJWnlH41l,recovered_exact,LANDED
V34-QUARTIC-VERIFY,verify_quartic_endpoint_counterexample.py,13329,461959368dfc7759c78ee105e4b82ff97659ddfc3a28837bbf7e8092da2f39d9,1EzOG80ErsPf785utTcBq7x_DIp_ZSPV1,recovered_exact,96_PASS
RECOVERY-ARCHIVE,SIDE24_G9_R2_RECOVERY_AND_RECONSTRUCTION_2026-08-01.zip,22269093,5393ec94ae6a05c31cc2fd22d45ff7667f9286c9f6b100c4425409786c7d1f58,18PdDtAiB0mUK2tIM4UjhlxcU5XJHNRWF,recovered_archive_copy,RAW_DRIVE_HASH_VERIFIED
SIDE24-R2,SIDE24_EXACT_R2.zip,2615005,14eaf7d403cd8c103576807719e8ee031cad1fc5bba58f1c37574a790849e44b,1djAbU8_Tg5a4TUsyK_7BuGTnDd7KWzt8,recovered_exact,68_OF_68_INTERNAL_LEDGER
SIDE24-V5-SUPPLEMENT,SIDE24_GAP_FILL_SUPPLEMENT.md,105980,05967f14a8b8d6a9e2637210807872ba4f30810987cb7f3017e10b186d07f6da,1D5eRshQWyiugIrIikBUhItasLyiyV1FX,recovered_exact,HISTORICAL
G9.1-RECON-NOTE,G9_1_CORRECTED_RECONSTRUCTION.md,5517,46b6af0ce9c673f5263553202af721fa1610728240c404f93da35bf009ec9c3a,1mdJ7EP1nCjhi86htN-exTaRnfO9DsjOZ,reconstructed_not_original,26_OF_26_PASS
G9.1-RECON-VERIFY,verify_g9_1_reconstruction.py,8563,eb561bad4a35bd94ab5e3cb1e31e1462df3b94704873f9534e35544337123f85,1Wo71xFuJJbFdRu8VqL2HKwAA_tyUlex5,reconstructed_fail_closed,NORMAL_AND_O_PASS
G9.1-RECON-OUT,verify_g9_1_reconstruction.out.txt,1199,db2afa12f28e64e0e22e34bfad69e387be4469e7474266083f9fbd492d6692e8,1ym4WntDNdXqy8kapX4WwTKmFVY1TTPgD,fresh_transcript,BYTE_IDENTICAL
G9.2-RECON-NOTE,G9_2_PERIODIZED_TRANSFER_RECONSTRUCTION_2026-08-02.md,8053,0ba4f5030ab2e185118b1d624ec9ec62a7219ce2b27f19f993bcfbb2d833440d,10_ibWW4GNuRoHZ5VjD_po0Qfwo3Wdwmy,reconstructed_not_original,SCOPE_LIMITED
G9.2-RECON-VERIFY,verify_g9_2_periodized_transfer_reconstruction.py,15148,18824c3ce8f3edb9f0c0ef051413c04ae9853d2649eaefd986c845d563aa36a9,1TDT-YiosXVqW76vzE76NgCbC1H6QO7q4,reconstructed_fail_closed,59_OF_59_NORMAL_AND_O
G9.2-RECON-OUT,verify_g9_2_periodized_transfer_reconstruction.out.txt,4076,0ab9e14c938db8ec9795f202345f678527f5bb5b60cee3e9fed523e8816affbb,1bY90vvrQeV5GJIcrtNBaXEqESnBwRRYL,fresh_transcript,BYTE_IDENTICAL_NORMAL_AND_O
G9.2-RECON-O-OUT,verify_g9_2_periodized_transfer_reconstruction.O.out.txt,4076,0ab9e14c938db8ec9795f202345f678527f5bb5b60cee3e9fed523e8816affbb,1YuCvvwioI3fM5FsP4m9mPwKdayP_o8rI,fresh_optimized_transcript,BYTE_IDENTICAL_NORMAL_AND_O
G9.2-RECON-SUMS,SHA256SUMS,480,ba89afd892b78328d38c90da2445e6bb2c95944e7f0fd584a7bd11e82ce17043,1mycditMZRgPM7euEgjzQ5y0Jpi61WxRJ,reconstruction_checksum_ledger,ALL_OK
AXIAL-D7-NOTE,AXIAL_D7_MECHANISM_2026-08-02.md,6613,6d634ae6ffbada87d37c185d04daaef46be31670e471b2ca5c13aeca77c34527,1oWZXyITjccf5f3k2s4IaP0OrJV9fikAJ,blind_derivation,LOCAL_RESULT
AXIAL-D7-VERIFY,verify_axial_d7_mechanism.py,8389,95e2b60fd5dda09b8cadc2e5093282f4f90897db59d26007f390e0e01280f234,190rc-iKf1UzwI0r1gjwnX-VRdNLm4I_0,blind_fail_closed,PASS_NORMAL_AND_O
AXIAL-D7-OUT,verify_axial_d7_mechanism.out.txt,1482,eb9fb668154e99cab004bd07df27ab9cb2acda4d8d02824856c76018ab9d70aa,1bp1Z0nf0LpgMC2z68G-AsY3r2tPfiWpy,blind_transcript,BYTE_IDENTICAL_NORMAL_AND_O
AXIAL-SUPPRESS-NOTE,AXIAL_SUPPRESSION_CONE_2026-08-02.md,5316,333f2e5193aef79ff83bc815e08d2fdce8a3e6f68854697432e261c144f9ac3d,1fx0P1TO-Uksm_0c-G43q8cuq6wnPPUYS,blind_derivation,LOCAL_PUNCTURED_CONE_ONLY
AXIAL-SUPPRESS-VERIFY,verify_axial_suppression_cone.py,4866,8f8acf80d36c40c07071f712d4663d5f6f25dfba5f45409a433f95a282e66a6a,1-hi3bfKNY3qqBb-bKjcuvSn9KlUaRvvq,blind_fail_closed,PASS_NORMAL_AND_O
AXIAL-SUPPRESS-OUT,verify_axial_suppression_cone.out.txt,1207,489025ee37cf8e07a813da512c94a836e924a62b76a15d2d8c64dc1cc98a40a1,1B0TMSCNodTcc7morCzSR2dBXU4Uc1D0V,blind_transcript,BYTE_IDENTICAL_NORMAL_AND_O
BLIND-RUN,VERIFICATION_RUN_2026-08-02.md,1140,91a5691b2aa36f79a4c29f9b197ffafeb9bdb1ae33b8c7bcd75736e239427774,1XlDtWrxsXWKBlX_vaHPGxxmk27DJ3dTC,blind_run_receipt,42_CHECKS_TOTAL
BLIND-REQ,requirements.txt,29,7243ca57bf6312315d3dbfab7347ddac76103c01f8eae6a29f84c616f550c27b,1Qs21kTn799AjqtY9lGTccwCzz9BqOyW9,blind_environment,REPLAY_PIN
BLIND-SUMS,SHA256SUMS,780,47d4b4528df27b7042b8511292372a169a9041af492aac43ba52b6af2e506c77,1DabzV5FpF6v_fxZyi232hQcyRnlN5Gp9,blind_checksum_ledger,ALL_OK
MISSING-RUN-15,run_15,0,UNRECOVERED,NONE,negative_provenance,ORIGINAL_NOT_FOUND
MISSING-RUN-16,run_16,0,UNRECOVERED,NONE,negative_provenance,ORIGINAL_NOT_FOUND
MISSING-RUN-17,run_17,0,UNRECOVERED,NONE,negative_provenance,ORIGINAL_NOT_FOUND
MISSING-R2.5-ADDENDUM,R2.5_addendum,0,UNRECOVERED,NONE,negative_provenance,ORIGINAL_NOT_FOUND
MISSING-G9.2-ORIGINAL,G9.2_original_carrier,0,UNRECOVERED,NONE,negative_provenance,RECONSTRUCTION_AVAILABLE
MISSING-G9.2-ORIGINAL-VERIFY,verify_g9_periodized_transfer_v1.py,0,UNRECOVERED,NONE,negative_provenance,RECONSTRUCTION_AVAILABLE
