Type,Source or block,Original link,Readable copies,Details,SHA-256
READ_FAILED,SIDE24_AUDIT_EVIDENCE_2026-08-01.zip,https://drive.google.com/file/d/19GhKdHaQGdQin_HxMTUh-Z6qM9rUF9xV/view?usp=drivesdk,"https://docs.google.com/document/d/1bivh5BWHk_wvOd8IEGyQzAq2XtTiLai1D-r5viqnCtw/edit?usp=drivesdk
https://docs.google.com/document/d/1pYIdeCyVnxjZIpaBknSON6a-1c06iuTy8jXybgLBZb4/edit?usp=drivesdk
https://docs.google.com/document/d/1bavlks_8e0yRMUc20P1L_WbDWje9dR_RG4JhlpUcNX4/edit?usp=drivesdk
https://docs.google.com/document/d/1we611GFhAUX0pbieszkhm523YKf1Be_juPK4Zw158no/edit?usp=drivesdk
https://docs.google.com/document/d/17sBDGAEoBKltKpcH96zf_e3WafJVFmYoB2Wkop3f4kw/edit?usp=drivesdk
https://docs.google.com/document/d/1oQYF8ZEhEE6UppPsC9gojpxIvxSOtTPTeQcRLUp1pXY/edit?usp=drivesdk
https://docs.google.com/document/d/1hl4C9pPyittYbido24JeBvEfTCrf0oy6mNm1BSwSaVU/edit?usp=drivesdk
https://docs.google.com/document/d/1dsjOERBMD4NLpUV2rzO0pytyptK-W32gQ3GuorRNw7o/edit?usp=drivesdk
https://docs.google.com/document/d/1FZZIKB0Kggoas_kr_tUSn7qP56qqnBBKHvdm9pH1YYI/edit?usp=drivesdk
https://docs.google.com/document/d/1XjCiIYfdWW0GdroHK9sz5T2IOkNoiXNMlTeiEYNgTOk/edit?usp=drivesdk
https://docs.google.com/document/d/1E1JdWte8S29trQSxcdf15Qa3Zej9Q84cxmbMrwKkobQ/edit?usp=drivesdk
https://docs.google.com/document/d/170awt4ng_cfsjU5bNiB0kyZCKWbQ8eJ25ri8EaLu4Ic/edit?usp=drivesdk",Bad magic number for file header,
READ_FAILED,SIDE24_AUDIT_EVIDENCE_2026-08-01.zip,https://drive.google.com/file/d/19GhKdHaQGdQin_HxMTUh-Z6qM9rUF9xV/view?usp=drivesdk,"https://docs.google.com/document/d/1bivh5BWHk_wvOd8IEGyQzAq2XtTiLai1D-r5viqnCtw/edit?usp=drivesdk
https://docs.google.com/document/d/1pYIdeCyVnxjZIpaBknSON6a-1c06iuTy8jXybgLBZb4/edit?usp=drivesdk
https://docs.google.com/document/d/1bavlks_8e0yRMUc20P1L_WbDWje9dR_RG4JhlpUcNX4/edit?usp=drivesdk
https://docs.google.com/document/d/1we611GFhAUX0pbieszkhm523YKf1Be_juPK4Zw158no/edit?usp=drivesdk
https://docs.google.com/document/d/17sBDGAEoBKltKpcH96zf_e3WafJVFmYoB2Wkop3f4kw/edit?usp=drivesdk
https://docs.google.com/document/d/1oQYF8ZEhEE6UppPsC9gojpxIvxSOtTPTeQcRLUp1pXY/edit?usp=drivesdk
https://docs.google.com/document/d/1hl4C9pPyittYbido24JeBvEfTCrf0oy6mNm1BSwSaVU/edit?usp=drivesdk
https://docs.google.com/document/d/1dsjOERBMD4NLpUV2rzO0pytyptK-W32gQ3GuorRNw7o/edit?usp=drivesdk
https://docs.google.com/document/d/1FZZIKB0Kggoas_kr_tUSn7qP56qqnBBKHvdm9pH1YYI/edit?usp=drivesdk
https://docs.google.com/document/d/1XjCiIYfdWW0GdroHK9sz5T2IOkNoiXNMlTeiEYNgTOk/edit?usp=drivesdk
https://docs.google.com/document/d/1E1JdWte8S29trQSxcdf15Qa3Zej9Q84cxmbMrwKkobQ/edit?usp=drivesdk
https://docs.google.com/document/d/170awt4ng_cfsjU5bNiB0kyZCKWbQ8eJ25ri8EaLu4Ic/edit?usp=drivesdk",Bad magic number for file header,
READ_FAILED,SIDE24_AUDIT_EVIDENCE_2026-08-01.zip,https://drive.google.com/file/d/19GhKdHaQGdQin_HxMTUh-Z6qM9rUF9xV/view?usp=drivesdk,"https://docs.google.com/document/d/1bivh5BWHk_wvOd8IEGyQzAq2XtTiLai1D-r5viqnCtw/edit?usp=drivesdk
https://docs.google.com/document/d/1pYIdeCyVnxjZIpaBknSON6a-1c06iuTy8jXybgLBZb4/edit?usp=drivesdk
https://docs.google.com/document/d/1bavlks_8e0yRMUc20P1L_WbDWje9dR_RG4JhlpUcNX4/edit?usp=drivesdk
https://docs.google.com/document/d/1we611GFhAUX0pbieszkhm523YKf1Be_juPK4Zw158no/edit?usp=drivesdk
https://docs.google.com/document/d/17sBDGAEoBKltKpcH96zf_e3WafJVFmYoB2Wkop3f4kw/edit?usp=drivesdk
https://docs.google.com/document/d/1oQYF8ZEhEE6UppPsC9gojpxIvxSOtTPTeQcRLUp1pXY/edit?usp=drivesdk
https://docs.google.com/document/d/1hl4C9pPyittYbido24JeBvEfTCrf0oy6mNm1BSwSaVU/edit?usp=drivesdk
https://docs.google.com/document/d/1dsjOERBMD4NLpUV2rzO0pytyptK-W32gQ3GuorRNw7o/edit?usp=drivesdk
https://docs.google.com/document/d/1FZZIKB0Kggoas_kr_tUSn7qP56qqnBBKHvdm9pH1YYI/edit?usp=drivesdk
https://docs.google.com/document/d/1XjCiIYfdWW0GdroHK9sz5T2IOkNoiXNMlTeiEYNgTOk/edit?usp=drivesdk
https://docs.google.com/document/d/1E1JdWte8S29trQSxcdf15Qa3Zej9Q84cxmbMrwKkobQ/edit?usp=drivesdk
https://docs.google.com/document/d/170awt4ng_cfsjU5bNiB0kyZCKWbQ8eJ25ri8EaLu4Ic/edit?usp=drivesdk",Error -3 while decompressing data: invalid distances set,
BINARY_UNRENDERED,HISTORICAL_FAILED_UPLOAD — S2-DATA-002 result ZIP mislabeled as application-json,,,Original retained. No text representation claimed.,d89ea02f14bc5109d2f3e604e0639fd1ffd9cc6c6e337c00fa59ef36aee0643d
ARCHIVE_READ_FAILURE,"CL-DATA-246-v1.0 RAW — cl_der_239_verify.py.gz — verification harness for CL-DER-239 (frame-free conditional-mean bound) — gunzip yields 10636 B, raw sha256 54f2e9ab11739dcfc9eed965efed6346471aba89b1210270d4be465d98bdb336 (gzip 4511 B sha256 a01f0ec041f58892ef0d4071ddd3f44b21867e23d36e461566d1320b18ee7af4) — frozen 2026-07-25T22:27:24Z — extraction rule: base64-decode the upload, gunzip, no further normalization; the raw bytes ARE the artifact",https://drive.google.com/file/d/1O9bnQyIGVPaV-64cDkCnRcGT4JPfegIc/view?usp=drivesdk,,Error -3 while decompressing data: invalid literal/lengths set,1496e85b700967f82643c3c32ab2453b95a4657124234cf1fc66226084e39e48
ARCHIVE_READ_FAILURE,"CL-DATA-251-v1.0 RAW — cl_dq001_verifier.py.gz — DQ-001 independent exact-rational verifier source — gunzip yields 46563 B, raw sha256 80a41a09cd8afc22167ee0deb37447b2b0fd74c553b1c12f18a7d705ff0d4df9 (gzip 14943 B sha256 0fb9801c424145c5bcd52da552b667e1c0a1bea6a663b96aae779493d52685da) — frozen 2026-07-25T22:00:16Z — RENUMBERED from the mislabelled upload id 1nYmPzBVTmf_gq18R-KFU9Z_SfXOLoXfM (index 234 was concurrently taken by CL-AUD-234 DQ-006); byte-identical, hashes unchanged",https://drive.google.com/file/d/16cpohKeoTe_fznXDEoYxl6w6KIAwVOg1/view?usp=drivesdk,,CRC check failed 0xedf56296 != 0x163795f5,71a1ad93889b9f360d2f237c4926351a779acec29f183ac5bde6d061e0f2b9e1
ARCHIVE_READ_FAILURE,"CL-AUD-084 RAW — cl_result.json.gz (v1.0 result, REPLACES the corrupt 5814-byte plain-json upload id 1YPCGXTgn1r1OSeb33bhEUHNVpgD8XJwq, which is VOID — transport error) — gunzip yields 5815B, raw sha256 1fa61b5196cd76d273cb30fa60daab34fb66ab784ce4f9db2991e82011a5b6bc (gzip 1915B sha256 18bcf3be733922eea919805db518a4e760ce95fdd65c29282e2ce65a8d8d8353)",https://drive.google.com/file/d/1vcQ8sc95ZiWv3OxEN3xBEe5Bkd_xYa8S/view?usp=drivesdk,,Error -3 while decompressing data: invalid distance too far back,21770f66277a5beee738a8b313edcf328c2cbd6825dc14e72720eb7bf2f874c9
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V2_CHUNK_1: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V2_CHUNK_2: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V2_CHUNK_3: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V2_CHUNK_4: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V3_CHUNK_1A: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V3_CHUNK_1B: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V3_CHUNK_1C: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V3_CHUNK_1D: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V4_CHUNK_1D_A: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,LS-DATA-009-v1.1 — Corrected Explicit Normalizer Upper Certificate Result Receipt,https://docs.google.com/document/d/11Iw2Y9oKFbmACk_u4EiLZ-jnJlef5yr0hlMr3JgEae4/edit?usp=drivesdk,https://docs.google.com/document/d/1ysQF8H7aHueyqnwW7LfR-6e2BdxrOwfR3HgZL8P_rSg/edit?usp=drivesdk,BEGIN_FULL_RESULT_BASE64_V4_CHUNK_1D_B: Only base64 data is allowed,
ENCODED_BLOCK_FAILURE,MALFORMED PAYLOAD — LS-DATA-015-v1.0 TB-G2 Algebra Capsule — DO NOT USE,https://docs.google.com/document/d/1jCJcC_dCgNSi6oYJOR9IGI5r49a2aa-qKZLvOInxRRI/edit?usp=drivesdk,,BEGIN_GZIP_BASE64_FILE_1: Excess padding not allowed,
ENCODED_BLOCK_FAILURE,MALFORMED PAYLOAD — LS-DATA-015-v1.0 TB-G2 Algebra Capsule — DO NOT USE,https://docs.google.com/document/d/1jCJcC_dCgNSi6oYJOR9IGI5r49a2aa-qKZLvOInxRRI/edit?usp=drivesdk,,BEGIN_GZIP_BASE64_FILE_2: Incorrect padding,
ENCODED_BLOCK_FAILURE,GP-DATA-114-v1.0 — Byte-Exact Capsule for the Uniform-r Fixed-q Degree-Four Corridor Box,https://docs.google.com/document/d/18auUSnBQ5273Scv-hvjx7zc6-TxQC2078EtkID27eRw/edit?usp=drivesdk,https://docs.google.com/document/d/1RaTFvjw_IcIESI7tEe5_lRiiP16fMTeytcTO9IP0Kbg/edit?usp=drivesdk,BEGIN_SOURCE_GZIP_BASE64: Error -3 while decompressing data: invalid code lengths set,
ENCODED_BLOCK_FAILURE,CL-AUD-084-v1.0 — Blinded Source-Independent EC-019 T2 Clean-Room Verdict — T2 PASS (19/19 margins rigorously positive; 5/5 controls executed and fire; 9/9 zero-radius mutations rejected; hashes frozen pre-comparison; byte-exact source capsule embedded),https://docs.google.com/document/d/1fPcQVK8ELz3uSbbJG6RyJtiexLNo_9waTgZgDWiX-R8/edit?usp=drivesdk,,BEGIN_RESULT_GZIP_BASE64: Error -3 while decompressing data: invalid distance too far back,
ENCODED_BLOCK_FAILURE,MALFORMED PAYLOAD — manifest.json — TRC-EC020-v0.1 — BASE64 DECODE FAIL — DO NOT USE,https://docs.google.com/document/d/1WZCCDl5Zg2VnACD_ObC11MY2x9gbm0yVcry0Z4mVXvc/edit?usp=drivesdk,,BEGIN_MANIFEST_BASE64: Invalid base64-encoded string: number of data characters (20849) cannot be 1 more than a multiple of 4,
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W6_uniform_r/__pycache__/w6_analysis.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,bb36f7540745e64a35f1439c3135ad4b90bdcc59ed14a827230c69a27c25cefa
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W6_uniform_r/__pycache__/w6_cs.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,ce43d0445f07c1c24506f1a922b98f0fefbdcc4ca5f27c65cbd346a17406a479
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W6_uniform_r/__pycache__/w6_fullzone.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,134a4e059f8fdd2dc349b71c6997a7eda27035fbd0d6c4e0cc674de11895c8a6
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W6_uniform_r/__pycache__/w6_kernel.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,9467abc03c117d4a10cc4789ada808c52bdd464a3505220b05953bb73123688b
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W6_uniform_r/__pycache__/w6_rho.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,47fc6d977d079589cb7d0f17c8bda620be1871797454e6ad633db5ce69809b79
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W6_uniform_r/__pycache__/w6_rhofast.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,5e9e2479c1497736c3885857651d94b01bb6f41a100f0706868bb6d4316a3933
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W6_uniform_r/__pycache__/w6_zone.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,53014fd3895e2124585c0f5e31e99cd9bb739ef74cafb3474856a06e628c53f9
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W3_numerics/__pycache__/w3_cert.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,0b0dfbfce9a5fd092b59459f683b57049fce8cf948db650b78760331760604af
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W3_numerics/__pycache__/w3_cert.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,01dfe4e59c43bdc1945fe5f6949fd6923f8c8153d250024a737f7c9a9111ea14
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W3_numerics/__pycache__/w3_lower.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,6492c67a6feb422ed99dcc5bb7cb9461ebdaa7dc39574b43f71d833bbc6e3527
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W3_numerics/__pycache__/w3_proto.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,685440d4080732959b651a872ed5b96b383cfa574c73ed3ebdf4353f36a35b73
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W3_numerics/__pycache__/w3_scan.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,bb9adc5a6a14b57dd52af5b07a541e40a5795518f6614fc229509f944ae138eb
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W3_numerics/__pycache__/w3_taylor.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,1e8f9fb5be91901f154e6c9092f86a81491058e1c28e858afce52a4077f45e03
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/W3_numerics/__pycache__/w3_tm.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,da0d86de8e1d0eb5619f73edd897ce3a109e5c43a73ca5f89e260a88014ea108
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/STAGE_E/mut_H5/__pycache__/h5_kernel.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,bcd8869a5f3631a661bf4efca71b374e05f786a70734ae4d6ec06104c66f0af1
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/STAGE_E/mut_H5/__pycache__/h5_merge.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,5cc67d37aee7aeae5c04c64667a4c0ea3ebbcda1f46ef23d2575c2f21244805a
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/H5_closure/__pycache__/h5_kernel.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,b4f086f7ad5de55093e6c0cb1d14d870fcae394b19a0ee2701702c96729ca2df
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/H5_closure/__pycache__/h5_merge.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,518bed6c442f24ffd16fe1b4dd97e578ed3605835937618b0e18958b8eda8119
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/H5_closure/__pycache__/h5_run.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,90e677da1bce0d1396e2651368226b7cec57ab63d30a2e5dc57aa27a837a965b
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/H5_closure/__pycache__/h5_run_r0p0125.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,db18328372df9b128b17269d17974c1fdddc6540217e9b413f8123f29850f8af
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/H5_closure/__pycache__/h5_run_r0p0177.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,fed08069f8cb49e6490662c4553c5345dcafb9a7a6ffc877bfd62a54e5f0d156
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/H5_closure/__pycache__/h5_run_r0p025.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,9048d12fd95411915b99034c9351edbad68d7c2b9ca8f716a38b9e3013f0a6fe
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/H5_closure/__pycache__/h5_run_r0p035355.cpython-312.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,662e48aba555d9a817174105b0a13142f68819cbfbcc0fdc20307c91cd0baed2
COMPILED_CACHE_RETAINED,K3_SIDE24_LB/UPPER2D/H4_closure/__pycache__/h4_probes.cpython-312.opt-1.pyc,,,Python bytecode cache. Source scripts are separately indexed; archive retained.,05ef980c1371579e0aa27310e5a8ee35d02e16260745483eadd371551b7e7de4
