artifact,kind,bytes,sha256,drive_id,parent_or_surface,status,notes
LS-DER-027_native_text_export.txt,raw_export,16153,f9234a32aa01153e6e94da2b1e8f956edabcf3da9a4ec9ab9de8b6bfabf29823,1DBWFaider9aYe30vyKf2HtC3KungYg9G,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,full native text export
LS-DER-030_native_text_export.txt,raw_export,16940,1aba93e4d57060df5d3e8c1f3bc1789e41b6ea151bbbe92c3d839af16c981bbe,13IMiIBnMyw3uVjsy6s4V6_FvEgTxnKc7,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,full native text export
GP-DER-118-v1.10_raw.md,raw_export,30933,c1d6e559274d7e87a3fa92f44cb2534a5e277a3b5941fd40db380599ddba0564,1otGI05Jb5PbWEvjb767fe6McijE3DIUa,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,whole-file identity
GP-DATA-214-v1.0_r_uniform_exact_endpoint_normalizer.py,exact_body,37512,63ef800a51969903b9c3d97c74e61f77ee037afadff73038047ef7cfce040fb9,1sn3pBHyCWDYkLVlltWwbsCB5PSvVL7m6,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,frozen source; fresh run ALL CHECKS PASS
GP-DATA-214-v1.0_result.json,exact_body,10944,af2779575ce3d18eeb69499e32ecc6e7c40898181ddf0fd6e4815d35cf8a6cbf,1sZEdCYmKAJ4BWw9JxPc0pCLfUlnTkqj0,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,exact result; reproduced byte-identically
GP-DATA-214-v1.0_coefficient_table.json,exact_body,3269,b2724c9379d9a3d7cb55998908d3480818ee4ac29e918a9b7a4192c350b2224e,1vcAxulFD3FegIJLm13_PeslkfhohSodp,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,freshly materialized exact coefficient table
GP-DER-197-v1.0_frozen_body.txt,exact_body,13797,035d5a18018606bd8736dc5774a7adbed29de453b30a1780976e1e4f69285d4d,1mViPOW2VS0W8aBjbL63cQHgyMI45HdQI,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,requested E0 conversion identity
LCR-DER-057-v1.1_frozen_body.txt,exact_body,11144,62c23788fbed764240546b9f9aa84b40620a4e0725a39f2bec1fe7678fc74e72,1AVgD_zUrXHxVF_w2RxCJwC0EYemFwxMz,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,exact body
LCR-DER-061-v1.1_frozen_body.txt,exact_body,8928,8ec4386fc1214523c98a5ae84acf4f5f64a6601aa2c63728f4382701b82dc3b7,1_XRlbPCla4Af2ezudY64a8nxv_QbeSGH,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,E2 conversion-ready exact body; E2 remains FALSE
LS-DER-026-v1.0_frozen_body.txt,exact_body,11725,e4d8094ed1bfc9f9cc7491f13efd5cc5294ba3b5f4fbd4bc8bbba33dd1a2ab5d,1uqSiHNjsuBJnxrS9SsP3VxBjQU38HLJK,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,exact body
LS-DER-027-v1.0_frozen_body.txt,exact_body,11330,60768783048ae9f5347735caa6a543ff074b785f2d5a1c568237c92d12f12f39,1_18wsEuV4gdUDjJZ0VHkWMES4UGMk3su,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,exact body
LS-DER-030-v1.0_frozen_body.txt,exact_body,12794,5476f11a281635ad99a7ed125a55e06e875681aa273fb682ada02c9e0035d0c1,1z5dn5rONbSq_yR8MOOBKiI5rgGqmOO--,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,exact body
GP-DER-118-v1.10_frozen_theorem_body.md,exact_body,29293,9b7901e112a4857e3ea59942858684f72fc09a2825b1efa859360dd8fa55f014,1MISsMd3tJnWkUbfwdH0uRw-PrGjfJNPL,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,frozen theorem body; status deltas only on native mirror
REPLAY_RECEIPT_2026-08-02.md,replay_receipt,1962,0b41158aa8302b70e3df0141040cffbb7d5d91d0268ee730c8b25a9202628f32,14uun0FsykVyEkajzd42W8Gn8KD0o9mKs,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,eigenfloor replay commands and scope
diagnose_side24_generic_collar.fresh.out.txt,transcript,2953,7af42105d4b98fe6838c411fe40857159e0f954aab9cf216813589b9b4244b18,1Q67fFRorWjTfBkp5lZL62lFlSvBpMPrz,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,fresh diagnostic transcript
verify_corrected_pin_floor.fresh.out.txt,transcript,1996,8be3f094d5bf257103902ed6c2e3118ffa293646c8c28771aecce4196c219656,1J9G9lL151ttP8S2OZC5gc9JzRA1yMiGB,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,fresh corrected-pin transcript
verify_g9_2_periodized_transfer_reconstruction.fresh.out.txt,transcript,4076,0ab9e14c938db8ec9795f202345f678527f5bb5b60cee3e9fed523e8816affbb,1OiqWcBkcfi2cDsf8Gj2_0TzgIF6fNTWm,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,59 of 59 PASS
E2_CONVERSION_READINESS_AND_BYTE_ANNEX_2026-08-02.md,raw_note,9972,3720b3ab110c56774e4a859dd1bd8a08f0eb373f0a2865b6f10cc3d5e52a7240,193M30yL6QWYOPtOgexD5-jLtZIR-ui0d,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,FROZEN,E2 conversion-ready; E2 remains FALSE
E2_CONVERSION_READINESS_LANDING_ADDENDUM_2026-08-02.md,raw_addendum,2323,91d57208a4a1c2cb30a35e21aac21bf00ed36ec7d67e014f6852f1f67e909312,1xzGy7rdXsuk7vU3X-eNyYlW5CXMyy7es,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,FROZEN,post-upload IDs and 26 of 26 fetchback; E2 remains FALSE
E2 Conversion Readiness Native Mirror,native_doc,,,1oEtuow6AWESDxEt_mVjQ9ZCGXHgg1yNe4yvH2vvvuNY,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,MIRROR,raw 3720b3ab… controls
SIDE24_V3_3_EIGENFLOOR_ARCHIVE_INDEPENDENT_REPLAY_AND_NEGATIVE_PROVENANCE_2026-08-02.md,raw_note,9468,8f8106d7fa89cc08d112f8fb5fdbdd0d2902059cd5b17613b325ec57a9127f7e,168VZ0zmLExmJ8iBCKaYWc-v5yC5rdtmo,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,FROZEN,partial archive-independent replay; 12388862-byte 4040d654 archive absent
SIDE24 V3.3 Eigenfloor Replay Native Mirror,native_doc,,,1SniBgkVhmzfyEb6ANyCLxC5PR4nfeccFT7iQ9Uy-Wo0,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,MIRROR,raw 8f8106d7… controls
ROUND67_ANNEX_SHA256SUMS.txt,checksum_ledger,3339,eb1c503c6add68a5b698ea2081682273471bce25cd42b24e14e816d91b7886c1,1Kp4X_M8G271HqqYd5o23oQEC7JgpmGmO,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,25 payload entries; ledger plus payload Drive fetchback 26 of 26 exact
GP-DATA-214_COEFFICIENT_TABLE_REPLAY_RECEIPT_2026-08-02.md,replay_receipt,2363,1ad767a56f5c3878f6d04315f0cd4c9b64221fef63a7d6a99b108ca963e37cec,1dSjkG2RIWSHH2f59N9tbQJrO5I-jl3jy,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,FROZEN,fail-closed exact replay
replay_gp_data_214_coefficient_table.py,replay_script,2961,fc83fdd1e8ba0b73032425e427d1b1af0c5c34ff110b2804fd999529d87cabc8,1ajVUg9mlFYDQ9e2NoLENGmAt09DcYt5w,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,independent extraction and byte comparison harness
replay_gp_data_214_coefficient_table.out.txt,transcript,347,a28c95e161ce7c75c4c25bf74194838c8ca4299ddd22836fa66824b38fc93de9,1HJB5VgPIui-OadQ7atpagcLP3i8cU4Yl,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,ALL ASSERTIONS PASS
EIGENFLOOR_INDEPENDENT_SIDE24_EIGENFLOOR_FROM_KERNEL_INDEPENDENT_2026-08-02.md,independent_note,10653,4479cd6ba9764260971185eb53118b14847d86e88b699346d1242a3efbd0ccd6,1_d3IlxTpBtRGhay2BnqOLgC5GwVqaS36,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,FROZEN,29/29 archive-independent kernel derivation; historical V3.3 carrier still absent
SIDE24 Eigenfloor from Kernel Independent Native Mirror,native_doc,,,1Auo26CxKJQvqgd_2dzQOybzu7EZ1x791lIuLBRKCzww,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,MIRROR,raw 4479cd6b… controls
EIGENFLOOR_INDEPENDENT_verify_side24_eigenfloors_from_kernel.py,independent_verifier,18701,17209cb60d74c4caa4bc7988e1f1c0b8615c98835d5c9ee2ddf812e534ce2d4d,1Tmj62Ny7_4ffev5gojO0Rpz9PbSD1vVK,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,from-kernel fail-closed verifier
EIGENFLOOR_INDEPENDENT_verify_side24_eigenfloors_from_kernel.out.txt,transcript,2792,89905d2e15447a52aaa5605f1062d5400b6c92295dcdd2d2a13a0d0d5e1bbece,10Cn8j-ofPu2U8g4d0QKS8BK83BQyeSPm,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,29/29 PASS
EIGENFLOOR_INDEPENDENT_verify_side24_eigenfloors_from_kernel.O.out.txt,transcript,2792,89905d2e15447a52aaa5605f1062d5400b6c92295dcdd2d2a13a0d0d5e1bbece,10vnwkj3du3V-0-kr2TJt-7tgaj_JmbZA,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,byte-identical to normal transcript
EIGENFLOOR_INDEPENDENT_verify_side24_eigenfloors_from_kernel.mutation.out.txt,mutation_transcript,2817,3060139587a99f2741b742b8cb105f8025102af905da9392908d6bb49b0f7bf6,1W5QSDu85LQ5lZi1m-1FqDmiBQRj49itL,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,forced mutation exits status 1
EIGENFLOOR_INDEPENDENT_RUN_STATUS.txt,status,41,4e1684137f14e7c6db0b5714c407861352e4d95c8e84ef58639094a72f842a77,1pgOog8NFuw1UZUJORJ-Y5izb1Goxbx5M,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,normal/optimized cmp 0; mutation status 1
EIGENFLOOR_INDEPENDENT_requirements.txt,requirements,28,47fd19021144e071cc43b6e265aafada0056abe89724ad95bd6e3a8e37995b94,1s412cz29A0aTK10hDTb-quS5ew8EkwGO,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,sympy 1.14.0; mpmath 1.3.0; Python 3.12+
EIGENFLOOR_INDEPENDENT_SHA256SUMS,checksum_ledger,740,e5fc4f4e426a45ed01cc474369dee35375dc71b97ee4508ba23daff4a1e75211,1cDLP82UGmy5GWQI1uMSgiAvM4qmUx8lw,1HaCOwWS0L1hAzKkLlmBFYSFivpiVmPa-,VERIFIED,eight-file independent package; Drive fetchback 8 of 8 exact
GP-DER-118-v1.10 Native Audit Mirror,native_status_surface,,,1IPJgw4W33CLwPLbIGf3ZcBwDhnZy_St_7lMCEGHHwBc,existing_native,FROZEN_BODY_UNTOUCHED,additive AO48-OPR-045 status delta; RP-C/RP-S closed
Theorem B 00_READ_FIRST,native_status_surface,,,1GCxx8Th9C5J8SrddCjwNa30O2LuYiwEB4pEYLxXK5pg,existing_native,AMENDED_BY_BANNER,M1 Borel repair and eta_r channel; no AO48-OPR-045 reopening
Command Center,native_status_surface,,,1yfJu9h6ObYhXh1iIgV-_G-PSk08b4VR2OJFENVk5t7k,existing_native,AMENDED_BY_BANNER,LS-CTL-003-v1.2 and carrier-integrity delta
SIDE24 CLOSURE REGISTER R2.8/R2.9,native_sheet,,,1Yjre5iYWJDHgxask_cuZoEFX4hXn9uCJUnVFc478K9A,existing_native,UPDATED,R2.8 and new R2.9; d7 triple-blind; eta_r; LS v1.2; annex; E2; replay
GP-REG-032-v1.2 Coupled Research Registers,native_sheet,,,1O6x8ivmaVUxYqKmCOXmToIHpMXqDI362ibqBl8HY8no,existing_native,UPDATED,Autonomy Control plus Recent Activity and Artifact Index
KIMI-AUD-020.md,third_family_audit,5475,9daf84d0db98507ca7f766f60eb12351911368c42cab6129a9099533c307188b,1mNUbLcHrg0MdIeDq7jMNdG-Rv1pD8DR7,0AGEUF_sx7o_MUk9PVA,VERIFIED,E0 APPROVE; byte-exact landing controlled by AO48-AUD-057
KIMI-AUD-021.md,third_family_audit,4848,1245fa9b3a211c53c9176dbbdb64352b629182b38c7cc51de653e6868b266548,1uZPOkJv63DFDpuL-gBBSUZ5BH20_vqGP,0AGEUF_sx7o_MUk9PVA,VERIFIED,E2 APPROVE at stated scope; byte-exact landing controlled by AO48-AUD-057
2026-08-04_run28.md,run_log,2930,ecd894dfdf648f9f05e97501e55b8e267c4120e67e02df750828afd9f7fb71a2,19kM59QqSkqILsloFg14MHumZfaEPJx5B,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,VERIFIED,Run 28 FOUNDATION log; E0/E2 closed; includes C2 advisory
KIMI_EXPORT_2026-08-04.zip,evidence_archive,27408,65e1b6b8b132bd0a27513dbcce8946a73f173e8483defcd38d6c13717a743f29,1z9_yS75x3KdyMZ0cZe31KGnrTbtl-Cx7,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,VERIFIED,Manifest 4/4; concat self-test 5/5; exact Kimi run-28 addendum
KIMI_EXPORT_2026-08-04_MANIFEST.sha256,source_manifest,338,84a2e74f07831893660b207f57880dcc509462240d3a63c9761611edb7525cb6,1GkCW-u3yWPTbJpReVd1EKMB7VCyVaOSc,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,VERIFIED,Exact Kimi addendum manifest
KIMI_EXPORT_2026-08-04_README.txt,readme,2013,b2ac01fa5939f1c98f672b1dc2475165945c6539a964e9301da6c3fa24a7cf94,1aow9eJhflMZpEaJJr4bco1_fn-G8MiHS,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,VERIFIED,Exact Kimi addendum README
RUN28_FOLD_SHA256SUMS.txt,checksum_ledger,657,581cb8e393bdcb4006705f0c9c35535858f7f46678762ab0f9b390ccac671b66,1kEFrlQhru_T9ihb8Xii3NFbqCqEGL4FI,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,VERIFIED,Hash ledger for run-28 fold raw carriers
LS-CTL-003-v1.3.md,raw_control,4248,081a4e3862f6e7aa0797c6b3aa347530ae4f5491bfa4aafde2309295868ef081,1W0Ta8KGdUmvNfzbm0S-8gzXON_cVawuQ,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,FROZEN,E0/E2 TRUE; FOUNDATION TRUE; P0.1 HOLD; B0 unchanged
LS-CTL-003-v1.3 Native Audit Mirror,native_doc,,,1tHmjlvpQbHJ0Xy5eBLxJ-vZWlKBAF8NSlSiA6HM-Ow8,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,MIRROR,Authoritative raw 081a4e38… controls
LS-B0-FOLD-ASSESSMENT-v1.0.md,raw_assessment,2405,82edb1f12975be4a51c5fd104072d5dcb833e9f8f678e3cc2ee138595de3a8b4,1VYvgwgUBVJT4oSD1rdV2dyVPN5QkQjZm,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,FROZEN,B0 evidence satisfied; Boolean unchanged/fold-ready
LS-B0-FOLD-ASSESSMENT-v1.0 Native Audit Mirror,native_doc,,,1vS2fchEB9U2BDe8g7O3bTth87tRmRjSVDQy4NIfUQv8,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,MIRROR,Authoritative raw 82edb1f1… controls
S2-LS-C2-ADVISORY-v1.1.md,raw_advisory,2743,ea6aa4bbb5ddb70462ca0c563ee0152cf8e6a6f62279d50d936e82e68ed0f99b,1zp3_oArSUcn7T8_-3MR7p4rzDNSH0YjI,15qzvLshul5HnBQw6GPh7DDLyBgvJn6hd,ROUTED,C2 advisory; typed generic crosswalk pending; not closed
S2-LS-C2-ADVISORY-v1.1 Native Lane Mirror,native_doc,,,1KJmXB3FQKto01AwPMLsTEP3r-uPRtvrcgsUo3Lc03Rc,10SVV8yx9M1sgUJ6X2l99cZgR_hq1f_1g,MIRROR / ROUTED,Native lane mirror; S2/LS frozen bodies unchanged
KIMI_EXPORT_2026-08-04_LB.zip,raw_archive,142929,a34d5ca5705934b2d5042e591b5cb1d59a5b7ad90a6a3b876dde56cf9764cb10,1wepNiM_rciN_45lLeDHfQfEZOhe2PIKr,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,RAW / 14-14 PASS,Normalized LB export; standalone archive
KIMI-THM-023.md,raw_report,14936,61e14810c55f688561bacd5a62bfa3e0872e0672fa387161c60a0455be65f92a,1gD9hXfmCVzEPVYBdt0Cx5KeziRqQin9D,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,HOLD / CONDITIONAL,0.9144 not admitted as proved constant
KIMI-AUD-023.md,raw_report,5448,df6565acf9231b3ae41e0f5f27f55384d786119013bebc06b79bd87a8e70e874,1rIXNLWoa7_vZo3b84ZyfgeNUOdH546ve,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,AMEND REQUIRED,WP reopened; R2 correction provisional
KIMI-AUD-024.md,raw_report,3369,309aefb8bc5c6dab656cf2d6ddae0a570e4ba593a3e327a2008f785c97bdc47c,1UGKmNYHkD3UDd9UCowJRmGjYEjs2byfH,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,HOLD,Conditional implication only; 40596829 citation orphaned
KIMI_EXPORT_CONCAT_LB.txt,raw_concat,191732,901996e10a40893e22fc8f7fc628096d88e634c93a3c2e695c9e543790902830,1aCIkCZCg5Zao5dAnWKlPACHwt2K9D0sW,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,RAW / 15-15 PASS,Concat re-extraction verified
MANIFEST.sha256,raw_manifest,1199,73e20364804275cadb84f5452dbec95c3a9f7c171fae79a17670e731274a9a48,1dPl3RRUQyMbGojK7DfqW1jVtPGoHULAF,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,RAW / 14-14 PASS,Normalized export manifest
README.txt,raw_readme,2768,04aa9dc4e5b7fa14a0e5ee8febfd1926c7496ab6ef85b3614708965b757fd72f,1CZ0JqhaHA4B7KnEeRMhhy5lx_beepy1q,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,RAW,Kimi export README
LB1_sup_over_zone_proof.md,raw_proof,14665,be85b2ed0fdcca770dfde191fe91f7cb3ed6ca2076b790b02ed3c78bd604a298,1NDufIE6ZlbVQcIM4jpjVIfBQTs1yWQ_q,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,FINITE-RUNG EVIDENCE,Display corrections recorded by GP-LB-REC-001
lb1_sup_over_zone_certificate.py,raw_script,37266,af19344df3524d03c8d54e188bddb30f41aa5a980414a5f588e84be995775c5e,1SmtnH3UlGbUf6ZuYhXBPBnAhudzXegOU,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,REPLAY PASS,Normal and -O reproduce committed transcript
lb1_t_normal.txt,raw_transcript,7856,f58307160e3a3a43d3c8a43c3626e12a495a76b57b5e12ff33b15ca353dd9c77,1EJfB8dSyhRjIHYEuMFeBW5grilU5lty_,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,REPLAY MATCH,Committed normal transcript
lb1_t_O.txt,raw_transcript,7856,f58307160e3a3a43d3c8a43c3626e12a495a76b57b5e12ff33b15ca353dd9c77,1ib8pMkHvg46VIBkZ6Nx0WIs6P6TQQsFW,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,REPLAY MATCH,Committed -O transcript
LB2_mean_ridge_proof.md,raw_proof,13897,afdcf93fc2905dbf785edb77a813df41ed277c1406cb967992335b467750bc9e,1T-yzjbUY65M5StWEyrnpwHNX-jehtQ8k,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,FINITE-RUNG MEAN EVIDENCE,Sampled-field transfer remains open
lb2_cert.py,raw_script,19233,bf76df4189033525526d6fd4a73ca15ef62095de119d114548e033d3e137175d,15qqdNTt0pAI4HicGAPblMsP_UFcdVnbX,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,REPLAY PASS,Normal and -O reproduce transcript
lb2_transcript.txt,raw_transcript,3826,b6947c44c49a02bb710f5c850f9cabdaf03befa176ef0e2cc348184e2c290c12,1Lkhmo2UJMU-ax5a15V_78fY1lT6m96V4,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,REPLAY MATCH,Committed transcript; 0.5145 ell band
LB3_DISCHARGE.md,raw_proof,23987,dc9dd243da9145ce5ed5719eecd990c6dac6fec96947a2f756d1cc86bc363d93,12OOcQ9BZV9cDqTsu8vHvvpck27RApwTh,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,PARTIAL,R0 conditional; gamma-LOC(ii-c) open
lb3_certificate.py,raw_script,24256,7caadc68b34fb52720c3181bf3da0a2bd2bc783684c1dad60d46418b29df74ea,1ulXEHg6ar5u1W2NNN2pe1WIe8tYYXPTd,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,REPLAY FAIL-CLOSED S5,Seven of nine hard-coded dependencies absent
lb3_transcript_normal.txt,raw_transcript,5767,096eab25e244ef78679fddee6751f97ee92e5975874fd049a24f21f46b746418,16OGMx1bClyhgBmTpIShC_lFqGMcZi-Cw,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,COMMITTED / NOT REPRODUCED FULLY,Fresh replay matches S1-S4 then stops
lb3_transcript_O.txt,raw_transcript,5767,096eab25e244ef78679fddee6751f97ee92e5975874fd049a24f21f46b746418,1tHCFvJsPBgUkTnbthYlGceuFYvpDxuJ4,161j01EjqLf1GxOvB4JRSVSk802hZjRw5,COMMITTED / NOT REPRODUCED FULLY,Fresh replay matches S1-S4 then stops
OKComputer_Project_Gap_Closure(4).zip,delivery_archive,6957146,01b3f61ccf7fb4d1b8b33907cd0267f8d698d0b2c5f0ea9515b14d6e91bc1165,1Ykd9FO5oRUA5KoqOcDw64hwsQwXbs5ku,1N7gXXF8MZ-Qcc2z-zhHd8hAzgKu5p2EL,RAW / CRC PASS,Outer 297-entry delivery carrier
KIMI-THM-023_lb5_assembly.txt,original_report,14982,453114542b0e215677cec3525dfab2a3e2cb87ed48284a5e6e82b89a85c2ffb5,1RjMN3g_dHKeFvFmA_P5C3hwD_IY7JQRy,1N7gXXF8MZ-Qcc2z-zhHd8hAzgKu5p2EL,ORIGINAL IDENTITY / HOLD,Outer Unicode carrier; distinct from normalized
KIMI-AUD-023_lb4_residue.txt,original_report,5498,0dfab4f07f7c673f48ca2fc49ffe7358e8c4ccaa35e8edc1f2172844fc53f488,1mI-tg6dDYY56XV7vkVC186fKFSEbj3hR,1N7gXXF8MZ-Qcc2z-zhHd8hAzgKu5p2EL,ORIGINAL IDENTITY / AMEND,Outer Unicode carrier
KIMI-AUD-024_lb6_two_sided.txt,original_report,3383,853ea5a0d59c888d96000b4e49f15d6fb3550c29c6dd1ff4386de1e14945ebdb,1vGoWEPgfyqtq0UcUjzWvNKeIsD1tDj7a,1N7gXXF8MZ-Qcc2z-zhHd8hAzgKu5p2EL,ORIGINAL IDENTITY / HOLD,Outer Unicode carrier
LB2_mean_ridge_proof_original.md,original_proof,13955,9045d119c5d9a877d2c1540333b775930f22989ee25b889bfc74ea8fbe45b907,1QhE1MLfii95nx1f2pF_012cSnx9UsiS6,1N7gXXF8MZ-Qcc2z-zhHd8hAzgKu5p2EL,ORIGINAL IDENTITY,Embedded citation target
