ordinal	relative_path	bytes	sha256	drive_file_id	drive_url	class	disposition
11	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/driver.py	4808	c82cd6707347115a8937689935637f3ccee96adfbe560b16bdcb9fe5c8362ab8	1gWBITiPsjvfKd7T2Kn_ffgFsbRyhfCNI	https://drive.google.com/file/d/1gWBITiPsjvfKd7T2Kn_ffgFsbRyhfCNI/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
12	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/engine_part.py	27392	ea767a99ec3b19e6b7b0c486369883a9b868fccf628cadc6dc3dfd7bf6e0d6b5	1_qONP7jOVYzBPtFQgreuaXgU4Cyd5usp	https://drive.google.com/file/d/1_qONP7jOVYzBPtFQgreuaXgU4Cyd5usp/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
13	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/ivlam.py	7411	b4236c5b6bdc20315b11360691fd31b249c0bb778343241a41bf352565ba6070	147Lzk9WjECCTIITDXIqwr5fiMQvcYzYv	https://drive.google.com/file/d/147Lzk9WjECCTIITDXIqwr5fiMQvcYzYv/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
14	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/ivstation.py	10423	d82045129d6f343a6ddff38bdf2f8bd08581c02cacd993493e5ed1092083f7dc	1JcTwnlAUQb_mTVopRU-Nh565yN0CviFg	https://drive.google.com/file/d/1JcTwnlAUQb_mTVopRU-Nh565yN0CviFg/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
15	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/jets.py	6076	b91dc534f4613fbc46f0645e7e753ced6e42cb1f80b77554f8e93fc56ec6c2f7	1ZVoZZUWYV630qbKG_zackxKORuLgLt8m	https://drive.google.com/file/d/1ZVoZZUWYV630qbKG_zackxKORuLgLt8m/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
16	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/mini.py	40474	356d2e4f1dc4282f82506b4a381d8490678f43e7b8c8b0e1af6f234bcf34dc52	1oRlC5_JTjaZmUpT7v2e_kCSWD8M8qdN7	https://drive.google.com/file/d/1oRlC5_JTjaZmUpT7v2e_kCSWD8M8qdN7/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
17	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/transcript_normal.txt	2303	a1e7eb43ef6c79f0c26451314bee0ad5c0e041fdc2a709152697010754979f99	1bha-oNlER1kjZFebbREDJ1d51ojjsbE4	https://drive.google.com/file/d/1bha-oNlER1kjZFebbREDJ1d51ojjsbE4/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
18	19fcef2e-c1c2-8c6c-8000-0f5a243156d9/work/verify_lambda_grid_v1.py	40499	4180ff9e250c747cc6f6038114722fedb1fea23c6baa9fd104ca7ccdf523e3e6	1mQnYLEHKTsHjPjJUOi042-7neivwIN6E	https://drive.google.com/file/d/1mQnYLEHKTsHjPjJUOi042-7neivwIN6E/view?usp=drivesdk	INCOMPLETE SUPPORT	DER-027B WORKING FILE; NONCONTROLLING
19	19fcef2e-c302-83b4-8000-0f5af9371ada/KIMI-DER-027c.md	15144	258f55df9baabf91a04d192f7b5b9bf993d34a25819b5721aea2392e66c93b05	1PWdsLZO1wUf-kyQm5R1SfrOpruk8wj0V	https://drive.google.com/file/d/1PWdsLZO1wUf-kyQm5R1SfrOpruk8wj0V/view?usp=drivesdk	COMPLETE PRIMARY	R=0.025 DETERMINISTIC MEAN ONLY
20	19fcef2e-c302-83b4-8000-0f5af9371ada/t_O.txt	11938	c2eb24eda3376b8c95d2cbb0518cd19f865ed9a885b3b3b5622b12f56b8f9ac5	1g87wmLChGCQ5oJDHFyw3p0JmfAQIN_bH	https://drive.google.com/file/d/1g87wmLChGCQ5oJDHFyw3p0JmfAQIN_bH/view?usp=drivesdk	DER-027C SUPPORT	R=0.025 CERTIFICATE SUPPORT
21	19fcef2e-c302-83b4-8000-0f5af9371ada/t_normal.txt	11938	c2eb24eda3376b8c95d2cbb0518cd19f865ed9a885b3b3b5622b12f56b8f9ac5	1yNhA-fDntTYmhTWU7bYldl4hwVvfBzTl	https://drive.google.com/file/d/1yNhA-fDntTYmhTWU7bYldl4hwVvfBzTl/view?usp=drivesdk	DER-027C SUPPORT	R=0.025 CERTIFICATE SUPPORT
22	19fcef2e-c302-83b4-8000-0f5af9371ada/verify_ridge_two_sided_v1.py	33731	d5f4a4ca84c7bbf09a4e26d57f6b299dde068b1c19d6df98f042326210c539a4	1TDXjwTY5tg7AMfWtRGnjfXrfA9sDv7Fs	https://drive.google.com/file/d/1TDXjwTY5tg7AMfWtRGnjfXrfA9sDv7Fs/view?usp=drivesdk	DER-027C SUPPORT	R=0.025 CERTIFICATE SUPPORT
23	SIDE24_gap_fill/reports/KIMI-AUD-023_v1_1_lb4_residue.txt	10394	1fe6902cee307081668b61be79cc2085001d25290d4917c615f0cc861af06b97	1pnDnlaraYn_hclZRDfEt4GfdN21gaFiQ	https://drive.google.com/file/d/1pnDnlaraYn_hclZRDfEt4GfdN21gaFiQ/view?usp=drivesdk	COMPLETE PRIMARY	AMEND REQUIRED; NONCONTROLLING
24	SIDE24_gap_fill/reports/KIMI-DATA-025_wo063_intake.txt	2455	3bcb3f11208aa0a69e9b3497cb6bcb301cf1e009a593df5bb4aa1d04f94f98cb	1DixH_nNsQG64X02UXajEihXc4sr6OfDx	https://drive.google.com/file/d/1DixH_nNsQG64X02UXajEihXc4sr6OfDx/view?usp=drivesdk	COMPLETE PRIMARY	INVENTORY; ORPHAN RULING SUPERSEDED BY DATA-028
25	SIDE24_gap_fill/reports/KIMI-DATA-028_transport_settlements.txt	4953	7ee412f6d5ef41570a61a0a3eb8ecff28981543ca12260ab5a9dcd705e5c21c6	1F2PU5evNXT9NRXzNqyb4bVkAsX0WrWFV	https://drive.google.com/file/d/1F2PU5evNXT9NRXzNqyb4bVkAsX0WrWFV/view?usp=drivesdk	COMPLETE PRIMARY	PROVENANCE SETTLEMENT; NO STATUS EFFECT
26	SIDE24_gap_fill/reports/KIMI-DER-025_wp_resolution.txt	12285	1dd6daceca9fb5965f22d7ad07d28f2f1ede68812a7b4d6cc9f3555e172e6e2e	1QqLjDhYopotMbDTQ52f3SJgAWHgCvGNa	https://drive.google.com/file/d/1QqLjDhYopotMbDTQ52f3SJgAWHgCvGNa/view?usp=drivesdk	COMPLETE PRIMARY	AMEND REQUIRED; NUMERICAL WP EVIDENCE
27	SIDE24_gap_fill/reports/KIMI-THM-023_v1_1_lb5_assembly.txt	14876	8ad1acca9f54830d5897823f4f5273384a633a4d27051de9ad86f27eaf9dd820	1Zt3VZrmX4Pg_JOMX4295r8KyAHgS12-4	https://drive.google.com/file/d/1Zt3VZrmX4Pg_JOMX4295r8KyAHgS12-4/view?usp=drivesdk	INCOMPLETE DRAFT	INCOMPLETE/HOLD; NOT HASH-FROZEN
28	SIDE24_gap_fill/scripts/t_rung_batch.txt	3359	86eae672ba71064fc4c002a9e7b7437a08c9ab5d77dfba16331f4944c2777de9	1guWgk4asoLFUdsqEi1XxCYsrMINH3WY8	https://drive.google.com/file/d/1guWgk4asoLFUdsqEi1XxCYsrMINH3WY8/view?usp=drivesdk	EXPLORATORY	NONCONTROLLING RUNG EVIDENCE
29	SIDE24_gap_fill/scripts/t_rung_batch2.txt	3359	f331aaf6c628c345905b7228f07f4ce600fd4c2173aace2a687e9ba38e4ce08d	11UkRIY-evmmfBI0sroKFeilBAAfg1cuw	https://drive.google.com/file/d/11UkRIY-evmmfBI0sroKFeilBAAfg1cuw/view?usp=drivesdk	EXPLORATORY	NONCONTROLLING RUNG EVIDENCE
30	SIDE24_gap_fill/scripts/t_rung_batch3.txt	3139	3f1a71f4d2aa0114d996e95e74de2a8163df7ff29ed5ed3813ebcf50aa44f5ec	15qqKyEZAa0smIMxOtPiRVqGWbB4xqqDo	https://drive.google.com/file/d/15qqKyEZAa0smIMxOtPiRVqGWbB4xqqDo/view?usp=drivesdk	EXPLORATORY	NONCONTROLLING RUNG EVIDENCE
31	SIDE24_gap_fill/scripts/t_thm_normal.txt	3573	2be3bdf587c3980c4838e8218ba7cad17b633798743ab467dc195607ac81ef8b	1iMjptfszf8DCPPYNXmGIUz_o8nf_GpN6	https://drive.google.com/file/d/1iMjptfszf8DCPPYNXmGIUz_o8nf_GpN6/view?usp=drivesdk	INCOMPLETE SUPPORT	THM-023 V1.1 WORKING FILE; NONCONTROLLING
32	SIDE24_gap_fill/scripts/t_wp_O.txt	7948	6f1a226fe1ecefeba95aa955f4bbacfc582ebee789bc454ca5248c1c674dcebc	1x8AUUpHSqpgidKV_DA-W0St-dSrndgnJ	https://drive.google.com/file/d/1x8AUUpHSqpgidKV_DA-W0St-dSrndgnJ/view?usp=drivesdk	WP SUPPORT	AMEND REQUIRED / NUMERICAL EVIDENCE
33	SIDE24_gap_fill/scripts/t_wp_normal.txt	7953	371f308f3ea0f3e5091a88340f7cfe350ab987d928ebbfa80ab7dc584f297515	1cgEENQytdZ-m_D8ISVLmOoEnOir_PpzO	https://drive.google.com/file/d/1cgEENQytdZ-m_D8ISVLmOoEnOir_PpzO/view?usp=drivesdk	WP SUPPORT	AMEND REQUIRED / NUMERICAL EVIDENCE
34	SIDE24_gap_fill/scripts/verify_thm023_v1_1_v1.py	23691	726900027242ad110221ea39ff0fefe38a8a2926522f95bfe0bb60cde0f494ac	1LIBtADpA7968Su4fUIDXZgmPspb3Xb5a	https://drive.google.com/file/d/1LIBtADpA7968Su4fUIDXZgmPspb3Xb5a/view?usp=drivesdk	INCOMPLETE SUPPORT	THM-023 V1.1 WORKING FILE; NONCONTROLLING
35	SIDE24_gap_fill/scripts/verify_wp_witness_v1.py	31026	da424a76788934ed54fe09a27dc9cbc4d546cea6734cd77c28e7be5660cd57af	1CpOHuNogHeS7sK5Ygxc8FfDBVTq7wczK	https://drive.google.com/file/d/1CpOHuNogHeS7sK5Ygxc8FfDBVTq7wczK/view?usp=drivesdk	WP SUPPORT	AMEND REQUIRED / NUMERICAL EVIDENCE
36	SIDE24_gap_fill/scripts/wp_rung_batch.py	21770	af30dcae39d10da1e15758ea5ae15e32e0fd629b1821d1aa5d9e58e809204940	1yYxNsk2W0XilEWK2pZ1I_ATNCtEqU-mh	https://drive.google.com/file/d/1yYxNsk2W0XilEWK2pZ1I_ATNCtEqU-mh/view?usp=drivesdk	EXPLORATORY	NONCONTROLLING RUNG EVIDENCE
37	SIDE24_gap_fill/scripts/wp_rung_batch2.py	21773	07aaa3c2e7ea4191afc1083f3b6d918c2a9c276c236eef72d7d822e29772dcc4	1oCWvY8p94zGTGFMc68_EWcoBGVUsQHRN	https://drive.google.com/file/d/1oCWvY8p94zGTGFMc68_EWcoBGVUsQHRN/view?usp=drivesdk	EXPLORATORY	NONCONTROLLING RUNG EVIDENCE
38	SIDE24_gap_fill/scripts/wp_rung_batch3.py	21760	7283fc91177095578c8f6ea0a096a0c8896cca9e3e5866c5a2bc46f7eb31359b	1YwOQKKyCHu1Dz5YGHg9F5jOCAmtderfy	https://drive.google.com/file/d/1YwOQKKyCHu1Dz5YGHg9F5jOCAmtderfy/view?usp=drivesdk	EXPLORATORY	NONCONTROLLING RUNG EVIDENCE
39	gamma_loc_iic/KIMI_DER_026.md	22934	d6bde0636b400d995f889e55446892631f3c2d462e060b34c27532fbd4a05bfd	1ff-sfJKUg8kO4G5JcBGMn0jyErKAp1lz	https://drive.google.com/file/d/1ff-sfJKUg8kO4G5JcBGMn0jyErKAp1lz/view?usp=drivesdk	COMPLETE PRIMARY	CONDITIONAL; P-NMZ-gamma OPEN
40	gamma_loc_iic/transcript_O.txt	5672	61e4dc8a46de2dd58e5fe6048af73e7e4394994403f32c98f6029741c214f057	1DPNre_c6fBxk4UX0wWis29rKKYHOqTZj	https://drive.google.com/file/d/1DPNre_c6fBxk4UX0wWis29rKKYHOqTZj/view?usp=drivesdk	GAMMA SUPPORT	CONDITIONAL CHAIN SUPPORT
41	gamma_loc_iic/transcript_normal.txt	5672	61e4dc8a46de2dd58e5fe6048af73e7e4394994403f32c98f6029741c214f057	14UmsVo1fVZ7G4hGXtbkHn-Tcu33v_6U0	https://drive.google.com/file/d/14UmsVo1fVZ7G4hGXtbkHn-Tcu33v_6U0/view?usp=drivesdk	GAMMA SUPPORT	CONDITIONAL CHAIN SUPPORT
42	gamma_loc_iic/verify_gamma_loc_iic_v1.py	13976	ece7244acaa69a2f8719d35bd73f5ea9f6542902c8ae86efd6a3ed14ffece570	108ihFxhdEjvrcDyqh5Nf4ZC2EIBw5XLF	https://drive.google.com/file/d/108ihFxhdEjvrcDyqh5Nf4ZC2EIBw5XLF/view?usp=drivesdk	GAMMA SUPPORT	CONDITIONAL CHAIN SUPPORT

