Title,Open reading copy,Kind,Group,Reader key,Verification,Drive ID
1090fdca8e4b_05_V3_CORRECTIVE_ADDENDUM.pdf,https://drive.google.com/file/d/1OIApBAADb12HAJCaXqJJIy0QkrEIXh3u/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,1090fdca8e4b90927bc8c65054bf29d661e79daf2bad1e80360cb5439e4d06f2-original,EXACT RAW BYTES VERIFIED — SHA-256 match,1OIApBAADb12HAJCaXqJJIy0QkrEIXh3u
DATA READING COPY arc_b.tsv [10a9f8b40e45],https://docs.google.com/spreadsheets/d/1do09kB7KTkDt3FenjXvsqN9lH9ReuuAEI4ju0FeX2Uc/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,10a9f8b40e453b0dc2931cbd195a759064144b242bbf9d3f0f384c71ea6e6005,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1do09kB7KTkDt3FenjXvsqN9lH9ReuuAEI4ju0FeX2Uc
1359bb695f4d_page-08.png,https://drive.google.com/file/d/16o-6W_da-WxKutx7t3yOis28EAhRzMym/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,1359bb695f4ddabc559506786b9094b702bf2e094b2638fe1ac4002ac9704e48,EXACT RAW BYTES VERIFIED — SHA-256 match,16o-6W_da-WxKutx7t3yOis28EAhRzMym
13e3ec631bbe_page-07.png,https://drive.google.com/file/d/1yhxhsoGoMsafHL6BNO8GwPjfyeSq5kSt/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,13e3ec631bbef6ffa8d85277f8b9a4491e6f44d4b516e8c1f365e583b26f09fb,EXACT RAW BYTES VERIFIED — SHA-256 match,1yhxhsoGoMsafHL6BNO8GwPjfyeSq5kSt
DATA READING COPY arc_a.tsv [140e20c47ee2],https://docs.google.com/spreadsheets/d/1GEjYOFzyEGLRLjkb_PM0h5pdrRHNb7xOL5N-dQXg1q4/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,140e20c47ee27ef74de11e3ec5d75a36b5e3e61e3f65c7ac3c1a145b4e5f104c,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1GEjYOFzyEGLRLjkb_PM0h5pdrRHNb7xOL5N-dQXg1q4
DATA READING COPY phase1_cells.jsonl [1778302164fc],https://docs.google.com/spreadsheets/d/1e1mh8H6O8UBRDPdMbGXGn29X1RKaYtMnrJTKEb2CC_U/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,1778302164fcf0c7b99c60f5cef2a6f0ceee4c99a6bc4a08f6ecb0a8cf52f6bd,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1e1mh8H6O8UBRDPdMbGXGn29X1RKaYtMnrJTKEb2CC_U
DATA READING COPY FILE_CATALOG.csv [182062068899],https://docs.google.com/spreadsheets/d/1ewVO1U8uGYUy5v8WCteIOlp7k3AFdDjC-8L_7TKOmm8/edit?usp=drivesdk,sheet,QUARANTINE_OR_HISTORY,1820620688996fa4bb71626fcbfadc7d19c5a15d3f3149e206cd77075680bfb2,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1ewVO1U8uGYUy5v8WCteIOlp7k3AFdDjC-8L_7TKOmm8
PICKLE STRUCTURE x9_series.pkl [1c0cef52ec2f],https://docs.google.com/spreadsheets/d/1KoBdNXOFsaSWZDEFJAxBHkaDOLiknEdmAxlyJWDV32U/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,1c0cef52ec2fc2021390b297093477d38c861404fca56d8aee41c21235be43f9,FULL NATIVE DATA VERIFIED — every row,1KoBdNXOFsaSWZDEFJAxBHkaDOLiknEdmAxlyJWDV32U
READING COPY 16_P02-LM-001_Conditional_Degree-Four_Deterministic_Capture_Majorant [1fd79fe6e60a],https://docs.google.com/document/d/1sqpRXvwZZFZ5Tnk-jurj1G9RriYGpg8y1KL9B67wyaw/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,1fd79fe6e60a7831ab61d6d3e38c47856a60de34cdc72f364ef0760700e0cced,NATIVE TEXT VERIFIED — original governs layout,1sqpRXvwZZFZ5Tnk-jurj1G9RriYGpg8y1KL9B67wyaw
203f2877906f_00_READ_ME_FIRST_V3.pdf,https://drive.google.com/file/d/1GbGflA0qczqlQScSt7KielvcAZxUTJyY/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,203f2877906f0ee7989f220582e9db5376ce796157494c9ff7b58e616858bbf4-original,EXACT RAW BYTES VERIFIED — SHA-256 match,1GbGflA0qczqlQScSt7KielvcAZxUTJyY
READING COPY SOURCE DOCX — GP-PROP-175-v1.0 — Replication Capsules Proposal [209374cadac7],https://docs.google.com/document/d/13iH0zYt_EuUHMV0Nif18MOIt_srlNv8cp8bYyny9-mY/edit?usp=drivesdk,docx,OPERATIONS,209374cadac7ea38be526a119758de7a94098ed1b4ecc279f969f0d26edc5760,NATIVE TEXT VERIFIED — original governs layout,13iH0zYt_EuUHMV0Nif18MOIt_srlNv8cp8bYyny9-mY
229f3425b275_page-01.png,https://drive.google.com/file/d/1SQa80e6H8BYP1aYMhMowcvt4dRQhdGni/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,229f3425b2755c9b15b8b5ba3492d75b8766268707652ed8ef3766cb42774e06,EXACT RAW BYTES VERIFIED — SHA-256 match,1SQa80e6H8BYP1aYMhMowcvt4dRQhdGni
READING COPY 10_EC-015_Repaired_Witness-Parameterized_Degree-Four_PRCP_Event [230f2891663e],https://docs.google.com/document/d/1paF_1DCrSbub13zhI5kX_K3oqKg6pcmUUh2RBEMso3k/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,230f2891663edad58b71802427eb7693bbd48382dc7c10bd3d617f66ec761daa,NATIVE TEXT VERIFIED — original governs layout,1paF_1DCrSbub13zhI5kX_K3oqKg6pcmUUh2RBEMso3k
24f86e48dfd8_02.pdf,https://drive.google.com/file/d/1OuFSDIfzDTfBwdWYfFgJ_9sT_rzPq77M/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,24f86e48dfd8ee9bf044473865af10a7757ae7e1a44a0066aebabcecb9e44d06-original,EXACT RAW BYTES VERIFIED — SHA-256 match,1OuFSDIfzDTfBwdWYfFgJ_9sT_rzPq77M
274ac3961af9_02_STATUS_DOSSIER_V4.pdf,https://drive.google.com/file/d/14mKJ8XtOxsTuEwWAX3JKA8qz-zzxkTj8/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,274ac3961af99c02ee7ca378955c4d20a596ce7d8b95d939dc1df33848bbb4ed-original,EXACT RAW BYTES VERIFIED — SHA-256 match,14mKJ8XtOxsTuEwWAX3JKA8qz-zzxkTj8
PICKLE STRUCTURE tp_sections.pkl [274b02e3341a],https://docs.google.com/spreadsheets/d/1YvLL9v7hBMdCS2z7-ugrPpR1qeElNNXNlA4TTOnXI8I/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,274b02e3341ac0a38a8bb257dc1aa9aaa48321a78ebbb244c788168bbc2e8eaf,FULL NATIVE DATA VERIFIED — every row,1YvLL9v7hBMdCS2z7-ugrPpR1qeElNNXNlA4TTOnXI8I
2926ec99137c_ERRATA_AND_CLARIFICATIONS_2026-09-13.pdf,https://drive.google.com/file/d/12wwmuTiNuyFHcPxwfXxYKiv16JKX-C4g/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,2926ec99137c67d756dac68bc3b03f2669996f50056fc8bae544fb447e391ec1-original,EXACT RAW BYTES VERIFIED — SHA-256 match,12wwmuTiNuyFHcPxwfXxYKiv16JKX-C4g
2adec1bea46b_page-13.png,https://drive.google.com/file/d/1bmb7dO0owX5CccospVeFFXjaMuDH_wQZ/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,2adec1bea46b387fd83f53b0c4329c7343a13eea490cd594cd0202f8c93d70ac,EXACT RAW BYTES VERIFIED — SHA-256 match,1bmb7dO0owX5CccospVeFFXjaMuDH_wQZ
2c9c883b06f3_00_READ_ME_FIRST_V2.pdf,https://drive.google.com/file/d/1LqSDsSHJfVpfgTNN2Ei_Mni7w7PUhBR_/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,2c9c883b06f34dac10ebe17a201aadf8b11dbab8987c16c43a598879a80f90b7-original,EXACT RAW BYTES VERIFIED — SHA-256 match,1LqSDsSHJfVpfgTNN2Ei_Mni7w7PUhBR_
2db11ad8af3a_final-18.png,https://drive.google.com/file/d/1sy3yxwfVrKWsXy7ghLwTiViLWuTfNqmy/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,2db11ad8af3a1115852aa7dce5ce3d21becbbf1ada8d9991a3fbd791490e39d6,EXACT RAW BYTES VERIFIED — SHA-256 match,1sy3yxwfVrKWsXy7ghLwTiViLWuTfNqmy
2debe731a2cc_11_COMPLETE_PRE_REVIEW_PACKET_V2.pdf,https://drive.google.com/file/d/1wDbvTEfpOlPj70iRVbZInz_M1NsV0LzV/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,2debe731a2cc22dfa9230097d5e897293bdfcc2392370f3d0c228545cc131a43-original,EXACT RAW BYTES VERIFIED — SHA-256 match,1wDbvTEfpOlPj70iRVbZInz_M1NsV0LzV
READING COPY 14_EC-020_Uniform-r_Fixed-q_Full-Dimensional_Degree-Four_Corridor [31ce5945828b],https://docs.google.com/document/d/1p7ODg9BVPyLxvA0RHkmbp4R6MZDJCyW6vgulWSY-66o/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,31ce5945828bfe3495a90e11d0483191d0f1b5d6cebf316215ff479b9dce377e,NATIVE TEXT VERIFIED — original governs layout,1p7ODg9BVPyLxvA0RHkmbp4R6MZDJCyW6vgulWSY-66o
READING COPY 07_EC-012_Closed_Strip-Threshold_Majorant [33f5ae0dcd6c],https://docs.google.com/document/d/1Ig6fH8Yh7cE2mc8ZhBcVR0VevhoQIc4R4QdyFui4-4c/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,33f5ae0dcd6c742e8d4b37eddd9e6063e421425b5b411d0a88351c4eacd7282d,NATIVE TEXT VERIFIED — original governs layout,1Ig6fH8Yh7cE2mc8ZhBcVR0VevhoQIc4R4QdyFui4-4c
READING COPY 04_TECHNICAL_APPENDIX [34c43ad4b71e],https://docs.google.com/document/d/1XCMd_fdZuWkYtYtbKTPNMFZyJPig5QWUtpdNOF-QPr4/edit?usp=drivesdk,docx,RESEARCH_SOURCE_CHECK_STATUS,34c43ad4b71e6eadd6f7b40e5a11c03148a1c52a01f7a98bb1d2660a5357ed81,EQUATIONS NEED COMPANION — linked notice verified; original retained,1XCMd_fdZuWkYtYtbKTPNMFZyJPig5QWUtpdNOF-QPr4
371e7f8a7ea1_03_SIDE24_MANUSCRIPT_V2.pdf,https://drive.google.com/file/d/13QAQ5_xj2MpTVviCE16PNtJykfAx-fM7/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,371e7f8a7ea1d13a269b8bcf0ae0879a48d322989668a4a37678310819c72e90-original,EXACT RAW BYTES VERIFIED — SHA-256 match,13QAQ5_xj2MpTVviCE16PNtJykfAx-fM7
DATA READING COPY MANIFEST_AUDIT.json [3bc1e17b1e87],https://docs.google.com/spreadsheets/d/1NFmvgda357hVs3gVwJuNYFZTA2zjdGPr2a824rp0aOw/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,3bc1e17b1e87ed22230fcadf18432dd9a7aefd062b257e585e7615aac6e9d9e1,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1NFmvgda357hVs3gVwJuNYFZTA2zjdGPr2a824rp0aOw
DATA READING COPY q0_machine_composite_candidate.json [3e66e41b3162],https://docs.google.com/spreadsheets/d/1mjDrY9GI0fALn0ILCQPjRDqYtYzO-RbmPBrmsWISQRo/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,3e66e41b316244d291a0b660c610f61f43d3f3a6c4f55e452a413bb27932a427,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1mjDrY9GI0fALn0ILCQPjRDqYtYzO-RbmPBrmsWISQRo
3f2df007024b_00.pdf,https://drive.google.com/file/d/1ZA5sABM8PGv_f32n6OlP8BJuxLvP2QQE/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,3f2df007024b8be303f7b2d475e50b4eb2e4fe511da82500b3aaf95d163f23ee-original,EXACT RAW BYTES VERIFIED — SHA-256 match,1ZA5sABM8PGv_f32n6OlP8BJuxLvP2QQE
3f9fd1ce99ee_page-02.png,https://drive.google.com/file/d/1cGSIt3iOKcBnoWLZ2JWCFBEo3SvHDwG_/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,3f9fd1ce99ee23c9665941b2357f03586dd2198224d054b319588b193806ee16,EXACT RAW BYTES VERIFIED — SHA-256 match,1cGSIt3iOKcBnoWLZ2JWCFBEo3SvHDwG_
4180ba10cf71_page-06.png,https://drive.google.com/file/d/1_W9bNtn4aausxwhZ1vMjuUK8l06r5AvM/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,4180ba10cf71a26be6795d0fd5a5e12277b6bb9d66593c0384133b88ff733328,EXACT RAW BYTES VERIFIED — SHA-256 match,1_W9bNtn4aausxwhZ1vMjuUK8l06r5AvM
43f893a87459_03.pdf,https://drive.google.com/file/d/1hFErg2Gexn7vvcycjooGRHgs5XGLx6R-/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,43f893a874593d2810f46acf35d74a6fefa8b5a8546e906671a07116643c4a24-original,EXACT RAW BYTES VERIFIED — SHA-256 match,1hFErg2Gexn7vvcycjooGRHgs5XGLx6R-
DATA READING COPY FULL_CODE_INDEX.csv [46ac7b976ae5],https://docs.google.com/spreadsheets/d/1h65ZZStzVFPwoajpxjO3ckUunUl9BJev5ZlmVi--LpI/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,46ac7b976ae5caba23eb3656948aee10bbf83e1fdf05d5a8d25319212a68c66c,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1h65ZZStzVFPwoajpxjO3ckUunUl9BJev5ZlmVi--LpI
READING COPY 03_SIDE24_MANUSCRIPT [4c352f1fd8e4],https://docs.google.com/document/d/1dZyEs2cIVlcgoBhcy5aV17g2jsC4xnNyPdIIcHaV96s/edit?usp=drivesdk,docx,RESEARCH_SOURCE_CHECK_STATUS,4c352f1fd8e4f6614b11bed6fc2aec0f00261f65ae82587b902d394ca55e03a1,EQUATIONS NEED COMPANION — linked notice verified; original retained,1dZyEs2cIVlcgoBhcy5aV17g2jsC4xnNyPdIIcHaV96s
READING COPY 19_P02-LM-007_Uniform_Conditioned_Fifth-Derivative_Supremum_Tail [51f760d45e27],https://docs.google.com/document/d/1mA-X6-zeUL9xbupjHcPB8QE-YEkN0U50Z_Ezt7sxqo8/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,51f760d45e2702ef92e8822141baec5de6e1b0c4f3906637b1f0d9bd383a534d,NATIVE TEXT VERIFIED — original governs layout,1mA-X6-zeUL9xbupjHcPB8QE-YEkN0U50Z_Ezt7sxqo8
DATA READING COPY C104_COUPLED_PERSISTENCE.json [532946ea39a3],https://docs.google.com/spreadsheets/d/1iNyaghp2lC8jG34o8jzBZWJDwqu2qD_auW_AUvbaN08/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,532946ea39a363f9bd7897ea2fe0d9a17b15ea87f082781e4830b4837da533c2,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1iNyaghp2lC8jG34o8jzBZWJDwqu2qD_auW_AUvbaN08
DATA READING COPY region_M.json [574ba1f4942b],https://docs.google.com/spreadsheets/d/1ryyLysSFWLyMfYbt0EyZZEWESbaWWTzMUmfj4jhsZqA/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,574ba1f4942bdd8fa518e7329e19d6769e8b68b791c60b04f3cc0406e731df1d,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1ryyLysSFWLyMfYbt0EyZZEWESbaWWTzMUmfj4jhsZqA
READING COPY 05_EC-010_Declared_Convex-Combination_Polynomial_Identities [5f5ab789728a],https://docs.google.com/document/d/1dM1kh_zPcdVx-v4JQ84EiNtByZxBnJ-RN_34meVM3gM/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,5f5ab789728adb5e61544092295f46b2f53c772c0668a55c1de0a4d70287cb7d,NATIVE TEXT VERIFIED — original governs layout,1dM1kh_zPcdVx-v4JQ84EiNtByZxBnJ-RN_34meVM3gM
DATA READING COPY full_med.tsv [5f9b7eff5ecd],https://docs.google.com/spreadsheets/d/1348VqxFnRshgEdEdTDmIsE2xjjCKk3oBquC340FOOBA/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,5f9b7eff5ecd18c8e7021d096f3521da419c23cc6ee9c060bad8d04f3a9d2c97,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1348VqxFnRshgEdEdTDmIsE2xjjCKk3oBquC340FOOBA
PICKLE STRUCTURE x9_adj.pkl [605f1e260798],https://docs.google.com/spreadsheets/d/18LiGaFfpVR9j4pX7fMr_i_FhDcRSOvh113tt8IAtP5k/edit?usp=drivesdk,sheet,RESEARCH_SOURCE_CHECK_STATUS,605f1e260798496192684671cb465a3941b0e4df1c5bcf2e5328c5a698dbf1ec,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,18LiGaFfpVR9j4pX7fMr_i_FhDcRSOvh113tt8IAtP5k
629f200fda80_page-11.png,https://drive.google.com/file/d/1CeQr_SVhps9__qsHZq9dt_iBvgVwzwjf/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,629f200fda80a16af7ae9b86d0eadce9a0600d303285a458e8a9ddfad7b01fe7,EXACT RAW BYTES VERIFIED — SHA-256 match,1CeQr_SVhps9__qsHZq9dt_iBvgVwzwjf
66e0b7000ae7_page-14.png,https://drive.google.com/file/d/1Nswq0TKu0Dl1M2u3JZ25Twz-t-Vvr5Q6/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,66e0b7000ae7a54b1dc5175f7c16d5837209e08da43e21dccb5dd7d6661cf33e,EXACT RAW BYTES VERIFIED — SHA-256 match,1Nswq0TKu0Dl1M2u3JZ25Twz-t-Vvr5Q6
PICKLE STRUCTURE bigraded tables.pkl [6a82759b0ce3],https://docs.google.com/spreadsheets/d/1UJ68nPy_AM_i3IkWFPV8-FzBHF6jN9lIaiN-udJWcus/edit?usp=drivesdk,sheet,LEGACY_INSPIRATION,6a82759b0ce3c8fc17a4804a13ad37623c87b23fd3c159cc21941afb108394cf,LOCAL CELLS VERIFIED + NATIVE FIRST/LAST ROWS VERIFIED,1UJ68nPy_AM_i3IkWFPV8-FzBHF6jN9lIaiN-udJWcus
READING COPY 09_EC-014_Corrected_Six-Pin_Pair-Frame_Jacobian_and_Contact_Power [6bd3f19b6047],https://docs.google.com/document/d/1zecbtMB6jgR6X5r1mjy7FAMxbyvKAM4-b_P2RZgR6M8/edit?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,6bd3f19b60474294f78ae4aefc63314f1fae6f639cf737d031cb745e91bb078e,NATIVE TEXT VERIFIED — original governs layout,1zecbtMB6jgR6X5r1mjy7FAMxbyvKAM4-b_P2RZgR6M8
READING COPY 05_REPRODUCTION_GUIDE [6ce1e7424a38],https://docs.google.com/document/d/1QtRVFWgKEZgDZqGYAlzpKXcQU9W7uwSdtHJidbCyO-s/edit?usp=drivesdk,docx,RESEARCH_SOURCE_CHECK_STATUS,6ce1e7424a38fd3cebf3b898af952151e83361bb8a4fac58095f8ccb8cab3b20,EQUATIONS NEED COMPANION — linked notice verified; original retained,1QtRVFWgKEZgDZqGYAlzpKXcQU9W7uwSdtHJidbCyO-s
7164078d9c81_page-16.png,https://drive.google.com/file/d/1ATVPyIAuTiUume3_i35iZbao83jDUnxd/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,7164078d9c814f33c419ad610ffb66d08451bc7bb22ea5dec20a0f0be4405604,EXACT RAW BYTES VERIFIED — SHA-256 match,1ATVPyIAuTiUume3_i35iZbao83jDUnxd
READING COPY 02A_PRELIMINARY_AI_REVIEW_DISPOSITION [7650137fee8f],https://docs.google.com/document/d/1D-Fl3OF76P5OYAMLjMYc3e8lZx0Kz2w_SRJYbUVhRZM/edit?usp=drivesdk,docx,RESEARCH_SOURCE_CHECK_STATUS,7650137fee8feb72d92eb132444f065d655d421d0b64d3d01643a526a29d95cc,EQUATIONS NEED COMPANION — linked notice verified; original retained,1D-Fl3OF76P5OYAMLjMYc3e8lZx0Kz2w_SRJYbUVhRZM
7a2a2bbf16e5_page-15.png,https://drive.google.com/file/d/12gxr5QiJMdTnt2z6lXLo1PYyLMsflv9s/view?usp=drivesdk,binary,RESEARCH_SOURCE_CHECK_STATUS,7a2a2bbf16e5cda53e5b0f9c6f328095fa28a0c7481d504253aea0df0adfc054,EXACT RAW BYTES VERIFIED — SHA-256 match,12gxr5QiJMdTnt2z6lXLo1PYyLMsflv9s
